canonical_name,father_name,cnic,account_number,annual_credit_card_expense,avg_balance,account_open_date,account_status,avg_expenditure
Zubair Latif,S/O Aamir Karim,44000-4874618-6,PK0011219540831,0.0,41818330.0,2014-10-03,Active,69040.0
Shazia uBkhari,S/O Rizwan Hashmi,35202-4460247-9,PK0001896233790,0.0,12858500.0,2018-04-08,Dormant,0.0
Kamran Ali,S/O علی حسین,21301-6705386-3,PK0005362950628,0.0,9213000.0,2014-09-23,Active,23046.0
Hussain Latif,S/O Hassan Rafiq,21301-6924975-6,PK0004249827706,0.0,3245100.0,2008-04-29,Active,16445.0
Raja Ansari,S/O Mohammad Qureshi,44000-8220540-6,PK0012210053353,0.0,25630050.0,2012-11-24,Active,103534.0
Amna Baig,S/O Sajid Rafiq,44000-2754666-4,PK0011895285932,0.0,8007560.0,2010-05-06,Active,142888.0
Hamid Cheema,S/O Faisal Hashmi,35202-6213387-6,PK0015685582861,0.0,25344400.0,2004-12-22,Active,45083.0
Nadia Cheema,S/O Sheikh Malik,61101-3318968-4,PK0002734036506,2689033.0,68978180.0,2012-11-16,Dormant,864308.0
Khalid Ahmed,S/O Nadia Ansari,54000-4630763-6,PK0007134126396,0.0,40060160.0,2006-10-06,Dormant,83476.0
Syed Ali,S/O Rabia Ali,13302-5449047-4,PK0001200604502,0.0,14766170.0,2008-01-05,Active,154007.0
Khalid Mirza,S/O Kashif Gondal,35202-2213893-1,PK0004349817734,0.0,17312310.0,2022-11-05,Active,0.0
Bushra Ahmed,S/O Uzma Bukhari,54000-9060130-1,PK0009746412689,0.0,5555300.0,2015-12-15,Active,14931.0
Asma Tarar,S/O Khalid Mirza,54000-7126456-4,PK0001702632297,0.0,6924520.0,2016-05-20,Active,24335.0
Rabia Ali,S/O Usman Sheikh,42101-7349462-4,PK0004868820204,0.0,5801020.0,2020-10-28,Active,36525.0
Adnan Virk,S/O نادیہ رضا,44000-6754960-8,PK0011853041955,0.0,10059830.0,2004-01-30,Active,43897.0
Arif Virk,S/O Tariq Syed,42101-4708239-2,PK0009550455977,0.0,48408920.0,2014-03-04,Active,91683.0
Malik Hashmi,S/O Usman Gondal,13302-4069834-9,PK0004582334538,0.0,6084040.0,2000-08-29,Active,33999.0
Tahir Jafri,S/O Uzma Rana,44000-3202043-1,PK0010398704996,0.0,14400280.0,2020-05-09,Dormant,139379.0
Bilal Jafri,S/O Faisal Aslam,54000-5446285-6,PK0013106977991,0.0,41677910.0,2003-09-14,Active,57907.0
Khalid Butt,S/O Waseem Ahmed,42101-2884472-4,PK0013965241839,0.0,7842270.0,2002-06-10,Active,79030.0
Shoaib Malik,S/O S/O Sobia Tarar,21301-8815384-9,PK0003849621470,0.0,7657730.0,2016-06-30,Active,34889.0
محمد احمد,S/O Imran Abbasi,44000-3497284-8,PK0007465341213,0.0,14082880.0,2001-06-13,Dormant,39487.0
Sajid arar,S/O Rukhsar Sandhu,,PK0005266944844,0.0,21177060.0,2018-10-27,Active,84578.0
Chaudhry Hussain,S/O Zainab Bukhari,44000-9031570-8,PK0004919795579,0.0,1410980.0,2003-07-30,Active,23545.0
Rukhsar Hussain,S/O Bilal Butt,,PK0006209747451,0.0,22534340.0,2016-06-26,Active,46445.0
Zainab Hameed,S/O عائشہ احمد,13302-7741632-7,PK0002507943839,0.0,17316420.0,2011-08-31,Active,23661.0
Maryam Malik,S/O Sana Virk,54000-4945697-3,PK0002485451171,0.0,39589600.0,2007-04-04,Active,96988.0
Ayesha Syed,,21301-6047028-2,PK0014469319644,0.0,37941090.0,2019-09-21,Dormant,108586.0
,S/O Adnan Sheikh,44000-6849505-1,PK0010384027113,0.0,7700120.0,2021-08-16,Active,22364.0
Hussain Rizvi,S/O Mohammad Naqvi,35202-1768805-4,PK0013146654552,0.0,17736280.0,2022-11-25,Active,49575.0
Uzma Bhatti,S/O Shoaib Ahmed,44000-6115313-2,PK0012593303705,0.0,51554680.0,2018-12-17,Active,248998.0
Rizwan izvi,S/O Sidra Hussain,21301-7465654-3,PK0009234031070,753417.0,128299380.0,2008-09-07,Active,342156.0
Kamran Hasmhi,S/O Amna Bukhari,21301-9675717-8,PK0015506448196,0.0,20129220.0,2006-02-23,Active,26639.0
Muhammad Sheikh,S/O Salman Rana,44000-8159977-4,PK0002692749116,0.0,3531420.0,2014-10-11,Active,13944.0
