company_name,canonical_name,father_name,entity_type,cnic,incorporation_date,status,registered_office_address,province,city
Apex Industries,Naeem Gujjar,S/O Malik Naqvi,Sole Proprietorship,21301-1681539-4,2018-03-26,Active,"House 272, Block E, I-8, Lahore",Punjab,Lahore
Prime Brothers,Sheikh Sana,S/O Hashmi Bukhari,Sole Proprietorship,42101-6825338-9,2021-07-20,Active,"House 341, Block D, G-9, Quetta",Balochistan,Quetta
Star Industries,Adnan Tarar,S/O Hussain Raza,LLP,35202-9722896-7,1993-04-06,Active,"House 284, Block A, PAF Colony, Hyderabad",Sindh,Hyderabad
National Services,Amna  Ahmed,S/O Malik Jafri,Public Limited,61101-6727097-7,2011-01-19,Active,"House 311, Block B, DHA, Mirpur",Azad Kashmir,Mirpur
,Mohammad Rizvi,S/O Hamid Sheikh,Partnership,21301-1360413-5,1990-10-07,Active,"House 42, Block B, F-10, Hub",Balochistan,Hub
Global Corp,Sobia Bukhari,S/O Naeem Tarar,Partnership,61101-2226670-5,1990-04-21,Active,"House 481, Block G, E-11, Lahore",Punjab,Lahore
Prime Corp,Faisal Abbasi,S/O Naveed Akhtar,LLP,21301-4090165-2,2003-11-28,Active,"House 227, Block F, Scheme 33, Quetta",Balochistan,Quetta
Royal Associates,Chaudhry Hameed,S/O Naveed Hussain,Partnership,21301-4343921-5,1999-02-25,Suspended,"House 283, Block F, Township, Rawalpindi",Punjab,Rawalpindi
Star Corp,Maryam Raza,S/O Bilal Gujjar,Private Limited,35202-4729514-7,2013-07-04,Active,"House 169, Block A, F-10, Hyderabad",Sindh,Hyderabad
Star Group,Rizvi Mohammad,S/O Imran Raja,LLP,13302-9221239-5,2003-12-18,Active,"House 423, Block B, F-10, Multan",Punjab,Multan
Pak Traders,Mohammad Sheikh,S/O Hassan Karim,Private Limited,35202-5134851-7,2011-08-26,Active,"House 179, Block F, Gulshan-e-Iqbal, Rawalpindi",Punjab,Rawalpindi
United Group,Muhammad Naqvi,S/O Hussain Virk,Sole Proprietorship,54000-7851188-9,1997-10-08,Dissolved,"House 490, Block B, Cantt, Chilas",Gilgit-Baltistan,Chilas
Royal Corp,Rizwan Abbasi,S/O Uzma Hashmi,Partnership,54000-3438855-9,2000-03-27,Active,"House 186, Block B, E-11, Mingora",KPK,Mingora
Global Traders,Sana Hameed,S/O Shoaib Cheema,Public Limited,61101-3160473-2,1993-12-25,Suspended,,ICT,Islamabad
Meezan Traders,Shoaib Hameed,S/O محمد علی,LLP,13302-2863712-1,2015-03-30,Active,"House 18, Block B, Askari, Sargodha",Punjab,Sargodha
Pak Solutions,Baig Bushra,S/O Nadia Iqbal,Public Limited,44000-8989855-3,2014-01-28,Dissolved,"House 201, Block E, Bahria Town, Peshawar",KPK,Peshawar
Meezan Solutions,Omar Gondal,S/O Ayesha Rafiq,Public Limited,54000-2397572-9,2019-05-22,Active,,Sindh,Larkana
Al Associates,Mohammad Rizvi,S/O Hamid Sheikh,Sole Proprietorship,21301-1360413-5,2018-02-11,Active,"House 114, Block H, F-10, Hub",Balochistan,Hub
Royal Services,Zubair Qureshi,S/O Rukhsar Ahmed,Private Limited,13302-1494355-9,2008-01-29,Active,"House 111, Block A, Askari, Abbottabad",KPK,Abbottabad
Meezan Traders,Amna Khan,,Partnership,13302-6794950-2,1990-09-13,Active,"House 57, Block G, Cantt, Karachi",Sindh,Karachi
Al Solutions,Amna Mallik,S/O Hamid Ansari,Public Limited,61101-2601929-5,2008-07-10,Dissolved,"House 413, Block A, Gulshan-e-Iqbal, Hyderabad",Sindh,Hyderabad
United Enterprises,Sobia Aslam,S/O Shoaib Virk,LLP,54000-1586397-9,1995-01-24,Active,"House 355, Block G, I-8, Mardan",KPK,Mardan
Pak Industries,Hamid Aslam,S/O Aamir Khan,Partnership,42101-7297521-4,2017-04-06,Active,"House 156, Block D, North Nazimabad, Skardu",Gilgit-Baltistan,Skardu
Meezan Associates,Aamir Hameed,S/O Amna Rizvi,Partnership,35202-5404222-4,2003-03-25,Active,"House 235, Block B, Gulberg, Mirpur",Azad Kashmir,Mirpur
Prime Industries,Adnan Bhatti,S/O محمد احمد,Sole Proprietorship,21301-3091804-3,2009-06-30,Suspended,,Gilgit-Baltistan,Gilgit
United Corp,Shazia Abbasi,S/O Usman Gilani,Private Limited,44000-6701201-4,2003-12-30,Active,"House 438, Block E, E-11, Quetta",Balochistan,Quetta
Pak Traders,Mirza Qureshi,S/O Kamran Zaidi,Public Limited,61101-7798093-4,2010-06-11,Active,"House 25, Block H, Gulshan-e-Iqbal, Quetta",Balochistan,Quetta
Meezan Corp,Ibrahim Akhtar,S/O Bushra Cheema,Private Limited,42101-8802829-1,2017-05-13,Active,"House 357, Block D, E-11, Islamabad",ICT,Islamabad
Pak Associates,Ayesha Latif,S/O Mehwish Bukhari,Partnership,42101-1105565-9,2004-12-23,Active,"House 141, Block B, Cantt, Mirpur",Azad Kashmir,Mirpur
Meezan Traders,Chaudhry Tarar,S/O Muhammad Latif,Partnership,44000-6434660-2,1992-12-05,Active,"House 424, Block G, Defence, Lahore",Punjab,Lahore
National Corp,Kashif Cheema,,Partnership,35202-1882583-5,2002-05-05,Dissolved,"House 147, Block E, E-11, Khuzdar",Balochistan,Khuzdar
Meezan Group,Asif Hameed,S/O Faisal Cheema,Partnership,21301-3675135-4,1997-09-16,Active,"House 484, Block F, Scheme 33, Mingora",KPK,Mingora
Atlas Associates,Sana Chattha,S/O Aamir Butt,Partnership,42101-7880444-5,2021-09-01,Active,"House 323, Block G, E-11, Mirpur",Azad Kashmir,Mirpur
Star Solutions,Maryam Gondal,S/O Waseem Malik,Sole Proprietorship,42101-4594642-6,1998-04-20,Active,"House 69, Block C, Cantt, Chilas",Gilgit-Baltistan,Chilas
Al Corp,Omar Zaidi,S/O Ayesha Rizvi,Public Limited,13302-8828891-5,2005-01-01,Active,"House 474, Block H, Cantt, Larkana",Sindh,Larkana
,Usman Zaidi,S/O S/O Asma Rana,Public Limited,13302-9517169-4,2015-11-18,Active,"House 441, Block E, F-10, Sukkur",Sindh,Sukkur
