citizen_id,canonical_name,cnic,ntn,father_name,city,province,phone,address,filing_status,declared_income,tax_paid,num_sources,sources,merged_record_ids,suspicion_pct,estimated_net_worth,deviation_score,risk_category,estimated_hidden_income,estimated_recoverable_tax,total_vehicle_value,total_property_value,foreign_travel_count,business_count,business_class_trips,avg_monthly_electricity,avg_monthly_gas,vehicle_count,property_count,total_utility_spend,directorship_count,avg_bank_balance
CZ-271CF17B,Zuair Latif (زعایر لاتیف),44000-4874618-6,NTN-340116,So Aamir Karim,Gilgit,Gilgit-Baltistan,0311-6037904,"House 419, Block D, Gulshan-e-Iqbal, Gilgit",Filer,17885800.0,2481930.0,4,"utility_bills,tax_records,banking_indicators,vehicle_records","banking_indicators_0,tax_records_412,utility_bills_210,vehicle_records_1941",23.77868155517213,46480330.0,12.16,A,28594530.0,10008085.499999998,4662000.0,0.0,0,0,0,0.0,0.0,1,0,0.0,0,41818330.0
CZ-AB21B2C0,Shazia Bukhari (شازیا بعخاری),35202-4460247-9,,So Rizwan Hashmi,Mardan,KPK,0301-4983000,,,,,3,"property_records,banking_indicators,business_records","banking_indicators_1,business_records_1746,property_records_1271",9.68350400425142,122424940.0,66.45,D,122424940.0,42113729.0,3220000.0,105886440.0,1,1,0,0.0,0.0,1,2,0.0,0,12858500.0
CZ-871346F6,Kamran Ali (کامران علی),21301-6705386-3,,So علی حسین,Karachi,Sindh,0333-4142155,,,,,2,"property_records,banking_indicators","banking_indicators_2,property_records_2421",10.716277672990604,21581135.0,71.27,D,21581135.0,6818397.25,0.0,12984850.0,2,1,0,0.0,0.0,0,1,0.0,0,8076285.0
CZ-B1FEECA1,Hussain Latif (حسین لاتیف),21301-6924975-6,NTN-430863,So Hassan Rafiq,Abbottabad,KPK,0302-7490950,,Filer,6118240.0,1065180.0,4,"vehicle_records,mobile_records,tax_records,banking_indicators","banking_indicators_3,mobile_records_1026,tax_records_1012,vehicle_records_2249",24.774737609217603,27609850.0,3.72,A,21491610.0,7522063.5,2826000.0,20338750.0,0,3,0,0.0,0.0,1,1,0.0,0,3245100.0
CZ-A62F657F,Raja Ansari (راجا انساری),44000-8220540-6,,So Muhammad Qureshi,Rawalakot,Azad Kashmir,0322-4607231,,,,,2,"property_records,banking_indicators","banking_indicators_4,property_records_4204",9.230747777879532,150976480.0,66.38,D,150976480.0,52106768.0,0.0,124946430.0,0,1,0,0.0,0.0,0,1,0.0,0,25630050.0
CZ-BD4C0CB4,Amna Baig (آمنہ بایگ),44000-2754666-4,,So Sajid Rafiq,Kohat,KPK,,,,,,2,"banking_indicators,business_records","banking_indicators_5,business_records_4889",10.030014199909598,8407560.0,66.5,D,8407560.0,2207646.0,0.0,0.0,0,1,0,0.0,0.0,0,0,0.0,0,8007560.0
CZ-5393F7C8,Hamid Cheema (ہامید چیمہ),35202-6213387-6,NTN-483380,So Faisal Hashmi,Kohat,KPK,0345-8433918,,Filer,9730470.0,2076650.0,4,"mobile_records,tax_records,banking_indicators,business_records","banking_indicators_6,business_records_195,mobile_records_4524,tax_records_147",26.897491672437123,33748400.0,4.03,A,24017930.0,8406275.5,8004000.0,0.0,0,1,0,0.0,0.0,2,0,0.0,0,25344400.0
CZ-2D22B38F,Nadia Cheema (نادیا چیمہ),61101-3318968-4,,So Sheikh Malik,Rawalakot,Azad Kashmir,0322-9955185,,,,,3,"mobile_records,banking_indicators,business_records","banking_indicators_7,business_records_4971,mobile_records_3916",24.279653391969585,113931110.0,73.31,D,113931110.0,39140888.5,0.0,0.0,2,2,0,0.0,0.0,0,0,0.0,0,113011110.0
CZ-18E6135E,Khalid Ahmad (خالد اہماد),54000-4630763-6,NTN-884338,So Nadia Ansari,Rawalakot,Azad Kashmir,0321-2058156,,Filer,17760570.0,2359170.0,3,"mobile_records,tax_records,banking_indicators","banking_indicators_8,mobile_records_206,tax_records_3889",17.043342343981806,40120160.0,11.83,A,22359590.0,7825856.5,0.0,0.0,1,0,0,0.0,0.0,0,0,0.0,0,40060160.0
CZ-2DF6575E,Syed Ali (سید علی),13302-5449047-4,,So Rabia Ali,Quetta,Balochistan,,,,,,2,"property_records,banking_indicators","banking_indicators_9,property_records_2818",8.426449595848872,113555160.0,66.26,D,113555160.0,39009306.0,0.0,98388990.0,0,1,0,0.0,0.0,0,1,0.0,0,14766170.0
CZ-28E7ADFA,Khalid Mirza (خالد مرزا),35202-2213893-1,NTN-857980,So Kashif Gondal,Kohat,KPK,0346-4365042,,Filer,8949120.0,708840.0,3,"property_records,tax_records,banking_indicators","banking_indicators_10,property_records_47,tax_records_4042,tax_records_4764",21.470387847861016,126342220.0,37.95,B,117393100.0,41087585.0,0.0,108229910.0,0,2,0,0.0,0.0,0,2,0.0,0,17312310.0
CZ-3648A27B,Bushra Ahmad (بعشرا اہماد),54000-9060130-1,,So Uzma Bukhari,Chilas,Gilgit-Baltistan,0331-6921316,,,,,2,"property_records,banking_indicators","banking_indicators_11,property_records_2382",8.167863065133252,22751185.0,66.23,D,22751185.0,7227914.75,5106000.0,14031160.0,1,1,0,0.0,0.0,2,1,0.0,0,3154025.0
CZ-EBAB4900,Asma Tarar (اسما تارار),54000-7126456-4,NTN-137525,So Khalid Mirza,Gwadar,Balochistan,0313-8468706,,Non-Filer,7813590.0,1634980.0,3,"mobile_records,tax_records,banking_indicators","banking_indicators_12,mobile_records_1106,tax_records_4129",22.617983039773936,6924520.0,13.39,A,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,0.0,0,6924520.0
CZ-64040DB7,Rabia Ali (رابعہ علی),42101-7349462-4,,So Usman Sheikh,Islamabad,ICT,0300-2713899,"House 230, Block D, Gulshan-e-Iqbal, Islamabad",,,,3,"utility_bills,banking_indicators,vehicle_records","banking_indicators_13,utility_bills_3616,vehicle_records_124",11.224450559251286,6765020.0,41.68,C,6765020.0,1632757.0,904000.0,0.0,1,0,0,0.0,0.0,1,0,0.0,0,5801020.0
CZ-0A0816BF,Adna Nvirk (ادنا نویرک),44000-6754960-8,,So نادیہ رضا,Rawalakot,Azad Kashmir,0313-9033759,,,,,3,"vehicle_records,mobile_records,banking_indicators","banking_indicators_14,mobile_records_3147,vehicle_records_1273",6.015349551430704,13407765.0,65.9,D,13407765.0,3957717.75,6064000.0,0.0,1,1,0,0.0,0.0,1,1,0.0,0,6883765.0
CZ-41D113B3,Arif Virk (اریف ورک),42101-4708239-2,NTN-206446,So Tariq Syed,Gujranwala,Punjab,0313-6631223,,Filer,20417890.0,2567960.0,3,"property_records,tax_records,banking_indicators","banking_indicators_15,property_records_4013,tax_records_2617",21.795400267215182,294119670.0,35.49,B,273701780.0,95795623.0,5856000.0,238994750.0,1,2,0,0.0,0.0,1,2,0.0,0,48408920.0
CZ-360FDE55,Malik Hashmi (ملک ہاشمی),13302-4069834-9,NTN-205041,So Usman Gondal,Mardan,KPK,0331-2585512,,Non-Filer,6400210.0,929910.0,3,"mobile_records,tax_records,banking_indicators","banking_indicators_16,mobile_records_4072,tax_records_928",14.20529934656345,49980670.0,22.92,B,43580460.0,15253160.999999998,0.0,43436630.0,1,1,0,0.0,0.0,0,1,0.0,0,6084040.0
CZ-C1E3868F,Tahir Jafri (طاہر جافری),44000-3202043-1,,So Uzma Rana,,,,,,,,1,banking_indicators,banking_indicators_17,8.384661376573288,14860280.0,66.26,D,14860280.0,4466098.0,0.0,0.0,1,1,0,0.0,0.0,0,0,0.0,0,14400280.0
CZ-BCE268EE,Bilal Jafri (بلال جافری),54000-5446285-6,NTN-929208,So Faisal Aslam,Abbottabad,KPK,0321-9551602,,Filer,15832550.0,3090530.0,3,"mobile_records,tax_records,banking_indicators","banking_indicators_18,mobile_records_985,tax_records_282",18.56832555094785,132738290.0,16.25,A,116905740.0,40917009.0,0.0,90200380.0,1,2,0,0.0,0.0,0,1,0.0,0,41677910.0
CZ-4E2B6261,Khalid Butt (خالد بعتت),42101-2884472-4,NTN-147401,So Waseem Ahmad,Muzaffarabad,Azad Kashmir,0313-1343352,,Filer,15704780.0,1863930.0,3,"vehicle_records,tax_records,banking_indicators","banking_indicators_19,tax_records_4301,vehicle_records_4576",23.986761977872952,13752270.0,14.2,A,0.0,0.0,5910000.0,0.0,0,0,0,0.0,0.0,1,0,0.0,0,7842270.0
CZ-6845700E,Shoaib Malik (شوایب ملک),21301-8815384-9,,So So Sobia Tarar,Abbottabad,KPK,0302-3164813,,,,,2,"property_records,banking_indicators","banking_indicators_20,property_records_1879",10.291289371322932,35041850.0,66.54,D,35041850.0,11529647.5,0.0,27324120.0,1,0,0,0.0,0.0,0,1,0.0,0,7657730.0
CZ-F23EACCD,محمد احمد,44000-3497284-8,,So Imran Abbasi,Islamabad,ICT,0322-3018015,,,,,2,"mobile_records,banking_indicators","banking_indicators_21,mobile_records_2347",10.20229788599767,14142880.0,66.53,D,14142880.0,4215008.0,0.0,0.0,1,0,0,0.0,0.0,0,0,0.0,0,14082880.0
