canonical_name,father_name,cnic,annual_recharge_amount,phone,city,province
Amna Syed,S/O Nadia Baig,35202-3850596-7,341100.0,0321-3770261,Rawalakot,Azad Kashmir
Ibrahim Hameed,S/O Rizwan Syed,13302-8424152-8,86540.0,0322-6669426,Larkana,Sindh
Naeem Akhtar,S/O Waseem Hashmi,61101-3883303-9,381720.0,0322-1389858,Hub,Balochistan
Fatima Akhtar,,44000-8892776-2,1038920.0,0312-9324479,Bahawalpur,Punjab
Ahmed Ali,S/O Zubair Gilani,35202-7226322-2,1935430.0,0312-8765215,Hyderabad,Sindh
Ahmed Abbasi,S/O Uzma Hameed,21301-9412028-4,32600.0,0301-7657744,Gujranwala,Punjab
Khalid Chaudhry,S/O Imran Raza,54000-6872665-1,75610.0,0303-7110995,Abbottabad,KPK
Raja Khan,S/O Qureshi Gujjar,21301-3919694-5,457440.0,0311-5813613,Rawalakot,Azad Kashmir
Nadia Syed,S/O Rukhsar Ansari,35202-9539040-4,1157910.0,0303-9241038,Multan,Punjab
Malik Ansari,S/O Naveed Nawaz,13302-8183451-3,335820.0,0346-4471922,Khuzdar,Balochistan
Kamran Ahmed,S/O Baig Bukhari,44000-9993522-7,1041860.0,0345-1569792,Chilas,Gilgit-Baltistan
Aamir Ali,S/O Ahmed Sandhu,54000-5069646-2,218680.0,0322-9684781,Islamabad,ICT
Maryam Rizvi,S/O محمد احمد,44000-7842176-3,536740.0,0312-6495874,Skardu,Gilgit-Baltistan
Ali Hameed,S/O Mehwish Butt,21301-1097158-3,423310.0,0345-8277586,Mirpur,Azad Kashmir
Salman Mirza,S/O Sobia Qureshi,61101-2050358-5,40960.0,0345-9599599,Islamabad,ICT
Tahir Hameed,S/O Hussain Butt,35202-8424060-8,850100.0,0302-8749161,Turbat,Balochistan
Uzma Gilani,S/O Hassan Baig,44000-9855241-3,1081130.0,0312-5586458,Muzaffarabad,Azad Kashmir
Muhammad Khan,S/O Salman Karim,44000-4794852-9,328130.0,0333-6764217,Gilgit,Gilgit-Baltistan
Sobia Iqbal,S/O Naeem Sandhu,35202-4493756-3,858960.0,0312-2583322,Hyderabad,Sindh
Omar Hussain,S/O صنا ملک,42101-1361489-3,425270.0,0311-3288989,Kohat,KPK
Rabia Virk,S/O Arif Hussain,35202-3067274-8,403450.0,0302-9368955,Gilgit,Gilgit-Baltistan
Noor Naqvi,S/O Saira Malik,44000-3763853-9,59900.0,0345-5504567,Gujranwala,Punjab
Hassan Ali,S/O Imran Malik,42101-4070595-1,51410.0,0311-3736282,Islamabad,ICT
Sheikh Tarar,S/O Arif Baig,35202-5330717-2,810590.0,0303-5476063,Sukkur,Sindh
Nadia Zaidi,S/O Rabia Baig,42101-8147355-3,623760.0,0345-8971036,Gilgit,Gilgit-Baltistan
,S/O Asif Jafri,44000-1335194-9,3117860.0,0313-1943886,Mirpur,Azad Kashmir
Tariq Virk,S/O Ayesha Akhtar,13302-1337833-7,128850.0,0302-3013907,Islamabad,ICT
Sidra Hameed,S/O Raja Gondal,54000-8371182-3,1735160.0,0300-7026992,Mingora,KPK
Shaza Hussain,S/O Amna Jafri,42101-6744174-1,330330.0,0331-3280721,Skardu,Gilgit-Baltistan
Syed Khan,S/O Malik Malik,21301-2873109-7,323900.0,0313-7323419,Skardu,Gilgit-Baltistan
