canonical_name,father_name,cnic,owner_number,province,city,society_name,property_type,plot_house_no,area,purchase_year,ownership_status,market_value,phone
Rabia Hashmi,S/O Maryam Cheema,44000-3267600-9,03313085954,Sindh,Hyderabad,Township,House,784,8 Marla,2022,Sold,112757690.0,0331-3085954
Uzma Bukhari,S/O Uzma Sandhu,61101-9055771-3,03027948213,Azad Kashmir,Mirpur,Johar Town,Residential Plot,836,93 Sq.Ft,2011,Owned,45973080.0,0302-7948213
Nadia Cheema,S/O Mohammad Jafri,21301-3630083-1,03036114979,Sindh,Hyderabad,DHA,Residential Plot,869,68 Kanal,2004,Sold,37781810.0,0303-6114979
Ali Khan,S/O Sana Abbasi,54000-5823581-2,03137534892,KPK,Kohat,Gulshan-e-Iqbal,Residential Plot,458,7 Marla,1998,Mortgaged,108614820.0,0313-7534892
Tahir Hameed,S/O Naveed Mirza,54000-1333906-1,03131351260,Gilgit-Baltistan,Chilas,Gulberg,Residential Plot,469,27 Sq.Ft,2004,Mortgaged,28260440.0,0313-1351260
Mehwish Cheema,S/O Muhammad Chaudhry,13302-7503458-6,03006649498,Azad Kashmir,Rawalakot,Johar Town,Apartment,404,69 Marla,2002,Mortgaged,116790800.0,0300-6649498
Ibrahim Aslam,S/O Rabia Bukhari,13302-7123946-2,03316513147,Balochistan,Khuzdar,Cavalry Ground,Residential Plot,777,18 Kanal,2017,Sold,60703320.0,0331-6513147
Shazia Butt,S/O Noor Virk,13302-5703624-4,03323065243,Azad Kashmir,Muzaffarabad,Clifton,Apartment,976,46 Kanal,2003,Mortgaged,33168020.0,0332-3065243
Zainab Hashmi,S/O Sheikh Tarar,13302-1802809-3,03318569809,Balochistan,Khuzdar,Gulshan-e-Iqbal,Apartment,845,51 Marla,2016,Rented,151125170.0,0345-9580843
Aamir Syed,S/O Asif Raza,35202-2879635-7,03122144792,Punjab,Multan,Clifton,Residential Plot,380,84 Sq.Ft,1995,Owned,165419840.0,
Hamid Gujjar,S/O Sidra Rana,54000-2840565-2,03314293083,Gilgit-Baltistan,Gilgit,Askari,Agricultural Land,378,3 Kanal,2010,Sold,661832690.0,0331-4293083
Ayesha Abbasi,S/O Asma Mirza,21301-2477917-9,03456215275,Azad Kashmir,Rawalakot,North Nazimabad,Residential Plot,86,67 Marla,2012,Owned,46238590.0,0345-6215275
