cnic,canonical_name,father_name,declared_income,tax_paid,ntn,filing_status,phone
54000-5387900-6,Mirza Chattha,S/O Salman Rana,45494860.0,9001650.0,NTN-744666,Filer,0303-3663333
42101-6996415-4,Ayesha Akhtar,S/O Khalid Chaudhry,19544290.0,1357950.0,NTN-252431,Filer,0312-6532337
61101-5759819-7,Tariq Abbasi,S/O Ali Baig,7753310.0,547870.0,NTN-843048,Filer,
54000-5941179-3,Neaem Zaidi,S/O S/O Saira Aslam,1634370.0,0.0,,Non-Filer,0346-1543292
42101-6135140-1,Naeem Qureshi,S/O Ahmed Gondal,7512300.0,1362910.0,NTN-109643,Filer,0331-7183858
13302-7566356-4,Naveed Gondal,S/O Mirza Naqvi,55486550.0,7702580.0,NTN-472209,Filer,0331-2729774
54000-4023601-8,Chaudhry Ahmed,S/O Salman Bukhari,15973500.0,2250010.0,NTN-405181,Filer,0313-8648272
21301-7621123-6,Waseem Tarar,S/O Rizwan Nawaz,1225850.0,0.0,NTN-384789,,0301-7858317
42101-7653732-3,Rukhsar Hussain,S/O Bilal Butt,8046650.0,1610030.0,NTN-573438,Non-Filer,0345-8460813
42101-5523795-7,Maryam Bhatti,S/O Salman Jafri,7985530.0,846690.0,NTN-523325,Filer,0302-3451220
35202-8624054-6,Zubair Latif,S/O Ayesha Rana,15129530.0,3313390.0,NTN-813915,Filer,0303-5624061
35202-4474015-2,Sidra Naqvi,S/O Imran Nawaz,7018930.0,0.0,NTN-351340,Non-Filer,0302-7481529
54000-4945697-3,Maryam Malik,S/O Sana Virk,25927690.0,2116410.0,NTN-440201,Filer,0332-9049583
54000-3074710-3,Sajid Ansari,S/O Qureshi Bukhari,3681260.0,0.0,NTN-320254,Non-Filer,0331-3585824
21301-7082477-5,Baig Gonadl,S/O Raja Raja,270650670.0,48405890.0,NTN-482455,Filer,0332-1929129
21301-5534911-9,عمر شیخ,,48189590.0,2446310.0,NTN-642473,Filer,0300-8785277
13302-6940889-7,Rukhsar Sheikh,S/O Hussain Hameed,9391200.0,1330660.0,NTN-552613,Non-Filer,0346-8385584
54000-9629101-6,Sobia Gondal,S/O Rukhsar Raza,2832500.0,0.0,NTN-693841,Non-Filer,0313-2021413
13302-3779844-7,Amna Cheema,S/O Muhammad Zaidi,31601210.0,1952040.0,NTN-683383,Filer,0331-6991311
13302-2503425-8,Uzma Nawaz,S/O Ibrahim Latif,86579200.0,16735920.0,NTN-746052,Filer,0311-8467845
21301-4847593-5,Hashmi Raza,S/O Sheikh Latif,576810.0,0.0,NTN-899911,Filer,0312-7935621
44000-6637599-2,,S/O علی حسین,14218800.0,3481350.0,NTN-709865,Filer,0311-6630212
54000-2150780-4,Imran Baig,S/O Raja Virk,11527220.0,1794140.0,NTN-399086,Filer,0333-1847445
21301-5875342-9,Hina Zaidi,S/O محمد حسن,34004630.0,7296040.0,NTN-367943,Filer,0322-7351367
13302-9945709-1,Asif Ansari,S/O Naeem Gilani,1261980.0,0.0,NTN-149494,Filer,0346-8117053
42101-6202807-5,Aamir Hussain,S/O Aamir Gilani,4407090.0,0.0,NTN-337718,,0302-8231916
21301-9803619-8,Kamran Jafri,S/O Maryam Sandhu,14196930.0,2607290.0,NTN-495819,Filer,0311-6526237
44000-5477850-6,Aamir Zaidi,S/O Khalid Rafiq,15089780.0,1740290.0,NTN-558944,Filer,0332-2376303
35202-7651324-7,Bushrra Ahmed,S/O Asma Tarar,9782710.0,1413990.0,NTN-421422,Non-Filer,0331-7044338
42101-4226049-9,Mohammad Hameed,S/O Waseem Akhtar,0.0,4086780.0,NTN-570610,Filer,0302-5068753
13302-8284009-5,Hina Malik,S/O Ahmed Hashmi,31031930.0,3069440.0,NTN-576722,Filer,0332-1697317
21301-4580291-6,عائشہ احمد,S/O Sheikh Nawaz,61030810.0,9119220.0,NTN-756357,Filer,0302-3186727
13302-2684748-4,Sana Zaidi,,64181710.0,16036700.0,NTN-815573,Filer,0302-4283164
61101-2568081-5,Ibrahim Bukhari,S/O Arif Hussain,13664010.0,2930160.0,NTN-768257,Filer,0303-6772586
21301-5032526-7,Ibrahim Gilaani,S/O Sana Sheikh,1567030.0,0.0,NTN-200384,Filer,0322-2248828
61101-2775711-7,Sajid Rana,S/O فاطمہ خان,4807750.0,0.0,NTN-521841,Filer,0313-8933671
42101-6541354-5,Ayesha Latif,S/O Shoaib Gondal,4867580.0,0.0,NTN-104141,Filer,0302-4988268
54000-8601889-5,Tariq Aslam,S/O Imran Ahmed,30213910.0,6389930.0,NTN-860189,Filer,
61101-3066998-3,Aamir Baig,S/O Iqra Bukhari,6683800.0,0.0,,Non-Filer,0302-1544957
42101-7715005-1,Mirza Ansari,S/O Naveed Zaidi,7878520.0,1230520.0,NTN-551779,Non-Filer,0333-4074000
35202-7636635-8,Syed Gilani,S/O Salman Butt,22454380.0,3157260.0,NTN-519948,Filer,0301-7751276
13302-4168436-6,Rukhsar Bukhari,S/O Hashmi Abbasi,5804890.0,0.0,NTN-156397,Filer,0313-5619072
21301-3221223-1,Sana Hameed,S/O Sobia Gondal,2258600.0,0.0,NTN-418259,Non-Filer,0332-6489924
54000-7174996-7,Hussain Akhtar,S/O Naveed Ahmed,1794390.0,0.0,NTN-176059,Non-Filer,0322-7782288
44000-6362242-2,Naeem Rizvi,S/O عائشہ احمد,43204960.0,2748540.0,NTN-994657,Filer,0345-2808399
35202-2013269-4,Hamid Cheema,S/O Qureshi Hameed,8267930.0,1079260.0,NTN-847794,Filer,0311-1869156
42101-6123426-2,Rukhsar Qureshi,S/O Imran Baig,118697930.0,23467550.0,NTN-381554,Filer,0322-7517332
13302-6554474-4,Mirza Mirza,,18753410.0,4232920.0,NTN-652733,Filer,0312-7414620
61101-7349822-3,Sidra Cheema,S/O Omar Aslam,4338640.0,0.0,NTN-873978,Filer,0346-5955190
54000-5374038-4,Ayesha Abbasi,S/O Fatima Ali,19338100.0,3066690.0,NTN-994971,Filer,0345-8649392
21301-2030417-7,Syed Hussain,S/O Noor Hussain,26950380.0,5438730.0,NTN-583389,Filer,0312-2804298
35202-7208547-5,Sidra Tarar,S/O Kashif Baig,10277980.0,1339730.0,NTN-384673,Filer,0313-8340617
42101-7529877-6,Shazia Bukhari,S/O Mirza Qureshi,12071820.0,854570.0,NTN-276549,Filer,0321-9202607
61101-9212376-5,Waseeem Syed,S/O Iqra Sheikh,4011070.0,0.0,NTN-185401,Filer,0332-2807922
44000-4959607-4,Maryam Rana,S/O Arif Khan,10665150.0,1397470.0,NTN-822983,Filer,0300-8193891
44000-7496259-1,نادیہ رضا,,37080640.0,2928650.0,NTN-534280,Filer,0313-9459049
21301-8200180-2,Ibrahim Syed,S/O Zainab Rana,14537290.0,1463890.0,NTN-730404,Filer,0303-3789161
44000-7583688-6,Kasshif Raza,S/O Sana Hameed,4959250.0,0.0,NTN-509174,Non-Filer,0300-1868273
54000-7450866-9,Nadia Baig,S/O Sidra Rafiq,7679960.0,1489580.0,NTN-713483,Filer,0303-8614959
44000-5438524-7,Zubair Ansari,S/O Waseem Naqvi,34644460.0,4001770.0,NTN-491854,Filer,0302-3991642
35202-5442135-9,Bilal Hashmi,S/O Omar Jafri,25812900.0,3030590.0,NTN-502741,Filer,0313-2951927
42101-4202744-9,Sajid Chattha,S/O Qureshi Iqbal,17317710.0,1691140.0,NTN-703644,Filer,0322-8551041
