canonical_name,father_name,cnic,passport_no,nationality,city,travelling_from,destination,travel_date,visa_type,reason_to_travel
Hamid Aslam,S/O S/O Chaudhry Raja,61101-8561977-3,AB1397316,Pakistani,Islamabad,Pakistan,Malaysia,2022-08-24,Work,Business Meeting
Syed Iqbal,S/O Asif Zaidi,54000-9925341-6,AB2939417,Pakistani,Mardan,Pakistan,China,2021-02-19,Work,Education
Rizwan Syed,S/O Tariq Sandhu,13302-3604828-5,AB4834660,Pakistani,Muzaffarabad,Pakistan,USA,2019-11-24,Visit,Family Visit
صنا ملک,S/O S/O Sana Rana,13302-7381619-6,AB3902209,Pakistani,Hub,Pakistan,USA,2019-10-02,Work,Education
Fatima Bhatti,S/O Saira Rizvi,61101-6972159-2,AB5124196,Pakistani,Skardu,Pakistan,China,2015-05-29,Tourist,Family Visit
Ayesha Abbasi,S/O Chaudhry Sheikh,35202-6789620-3,AB4772066,Pakistani,Chilas,Pakistan,Turkey,2019-09-11,Business,Medical Treatment
Anma Karim,S/O Khalid Jafri,54000-5325779-4,AB2573708,Pakistani,Multan,Pakistan,UAE,2020-08-28,Work,Family Visit
Sidra Khan,S/O Baig Ansari,13302-4915473-8,AB6883003,Pakistani,Mirpur,Pakistan,Germany,2021-08-15,Student,Education
Hina Mirza,S/O Uzma Chattha,42101-6854509-2,AB2265546,Pakistani,Skardu,Pakistan,Malaysia,2022-11-28,Tourist,Business Meeting
Imran Baig,S/O S/O Muhammad Ansari,54000-8250013-7,AB1253201,Pakistani,Gujranwala,Pakistan,Malaysia,2017-05-13,Work,Family Visit
Sana Sandhu,S/O Hussain Gujjar,42101-5120657-6,AB9041871,Pakistani,Sukkur,Pakistan,Saudi Arabia,2020-02-24,Tourist,Medical Treatment
Rizwan Ali,S/O Omar Malik,13302-3351809-9,AB9138478,Pakistani,Gilgit,Pakistan,USA,2022-12-28,Student,Medical Treatment
Faisal Karim,S/O Muhammad Ali,44000-5935191-8,AB6162936,Pakistani,Islamabad,Pakistan,UK,2021-10-20,Work,Education
Iqra Ali,,21301-9466315-4,AB9477589,Pakistani,Nawabshah,Pakistan,UK,2016-10-10,Business,Tourism
Sajid Gujjar,S/O Uzma Qureshi,61101-3847389-5,AB8020014,Pakistani,Mirpurkhas,Pakistan,UAE,2022-07-26,Tourist,Medical Treatment
Zubair Butt,S/O Bushra Hashmi,35202-5880671-1,AB7510295,Pakistani,Islamabad,Pakistan,USA,2015-11-02,Tourist,Business Meeting
Sobia Raza,S/O Ayesha Cheema,21301-2593364-1,AB1070400,Pakistani,Rawalpindi,Pakistan,USA,2017-08-11,Student,Business Meeting
Waseem Virk,S/O Noor Cheema,21301-3892889-7,,Pakistani,Skardu,Pakistan,France,2023-03-10,Tourist,Business Meeting
Ibrahim Rizvi,S/O Ayesha Virk,13302-8479801-2,AB4996509,Pakistani,Islamabad,Pakistan,Turkey,2017-11-06,Work,Education
Kamran Hameed,S/O Mirza Nawaz,61101-3670819-1,AB7196519,Pakistani,Rawalakot,Pakistan,China,2015-01-25,Work,Business Meeting
Zainab Raja,S/O Bushra Jafri,21301-5824696-3,AB1261600,Pakistani,Hyderabad,Pakistan,Malaysia,2019-07-13,Business,Employment
HussainGilani,S/O Adnan Jafri,44000-4429590-7,AB7134305,Pakistani,Kohat,Pakistan,Turkey,2021-09-20,Work,Medical Treatment
Mohd Tarrar,S/O Sana Hameed,42101-5199995-6,AB2198501,Pakistani,Chilas,Pakistan,UK,2019-01-27,Tourist,Medical Treatment
Maryam Zaidi,S/O Salman Chaudhry,21301-1241402-6,AB9636274,Pakistani,Muzaffarabad,Pakistan,Turkey,2019-04-14,Student,Tourism
Mohammad Latif,S/O Raja Raza,42101-7857886-2,AB3528627,Pakistani,Skardu,Pakistan,China,2017-07-20,Business,Employment
Rabia Jafir,S/O Tariq Raza,35202-4010048-2,AB6772722,Pakistani,Nawabshah,Pakistan,UK,2015-03-17,Student,Employment
Mehwish Ansari,S/O Shazia Ansari,,AB8881986,Pakistani,Hyderabad,Pakistan,USA,2016-04-21,Visit,Tourism
Hashmi Karim,,54000-2877401-1,AB3676677,Pakistani,Quetta,Pakistan,Canada,2018-01-27,Visit,Family Visit
Waseem Chattha,S/O Hamid Iqbal,54000-7418526-3,AB9870162,Pakistani,Turbat,Pakistan,Germany,2020-06-05,Business,Medical Treatment
Maryam Aslam,S/O Baig Syed,35202-7889743-4,AB1091516,Pakistani,Sargodha,Pakistan,Saudi Arabia,2016-09-15,Student,Education
Mohd Raja,S/O Nadia Raza,44000-2362589-2,AB8114248,Pakistani,Faisalabad,Pakistan,Saudi Arabia,2015-02-03,Student,Tourism
Ayesha Gondal,S/O Muhammad Gujjar,61101-7575957-3,AB1353213,Pakistani,Gwadar,Pakistan,China,2016-12-07,Student,Education
Raja Gondal,S/O Bushra Khan,13302-4222974-2,AB5597427,Pakistani,Mirpur,Pakistan,Malaysia,2020-12-07,Work,Tourism
Mehwish Bhatti,S/O Hussain Tarar,42101-8491643-9,AB5039426,Pakistani,Larkana,Pakistan,UK,2022-11-06,Work,Business Meeting
Ayesha Karim,S/O Faisal Khan,21301-1060457-5,AB9662681,Pakistani,Quetta,Pakistan,Saudi Arabia,2015-12-01,Business,Employment
Aamir Gilani,S/O Shoaib Bhatti,42101-2498890-3,AB9349597,Pakistani,Khuzdar,Pakistan,Germany,2019-01-23,Tourist,Family Visit
Ayesha Jafri,S/O Maryam Sandhu,54000-9734885-5,AB4269240,Pakistani,Islamabad,Pakistan,Turkey,2016-09-21,Visit,Education
Mehwish Baig,S/O Nadia Gilani,13302-3954644-4,AB8714417,Pakistani,Hyderabad,Pakistan,Saudi Arabia,2016-07-23,Business,Business Meeting
Moh Gondal,S/O Rabia Aslam,35202-4012314-7,AB1010298,Pakistani,Mardan,Pakistan,UK,2022-10-22,Tourist,Employment
Sajid Rana,S/O Ahmed Rafiq,42101-7567925-5,AB4417333,Pakistani,Abbottabad,Pakistan,China,2015-12-06,Visit,Tourism
Tariq Gujjar,S/O Bushra Bukhari,13302-4879075-2,AB5677159,Pakistani,Lahore,Pakistan,USA,2023-02-02,Work,Tourism
Raja Chaudhry,S/O Mirza Khan,13302-6829790-4,AB9324892,Pakistani,Chilas,Pakistan,Canada,2020-01-14,Business,Employment
Sobia Mirza,S/O Raja Baig,35202-2453844-5,AB9779218,Pakistani,Islamabad,Pakistan,Saudi Arabia,2018-08-30,Tourist,Medical Treatment
Naveed Qureshi,S/O Rizwan Ali,44000-8136853-8,AB6968577,Pakistani,Hub,Pakistan,Malaysia,2017-03-22,Visit,Medical Treatment
Mohd Qureshi,S/O Bilal Cheema,42101-2868877-5,AB1771733,Pakistani,Karachi,Pakistan,France,2017-09-09,Work,Employment
Salman Sandhu,S/O Rizwan Cheema,61101-9617883-6,AB1209686,Pakistani,Rawalakot,Pakistan,Canada,2022-09-17,Visit,Tourism
Tahir Chaudhry,S/O Sidra Zaidi,44000-9802632-2,AB3453190,Pakistani,Gilgit,Pakistan,Turkey,2020-08-20,Tourist,Tourism
Fatima Gondal,S/O Sheikh Tarar,61101-2139884-2,AB6320762,Pakistani,Nawabshah,Pakistan,UAE,2022-05-28,Business,Family Visit
Mohd Baig,S/O Sobia Baig,42101-8707031-9,AB7938930,Pakistani,Sukkur,Pakistan,USA,2018-06-07,Business,Employment
Hina Butt,S/O Hassan Hussain,54000-8115841-8,AB4461784,Pakistani,Islamabad,Pakistan,Canada,2023-01-25,Visit,Education
Tahir Sandhu,S/O Aamir Syed,21301-8502046-7,AB5146554,Pakistani,Rawalakot,Pakistan,Malaysia,2022-01-24,Work,Business Meeting
Saira Naqvi,S/O Rizwan Ahmed,42101-8462219-1,AB1262390,Pakistani,Abbottabad,Pakistan,UAE,2017-06-27,Work,Education
Kamran Abbasi,S/O Khalid Qureshi,42101-4361682-4,,Pakistani,Mardan,Pakistan,Turkey,2018-01-14,Business,Business Meeting
Asma Karim,S/O Hamid Latif,21301-7814419-8,AB6597283,Pakistani,Quetta,Pakistan,France,2022-09-26,Tourist,Medical Treatment
Naeem hCeema,S/O Mehwish Jafri,42101-9877364-4,AB6895167,Pakistani,Rawalpindi,Pakistan,China,2021-05-10,Student,Employment
Waseem Syed,S/O Uzma Raza,44000-7721793-1,AB5769384,Pakistani,Muzaffarabad,Pakistan,France,2023-11-19,Student,Tourism
عمر شیخ,S/O Tahir Raja,42101-2398174-2,AB8524306,Pakistani,Khuzdar,Pakistan,USA,2018-03-15,Business,Education
زینب علی,S/O Raja Chaudhry,35202-2024581-9,AB4052658,Pakistani,Lahore,Pakistan,UK,2015-09-07,Visit,Family Visit
,S/O Hamid Jafri,35202-6410982-2,AB1738377,Pakistani,Gwadar,Pakistan,UK,2023-06-29,Tourist,Medical Treatment
Amna Raza,S/O ابراہیم ملک,42101-2402709-2,AB1678090,Pakistani,Hub,Pakistan,Canada,2020-09-08,Visit,Business Meeting
Shoaib Ahmed,S/O Nadia Baig,54000-5965761-5,AB2449918,Pakistani,Gwadar,Pakistan,China,2018-04-07,Business,Medical Treatment
Mohammad Hussain,S/O Sajid Hashmi,35202-7865710-8,AB7213030,Pakistani,Skardu,Pakistan,USA,2017-05-11,Tourist,Family Visit
Salman Vrik,S/O Naveed Hussain,44000-4930731-4,AB4340754,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2017-08-20,Tourist,Medical Treatment
Imran Hashmi,S/O Usman Syed,21301-7751734-9,AB8662813,Pakistani,Hub,Pakistan,Germany,2017-07-05,Visit,Family Visit
Iqra Sheikh,S/O Waseem Cheema,21301-2319117-7,AB5554397,Pakistani,Islamabad,Pakistan,UK,2016-01-22,Business,Business Meeting
زینب علی,S/O Tariq Iqbal,61101-7472835-4,AB4102129,Pakistani,Skardu,Pakistan,Malaysia,2017-02-23,Tourist,Education
,S/O Ahmed Tarar,54000-5495743-6,AB6535663,Pakistani,Islamabad,Pakistan,Saudi Arabia,2019-10-11,Business,Tourism
Hassan Naqvi,S/O Syed Ali,42101-7685149-6,AB2291309,Pakistani,Gilgit,Pakistan,Malaysia,2021-10-02,Visit,Business Meeting
Nadia Gondal,S/O Muhammad Hussain,42101-6073548-1,AB8937444,Pakistani,Karachi,Pakistan,Saudi Arabia,2022-04-27,Visit,Family Visit
Raja Rafiq,S/O Rukhsar Rana,61101-8816912-7,AB5986545,Pakistani,Karachi,Pakistan,UK,2020-11-29,Tourist,Family Visit
Kamran Virk,S/O Uzma Rafiq,54000-6351781-2,AB3295166,Pakistani,Faisalabad,Pakistan,France,2017-04-13,Work,Tourism
Omar Qureshi,S/O Iqra Chattha,21301-6252223-3,AB2884521,Pakistani,Gwadar,Pakistan,China,2015-03-17,Business,Business Meeting
Saira Khan,S/O Tariq Chaudhry,42101-4263591-8,AB3099463,Pakistani,Skardu,Pakistan,Malaysia,2017-06-07,Student,Medical Treatment
Usman Cheema,S/O Syed Ansari,42101-9487745-3,AB3264845,Pakistani,Islamabad,Pakistan,Canada,2021-11-24,Business,Family Visit
Khalid Raja,S/O Sajid Rafiq,42101-8100127-8,AB8262242,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2022-01-23,Work,Medical Treatment
Mohd Raja,S/O Bushra Iqbal,54000-4592093-5,AB8462596,Pakistani,Abbottabad,Pakistan,USA,2021-03-16,Business,Business Meeting
Ali Hameed,S/O Kamran Virk,21301-2922016-8,AB7727881,Pakistani,Hub,Pakistan,UAE,2016-12-21,Visit,Family Visit
Bushra Naqvi,S/O Iqra Gilani,42101-7055966-4,AB8272471,Pakistani,Muzaffarabad,Pakistan,China,2016-04-27,Work,Education
Shazia Hussain,S/O Waseem Gilani,21301-1274432-8,AB8879655,Pakistani,Kohat,Pakistan,UK,2021-07-11,Student,Tourism
Arif Raiq,S/O Malik Chattha,44000-9158613-9,AB1554742,Pakistani,Bahawalpur,Pakistan,Turkey,2017-08-11,Tourist,Employment
Ayesha Bhatti,S/O احمد خان,44000-5159182-8,AB1121822,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2016-04-09,Visit,Education
Khalid Mirza,S/O Asif Jafri,13302-5686507-1,AB2162369,Pakistani,Gwadar,Pakistan,UK,2021-10-19,Business,Business Meeting
Ali Malik,S/O Faisal Qureshi,13302-1906432-8,AB6678903,Pakistani,Islamabad,Pakistan,Germany,2018-04-30,Student,Education
Hussain Akhtar,S/O Malik Ali,35202-7110659-4,AB9290903,Pakistani,Sialkot,Pakistan,Germany,2015-07-26,Visit,Family Visit
عمر شیخ,S/O Tariq Karim,35202-7463337-2,AB1973999,Pakistani,Rawalakot,Pakistan,Canada,2020-06-28,Tourist,Employment
Sidra Abbasi,S/O Aamir Raja,21301-6312396-9,AB2607402,Pakistani,Gujranwala,Pakistan,Malaysia,2020-04-18,Work,Education
Saira Bhatti,S/O Adnan Tarar,54000-4063287-9,AB9570743,Pakistani,Bannu,Pakistan,Germany,2021-08-09,Student,Employment
Kamran Hameed,S/O Mirza Nawaz,61101-3670819-1,,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2021-06-26,Tourist,Family Visit
Mohd Chattha,S/O Khalid Karim,35202-8020412-7,AB2567347,Pakistani,Abbottabad,Pakistan,USA,2023-03-17,Work,Medical Treatment
Mehwish Raja,S/O Iqra Cheema,44000-6546744-4,,Pakistani,Mirpurkhas,Pakistan,UAE,2019-08-07,Student,Business Meeting
Mehwish Aslam,S/O Tahir Butt,61101-6505504-9,AB3776308,Pakistani,Mirpur,Pakistan,France,2022-11-22,Tourist,Family Visit
Salman Sandhu,S/O Naveed Syed,42101-4431982-2,AB2447394,Pakistani,Gwadar,Pakistan,Canada,2020-12-06,Work,Business Meeting
Waseem Ansari,S/O Mirza Gilani,13302-6735309-2,AB2144825,Pakistani,Peshawar,Pakistan,Turkey,2023-12-13,Work,Family Visit
