canonical_name,father_name,cnic,consumer_id,meter_no,address,city,province
Shazia Raza,,13302-8926818-9,CON-45705401,MTR-7308575,"House 328, Block F, Cantt, Bannu",Bannu,KPK
Muhammad Gujjar,S/O Tahir Latif,13302-5207588-4,CON-66229327,MTR-2392570,"House 174, Block F, DHA, Sialkot",Sialkot,Punjab
Mirza Baig,S/O Malik Syed,21301-8978779-5,CON-51471242,MTR-8028858,"House 85, Block E, G-9, Nawabshah",Nawabshah,Sindh
Waseem Rana,S/O Sana Gondal,21301-2346854-2,CON-24415214,MTR-5061521,"House 397, Block A, DHA, Sialkot",Sialkot,Punjab
Shazia Khan,S/O Waseem Qureshi,35202-4172782-5,CON-43230104,MTR-4522019,"House 391, Block D, Saddar, Sukkur",Sukkur,Sindh
محمد احمد,S/O Waseem Karim,21301-9327698-5,CON-35765782,MTR-9575571,"House 441, Block F, E-11, Khuzdar",Khuzdar,Balochistan
Rabia Hussain,S/O Hassan Baig,42101-6312637-1,CON-92638258,MTR-6776809,"House 145, Block E, Defence, Rawalakot",Rawalakot,Azad Kashmir
Sana Bhatti,S/O Zainab Hussain,21301-4117533-4,CON-57839439,MTR-1119626,"House 412, Block C, Township, Gwadar",Gwadar,Balochistan
Salman Rana,S/O Sobia Butt,21301-5272206-8,CON-74434773,MTR-5671538,"House 439, Block C, I-8, Sukkur",Sukkur,Sindh
Asma Karim,S/O Qureshi Raja,54000-5863789-7,CON-22819867,MTR-9636190,"House 487, Block B, I-8, Mirpur",Mirpur,Azad Kashmir
Hassan Karim,S/O Faisal Tarar,61101-5942041-8,CON-72076395,MTR-5560664,"House 342, Block F, Saddar, Chilas",Chilas,Gilgit-Baltistan
Muhammad Rafiq,S/O Shazia Virk,35202-1658289-8,CON-21177743,MTR-2087849,"House 375, Block D, Clifton, Mirpurkhas",Mirpurkhas,Sindh
Saira Chaudhry,S/O Sajid Tarar,21301-8410785-8,CON-69191246,MTR-2622214,"House 210, Block F, Township, Gilgit",Gilgit,Gilgit-Baltistan
Muhammad Chaudhry,S/O Noor Sheikh,21301-2077359-4,CON-28996001,MTR-2262009,"House 226, Block G, F-10, Islamabad",Islamabad,ICT
Malik Chattha,S/O Adnan Syed,44000-2639233-7,CON-72260409,MTR-2870626,"House 142, Block H, Saddar, Islamabad",Islamabad,ICT
Mohammad Karim,S/O Sobia Gilani,44000-5151336-7,CON-19509367,MTR-6444145,"House 434, Block H, Saddar, Mingora",Mingora,KPK
Naveed Syed,S/O Ayesha Aslam,13302-3025152-8,CON-31757385,MTR-8940047,"House 470, Block B, Clifton, Bannu",Bannu,KPK
Ayesha Chaudhry,S/O Sheikh Ahmed,61101-1785548-7,CON-81288970,MTR-7773986,"House 195, Block B, F-10, Muzaffarabad",Muzaffarabad,Azad Kashmir
Tahir Rafiq,S/O Ali Zaidi,13302-8201418-1,CON-49331116,MTR-2060934,"House 422, Block C, Township, Skardu",Skardu,Gilgit-Baltistan
Rabia Zaidi,S/O Mirza Sheikh,13302-7233099-7,CON-46948538,MTR-6693634,"House 185, Block A, Model Town, Muzaffarabad",Muzaffarabad,Azad Kashmir
Sheikh Sheikh,S/O Mirza Rana,42101-3110014-2,CON-62353066,MTR-1542719,"House 64, Block A, Saddar, Kohat",Kohat,KPK
Zubair Jafri,S/O Tariq Rizvi,21301-3248581-1,CON-61918641,MTR-8457918,"House 261, Block H, Cantt, Bannu",Gilgit,Gilgit-Baltistan
Ibrahim Gondal,S/O Adnan Akhtar,42101-4083390-1,CON-80947282,MTR-5666220,"House 460, Block A, Model Town, Mardan",Mardan,KPK
Nadia Tarar,S/O Shoaib Virk,44000-9354710-1,CON-68538603,MTR-6976622,"House 219, Block G, DHA, Chilas",Chilas,Gilgit-Baltistan
Nadia Latif,S/O Sheikh Malik,21301-6499467-6,CON-35924337,MTR-6950279,"House 318, Block D, Cavalry Ground, Mirpur",Mirpur,Azad Kashmir
Raja Raja,S/O Usman Karim,21301-4127989-9,CON-58141212,MTR-6627237,"House 4, Block B, Cantt, Mirpurkhas",Mirpurkhas,Sindh
Mirza Aslam,S/O Rukhsar Raza,54000-2559550-6,CON-43948028,MTR-9873676,"House 97, Block C, Model Town, Muzaffarabad",Muzaffarabad,Azad Kashmir
Hassan Gujjar,S/O Shoaib Hussain,35202-7087155-8,CON-69294841,MTR-3617052,"House 173, Block E, Defence, Abbottabad",Abbottabad,KPK
Hassan Mirza,S/O Hassan Ali,21301-4377548-8,CON-77923219,MTR-7796149,"House 279, Block D, Gulshan-e-Iqbal, Islamabad",Islamabad,ICT
Amna Latif,S/O Fatima Virk,44000-2877649-2,CON-78456482,MTR-8194468,"House 295, Block B, Cavalry Ground, Islamabad",Islamabad,ICT
Fatima Sheikh,S/O علی حسین,44000-6637599-2,CON-65366002,MTR-7694135,,Sialkot,Punjab
Hashmi Chattha,S/O Ibrahim Virk,13302-2133621-1,CON-31472577,MTR-9575697,"House 419, Block H, G-9, Islamabad",Islamabad,ICT
Raja Ahmed,S/O Naveed Jafri,61101-6067422-8,CON-93700532,MTR-2747089,"House 256, Block F, DHA, Rawalakot",Rawalakot,Azad Kashmir
Ahmed Hussain,S/O Usman Zaidi,54000-1987737-4,CON-66637618,MTR-5837715,"House 110, Block C, Gulshan-e-Iqbal, Skardu",Skardu,Gilgit-Baltistan
Syed Abbasi,S/O Hamid Jafri,54000-8838718-6,CON-19126601,MTR-7456313,"House 484, Block D, Johar Town, Faisalabad",Faisalabad,Punjab
Kashif Karim,S/O Rukhsar Baig,54000-6439470-1,CON-45404905,MTR-9523290,"House 204, Block E, Township, Gilgit",Gilgit,Gilgit-Baltistan
Sheikh Malik,S/O Aamir Karim,42101-7504517-4,CON-83527289,MTR-5861651,"House 266, Block F, Defence, Gilgit",Gilgit,Gilgit-Baltistan
,S/O مریم چودھری,13302-1015341-2,CON-83349879,MTR-6013912,"House 403, Block A, North Nazimabad, Turbat",Turbat,Balochistan
Iqra Mirza,S/O Salman Rana,61101-7727219-5,CON-93375628,MTR-2288140,"House 209, Block G, Johar Town, Turbat",Turbat,Balochistan
Noor Syed,S/O Iqra Gujjar,35202-9585041-1,CON-49037912,MTR-1919094,,Faisalabad,Punjab
Ayeesha Syed,S/O Asif Sandhu,21301-4223062-7,CON-22489710,MTR-5181520,"House 362, Block E, DHA, Gilgit",Gilgit,Gilgit-Baltistan
Rukhsar Bukhari,S/O Asma Chaudhry,44000-1191859-5,CON-75390406,MTR-8994784,"House 82, Block G, Defence, Chilas",Chilas,Gilgit-Baltistan
Bilal Ansari,S/O Saira Qureshi,35202-2601359-7,CON-17192167,MTR-7662612,"House 70, Block C, Saddar, Hyderabad",Hyderabad,Sindh
Raja Gujjar,S/O Naveed Chattha,35202-1213899-2,CON-48851625,MTR-1542461,"House 371, Block B, Saddar, Rawalpindi",Rawalpindi,Punjab
Shoaib Ahmed,S/O Amna Bhatti,42101-8076875-5,CON-13341430,MTR-8110197,"House 262, Block H, I-8, Gwadar",Faisalabad,Punjab
Asif Nawaz,S/O Qureshi Raja,35202-4096807-8,CON-99835373,MTR-6820854,"House 450, Block G, F-10, Sargodha",Sargodha,Punjab
مریم چودھری,S/O Kamran Iqbal,44000-8805514-8,CON-42204168,MTR-4119943,"House 347, Block E, G-9, Hyderabad",Hyderabad,Sindh
Kamran Karim,S/O Muhammad Chaudhry,35202-4109974-7,CON-88493026,MTR-6130723,"House 215, Block G, I-8, Turbat",Turbat,Balochistan
Bilal Gilani,S/O S/O Muhammad Karim,21301-3195773-5,CON-44246693,MTR-2587043,"House 38, Block D, Defence, Turbat",Turbat,Balochistan
Bilal Hashmi,S/O Omar Jafri,35202-5442135-9,CON-11102556,MTR-7258293,"House 454, Block E, Askari, Mardan",Mardan,KPK
Naveed Rafiq,S/O Uzma Tarar,21301-4140100-2,CON-35067614,MTR-2452271,"House 308, Block G, Cantt, Quetta",Quetta,Balochistan
Noor Bhatti,S/O Hussain Virk,54000-6033050-1,CON-66913807,MTR-9929170,"House 305, Block B, Bahria Town, Chilas",Chilas,Gilgit-Baltistan
Amna Latif,S/O Rukhsar Aslam,42101-3181407-5,CON-98583442,MTR-5369621,"House 405, Block E, Clifton, Islamabad",Islamabad,ICT
Bilal Hashmi,S/O Zubair Latif,42101-7273543-1,CON-15865329,MTR-5740011,"House 100, Block C, Bahria Town, Hub",Hub,Balochistan
Maryam Sheikh,S/O Sajid Gujjar,42101-7835243-4,CON-56651990,MTR-9843073,"House 316, Block D, F-10, Khuzdar",Khuzdar,Balochistan
Shoaib Bukhari,S/O Fatima Raza,61101-4786284-5,CON-71318810,MTR-2791967,"House 52, Block A, Clifton, Islamabad",Islamabad,ICT
Hassan Gujjar,S/O Muhammad Raza,44000-6529924-1,CON-56032227,MTR-8102743,"House 37, Block G, Scheme 33, Muzaffarabad",Muzaffarabad,Azad Kashmir
Malik Jafri,S/O Bushra Latif,13302-4553726-6,CON-27739710,MTR-2081599,"House 361, Block H, Clifton, Sukkur",Sukkur,Sindh
Salman Hussain,S/O Bushra Iqbal,54000-7115519-6,CON-51706255,MTR-7443669,"House 63, Block B, Cavalry Ground, Chilas",Chilas,Gilgit-Baltistan
Khalid Cheema,S/O Tahir Latif,13302-4696506-6,CON-84354207,MTR-3756268,"House 113, Block D, Clifton, Mardan",Mardan,KPK
Adnan Qureshi,S/O Imran Cheema,61101-9981436-1,CON-30771788,MTR-6305021,"House 443, Block G, Scheme 33, Khuzdar",Khuzdar,Balochistan
Asma Syed,S/O Aamir Syed,61101-3815092-7,CON-20094365,MTR-3247022,"House 79, Block A, PAF Colony, Kohat",Kohat,KPK
Mirza Bukhari,S/O Zainab Ali,21301-9671681-2,CON-77876858,MTR-3254899,"House 367, Block D, F-10, Sialkot",Sialkot,Punjab
Sidra Gondal,S/O Naeem Jafri,35202-4153461-9,CON-58790351,MTR-6183249,"House 471, Block E, Model Town, Rawalpindi",Rawalpindi,Punjab
احمد خان,,35202-4580241-5,CON-36525643,MTR-3648825,"House 139, Block C, Johar Town, Bahawalpur",Bahawalpur,Punjab
Bushra Naqvi,,35202-4840714-1,CON-71554556,MTR-2884554,"House 90, Block H, Defence, Khuzdar",Khuzdar,Balochistan
Rabia Chattha,S/O Ahmed Naqvi,54000-7269340-2,CON-38480127,MTR-2834378,"House 243, Block G, Scheme 33, Hyderabad",Hyderabad,Sindh
Faisal Syed,S/O Hina Hameed,44000-9880506-6,CON-26931270,MTR-2290459,"House 20, Block D, Scheme 33, Chilas",Chilas,Gilgit-Baltistan
Khalid Latif,S/O Hamid Sandhu,61101-4577047-4,CON-82403711,MTR-1881250,"House 1, Block E, I-8, Islamabad",Islamabad,ICT
Faisal Hussain,S/O Imran Karim,,CON-76816647,MTR-9004874,"House 320, Block H, Cantt, Gilgit",Gilgit,Gilgit-Baltistan
Syed Syed,S/O Rabia Jafri,42101-9676385-4,CON-43105739,MTR-4784905,"House 229, Block H, Gulberg, Quetta",Quetta,Balochistan
Syed Rizvi,S/O Malik Qureshi,21301-5176325-6,CON-19312416,MTR-5426553,"House 459, Block A, E-11, Mirpur",Mirpur,Azad Kashmir
Zubair Sandhu,S/O Syed Tarar,44000-7686365-8,CON-48956932,MTR-9619237,"House 292, Block H, Cavalry Ground, Bahawalpur",Lahore,Punjab
Kamran Abbasi,S/O Khalid Qureshi,42101-4361682-4,CON-76010033,MTR-1490319,"House 240, Block F, Gulshan-e-Iqbal, Mardan",Mardan,KPK
