canonical_name,father_name,cnic,car_registration_number,model_year,car_brand,car_model,engine_size_cc,province,city,market_value,phone
Rizwan Akhtar,S/O Naeem Cheema,21301-7338393-6,GIL-1687-J,2007,Suzuki,Jimny,1800,Gilgit-Baltistan,Chilas,3042000.0,0300-1472228
Naeem Gujjar,S/O Malik Naqvi,21301-1681539-4,LHR-1735-K,2009,Suzuki,Swift,660,Punjab,Lahore,1980000.0,0333-4158767
Sana Rafiq,S/O Noor Bhatti,35202-5583958-9,MZD-5135-Y,2019,Suzuki,Cultus,800,Azad Kashmir,Mirpur,3080000.0,0321-3780266
Tariq Baig,S/O Shoaib Bukhari,42101-3782393-9,PES-7902-L,2020,Kia,Stonic,2000,KPK,Mardan,3340000.0,0331-3452813
Bilal Virk,S/O Naeem Sandhu,44000-9743709-5,ISB-426-B,2015,Hyundai,Tucson,1500,ICT,Islamabad,5010000.0,0311-5163073
Naveed Bukhari,S/O نادیہ رضا,13302-7146970-2,MZD-6246-T,2010,Suzuki,Wagon R,1600,Azad Kashmir,Mirpur,5120000.0,0321-4854891
Hina Akhtar,S/O Sajid Karim,54000-6729127-5,ISB-9360-L,2009,Hyundai,Sonata,660,ICT,Islamabad,1438800.0,0311-8883813
Kashif Tarar,S/O Shazia Nawaz,42101-9854698-5,PES-3720-B,2007,Hyundai,Elantra,1500,KPK,Abbottabad,0.0,0313-5826180
Mehwish Baig,S/O S/O Ibrahim Virk,21301-6337250-9,KHI-9698-Z,2007,Honda,HR-V,1000,Sindh,Larkana,3510000.0,0301-7576872
Baig Gujjar,S/O Sheikh Raja,54000-4946066-7,ISB-408-C,2005,BMW,X6,4000,ICT,Islamabad,12240000.0,0303-1666754
Zubair Sheikh,S/O Mohammad Karim,,ISB-8803-S,2020,Hyundai,Tucson,2500,ICT,Islamabad,2725000.0,0345-7716629
فاطمہ خان,S/O Shoaib Gilani,44000-1687148-8,PES-4227-Y,2022,Suzuki,Bolan,800,KPK,Bannu,0.0,0303-2973996
Tahir Raza,S/O Sobia Rafiq,61101-3358096-4,PES-7227-V,2013,Hyundai,Santa Fe,1200,KPK,Mingora,4320000.0,0333-7073417
Syed Syed,S/O Zainab Aslam,44000-6630115-3,LHR-2526-B,2012,Hyundai,Tucson,2500,Punjab,Bahawalpur,5175000.0,0346-1876627
Bilal Rizvi,S/O Syed Hameed,44000-1996308-8,MZD-2686-C,2009,Kia,Sportage,1200,Azad Kashmir,Muzaffarabad,2472000.0,0322-3453452
Zainab Qureshi,S/O Iqra Aslam,44000-8142635-6,QTA-7234-V,2017,Hyundai,Tucson,2500,ICT,Islamabad,6625000.0,0313-3960268
Omar Gondal,S/O Usman Baig,54000-4151929-7,ISB-2986-K,2008,Toyota,Hilux,2500,ICT,Islamabad,7800000.0,0313-4913637
Fatima Nawaz,S/O Adnan Hameed,13302-8788870-3,GIL-2093-I,2017,Kia,Sportage,1000,Gilgit-Baltistan,Chilas,3980000.0,0345-2287737
Sobia Rana,S/O Khalid Bhatti,61101-2004736-1,QTA-331-I,2022,Hyundai,Santa Fe,2500,Balochistan,Khuzdar,5750000.0,0312-1404999
Ibrahim Qureshi,S/O Omar Aslam,44000-3372220-7,GIL-226-Q,2005,Mercedes,C-Class,2500,Gilgit-Baltistan,Skardu,9800000.0,0332-2404566
Hassan Rafiq,S/O Faisal Sandhu,21301-1721426-5,LHR-3273-S,2006,Kia,Carnival,1300,Punjab,Multan,1924000.0,0333-9470972
Fatima Zaidi,S/O Asif Gondal,44000-1003987-9,KHI-489-D,2012,Kia,Picanto,3000,Sindh,Nawabshah,4170000.0,0300-7422468
W. Karim,S/O Hina Jafri,44000-2577439-9,LHR-6363-O,2023,Toyota,Corolla,2500,Punjab,Bahawalpur,5500000.0,0312-8087865
Malik Chattha,S/O Adnan Syed,44000-2639233-7,ISB-3809-C,2016,Suzuki,Bolan,1600,ICT,Islamabad,2672000.0,0346-9314541
Noor Sheikh,S/O Bilal Tarar,42101-3139713-5,LHR-2705-W,2017,Kia,Stonic,2000,Punjab,Sialkot,4720000.0,0346-3329280
Syed Iqbal,S/O فاطمہ خان,42101-7559079-4,ISB-933-G,2015,Mercedes,S-Class,3500,Gilgit-Baltistan,Skardu,12250000.0,0321-4016454
Salman Bukhari,S/O Sidra Gilani,54000-1147701-2,GIL-7462-F,2005,Suzuki,Cultus,1600,Gilgit-Baltistan,Chilas,2880000.0,0332-5090740
M. Zaidi,S/O Uzma Naqvi,54000-5547034-5,ISB-8623-S,2008,Kia,Carnival,3000,ICT,Islamabad,8310000.0,0322-6096354
Adnan Iqbal,S/O Hina Zaidi,54000-1404438-3,LHR-3688-D,2011,BMW,7 Series,2000,Punjab,Bahawalpur,7880000.0,0331-6884702
Sana Jafri,S/O Maryam Gondal,54000-9104718-1,ISB-213-P,2020,Suzuki,Alto,2000,ICT,Islamabad,3940000.0,0301-7508433
Shoaib Ansari,S/O Zainab Rizvi,35202-6189530-3,MZD-4043-W,2011,Suzuki,Jimny,1500,Azad Kashmir,Muzaffarabad,0.0,0322-3688092
Muhammad Sheikh,S/O Salman Rana,44000-8159977-4,PES-8455-Z,2007,Honda,HR-V,1200,KPK,Bannu,4644000.0,0331-4465248
Aamir Bhatti,S/O عمر شیخ,13302-8768273-1,PES-7709-V,2021,Honda,Civic,1300,KPK,Bannu,4589000.0,
S. Syed,S/O Imran Rafiq,13302-6613697-5,KHI-6217-G,2023,Honda,BR-V,1000,Sindh,Nawabshah,1970000.0,0312-9960074
Raja Jafri,S/O Mirza Hashmi,44000-7327602-7,QTA-9457-M,2021,Suzuki,Cultus,1200,Balochistan,Gwadar,3408000.0,0301-6314075
Tariq Virk,S/O Raja Aslam,13302-5218292-9,KHI-6994-M,2013,Kia,Sportage,800,Sindh,Karachi,928000.0,0346-9384022
Ayesha Sandhu,S/O Raja Rizvi,54000-5186937-1,ISB-5901-Q,2019,Hyundai,Santa Fe,1500,ICT,Islamabad,2190000.0,0346-6545917
Nadia Naqvi,S/O Omar Chaudhry,61101-8493277-2,KHI-4643-S,2015,Honda,City,660,Sindh,Sukkur,1148400.0,0312-3624265
Hamid Raza,S/O Hashmi Butt,44000-5201372-3,LHR-8972-X,2013,Suzuki,Bolan,2000,Punjab,Bahawalpur,5540000.0,0321-8328302
M. Khan,S/O احمد خان,61101-3274128-4,KHI-8017-A,2011,Toyota,Fortuner,1000,Sindh,Sukkur,2740000.0,0300-4597093
Iqra Rana,S/O Khalid Bukhari,44000-8547255-8,MZD-7321-G,2011,Suzuki,Alto,2000,KPK,Abbottabad,3840000.0,0332-7363267
Fatima Malik,S/O Imran Qureshi,61101-7204078-3,GIL-3791-A,2017,Suzuki,Cultus,1800,Sindh,Larkana,1926000.0,0331-4074931
Syed Chattha,S/O Mehwish Iqbal,42101-2705024-3,GIL-4042-B,2021,Suzuki,Bolan,2000,Gilgit-Baltistan,Gilgit,7320000.0,0300-1055772
Mohammad Raja,S/O مریم چودھری,42101-6005569-1,QTA-6588-E,2020,Honda,HR-V,3000,Balochistan,Hub,6330000.0,0302-2263661
I. Hashmi,S/O Hashmi Rizvi,13302-7956533-5,PES-4609-N,2013,Toyota,Camry,1600,KPK,Mingora,6016000.0,0345-7911063
Baig Sandhu,S/O Bushra Butt,44000-2807965-7,ISB-2282-E,2009,Suzuki,Cultus,1200,ICT,Islamabad,1512000.0,0345-1791753
Nadia Latif,S/O Sheikh Malik,21301-6499467-6,MZD-4036-B,2012,Kia,Stonic,1000,Azad Kashmir,Mirpur,3490000.0,0300-2451944
,S/O Noor Akhtar,44000-3061416-4,KHI-5877-X,2018,Toyota,Yaris,1600,Sindh,Sukkur,3360000.0,0301-7263627
Hashmi Khan,S/O Hussain Aslam,21301-6471499-5,ISB-3338-N,2019,Audi,A3,3500,ICT,Islamabad,8575000.0,0345-9767135
Uzma Gilani,S/O Asma Sandhu,54000-2325893-6,MZD-1648-Y,2018,Audi,Q7,4000,Azad Kashmir,Rawalakot,11760000.0,0333-9037616
Naeem Raza,S/O Adnan Cheema,42101-1279110-3,ISB-8472-K,2015,Suzuki,Cultus,660,ICT,Islamabad,2415600.0,0333-7698366
Fatima Hameed,S/O S/O Tahir Abbasi,21301-8109132-5,MZD-6678-D,2016,Suzuki,Bolan,2000,Azad Kashmir,Mirpur,0.0,0331-6920939
Syed Bhatti,S/O Fatima Tarar,13302-9801144-8,LHR-9409-A,2010,Suzuki,Swift,3000,Punjab,Bahawalpur,4080000.0,0313-7700915
,S/O Baig Ali,,KHI-8284-O,2010,Honda,CR-V,2000,Sindh,Larkana,5900000.0,0345-3727387
Nadia Rizvi,S/O Sana Ali,35202-4502357-8,PES-463-K,2023,Hyundai,Santa Fe,1800,KPK,Kohat,4230000.0,0313-9191008
Imran Baig,S/O S/O Muhammad Ansari,54000-8250013-7,LHR-7954-O,2015,Honda,BR-V,1300,Punjab,Gujranwala,4914000.0,0303-5669851
Raba Qureshi,S/O Rizwan Nawaz,44000-8488495-8,PES-8165-E,2020,Hyundai,Sonata,1300,KPK,Kohat,3497000.0,0331-5857486
Raja Bhatti,S/O Ali Jafri,42101-7240267-2,LHR-7670-F,2013,Honda,City,1000,Punjab,Sialkot,2260000.0,0313-4903872
Salman Iqbal,S/O Ayesha Rafiq,21301-6950735-2,LHR-6987-F,2013,Honda,Civic,800,Punjab,Rawalpindi,0.0,0303-6000408
M. Chattha,S/O Khalid Karim,35202-8020412-7,PES-3816-Z,2005,Hyundai,Tucson,1500,KPK,Abbottabad,5460000.0,0332-4840865
,S/O Usman Bukhari,42101-6787592-1,GIL-8244-C,2018,Suzuki,Jimny,3000,Gilgit-Baltistan,Chilas,9420000.0,0301-2947320
Rabia Hashmi,S/O Hassan Gondal,21301-8737917-9,LHR-353-O,2008,Suzuki,Swift,2500,Punjab,Lahore,2625000.0,0331-5051152
Mehwish Rana,S/O ابراہیم ملک,54000-5345777-6,MZD-9308-G,2012,Suzuki,Alto,1000,Azad Kashmir,Rawalakot,3790000.0,0300-6114026
Kamran Mirza,S/O Chaudhry Malik,61101-5977570-7,QTA-5758-M,2016,Suzuki,Bolan,660,Balochistan,Gwadar,1597200.0,0321-6244702
A. Karim,S/O Sheikh Hameed,44000-6680184-9,ISB-1990-S,2021,Hyundai,Sonata,1300,ICT,Islamabad,3432000.0,0345-8373026
نادیہ رضا,S/O Kamran Raza,13302-4947964-5,MZD-7461-Y,2011,Honda,City,1200,Azad Kashmir,Rawalakot,1728000.0,0300-9805124
Nadia Rizvi,S/O Sana Ali,35202-4502357-8,PES-9657-J,2016,Suzuki,Alto,660,KPK,Kohat,1359600.0,0313-9191008
Sajid Butt,S/O Omar Butt,54000-6674401-7,GIL-3796-U,2013,Suzuki,Alto,2500,Gilgit-Baltistan,Skardu,5525000.0,0331-5622848
Arif Chattha,S/O Raja Cheema,35202-8431337-4,PES-8979-O,2015,Honda,BR-V,2500,KPK,Bannu,3675000.0,0322-1830765
,S/O Sajid Mirza,13302-5924748-9,ISB-7598-D,2007,Suzuki,Jimny,1300,ICT,Islamabad,2223000.0,0331-9527718
Mehwish Sheikh,S/O Hina Karim,54000-1501598-8,GIL-8987-H,2011,Toyota,Yaris,1300,Gilgit-Baltistan,Gilgit,3653000.0,0321-8414949
,S/O Qureshi Hameed,42101-6300639-3,QTA-1677-J,2014,Toyota,Corolla,3000,Balochistan,Quetta,5010000.0,0300-8687344
Ayesha Hashmi,S/O Hamid Rizvi,44000-9846078-3,QTA-4220-I,2018,BMW,X5,4000,Balochistan,Khuzdar,5160000.0,0300-5395559
Shoaib Latif,S/O Bilal Zaidi,44000-7032508-3,LHR-5276-I,2022,Kia,Picanto,3000,Punjab,Sialkot,8940000.0,0300-6687506
Kashif Abbasi,S/O Rukhsar Mirza,61101-5387228-2,ISB-1214-V,2023,BMW,3 Series,4000,ICT,Islamabad,13960000.0,0301-9354503
Hamid Ansari,S/O عمر شیخ,13302-4303493-2,KHI-5267-K,2016,Suzuki,Cultus,1500,Sindh,Larkana,5925000.0,0302-1733340
Tahir Butt,S/O Bilal Gilani,44000-3151610-1,MZD-5286-I,2007,Honda,CR-V,1500,Azad Kashmir,Muzaffarabad,5280000.0,0322-1546310
Rukhsar Zaidi,S/O Naeem Karim,21301-2651601-2,ISB-2541-W,2010,Hyundai,Tucson,2000,ICT,Islamabad,5780000.0,0300-1771600
Uzmma Gujjar,S/O Sobia Naqvi,21301-2329821-7,QTA-6768-A,2020,Honda,Civic,1500,Balochistan,Quetta,3075000.0,0333-4748438
Imran Baig,S/O Raja Virk,54000-2150780-4,MZD-1535-Z,2018,Suzuki,Wagon R,2000,Azad Kashmir,Rawalakot,7680000.0,0333-1847445
Waseem Naqvi,S/O Rabia Chattha,21301-6132001-6,LHR-5644-G,2006,Honda,City,1000,Punjab,Sargodha,2110000.0,0303-4582498
Sana Khan,S/O Aamir Cheema,61101-7925354-1,ISB-4627-V,2011,Toyota,Hilux,1800,ICT,Islamabad,2844000.0,0332-2732796
Kashif Iqbal,S/O Mohammad Chattha,13302-3770463-4,KHI-5102-M,2012,Honda,CR-V,2500,Sindh,Karachi,8525000.0,0311-1053973
Amna Naqvi,S/O Shazia Malik,35202-4349302-6,LHR-5612-T,2012,Hyundai,Tucson,1200,Punjab,Faisalabad,3756000.0,0302-3943200
Ibrahim Raja,S/O Arif Hussain,44000-3972963-3,MZD-3135-P,2018,Honda,HR-V,1200,Azad Kashmir,Mirpur,3804000.0,0313-6399642
Hashmi Baig,S/O Asif Latif,21301-4287833-8,PES-4565-L,2020,Suzuki,Jimny,1000,KPK,Kohat,4000000.0,0312-8003166
Ahmed Zaidi,S/O Fatima Bukhari,35202-7497877-3,PES-4938-T,2022,Audi,A3,2000,KPK,Bannu,7160000.0,0302-4748410
Shoaib Hameed,S/O محمد علی,13302-2863712-1,LHR-4010-E,2017,Toyota,Land Cruiser,1200,Punjab,Sargodha,3072000.0,0301-7967211
Shoaib Gondal,S/O Ahmed Tarar,42101-7636360-8,LHR-8016-I,2016,Kia,Carnival,2000,Punjab,Multan,2860000.0,0345-5609881
Uzma Qureshi,S/O Imran Gujjar,44000-2731281-4,ISB-3319-H,2013,Hyundai,Tucson,800,ICT,Islamabad,1776000.0,0311-2284412
Naeem Chattha,S/O Iqra Chattha,13302-4622993-2,ISB-6660-U,2008,Suzuki,Alto,3000,ICT,Islamabad,3030000.0,0302-9531555
محمد حسن,S/O Ali Hashmi,35202-7900204-8,MZD-8654-X,2022,Hyundai,Santa Fe,1000,Azad Kashmir,Rawalakot,1480000.0,0332-6272037
Hamid Bukhari,S/O Arif Aslam,44000-5500507-6,ISB-5940-G,2008,BMW,7 Series,3500,ICT,Islamabad,13580000.0,0313-7219629
Sheikh Tarar,S/O Ali Bhatti,13302-6974725-1,ISB-8492-N,2017,Hyundai,Tucson,1600,ICT,Islamabad,5136000.0,0301-1502801
Sajid Hameed,,42101-9795418-4,QTA-5655-J,2005,Honda,BR-V,800,Balochistan,Khuzdar,2848000.0,0312-2503148
Rabia Zaidi,S/O Naeem Qureshi,13302-3418521-2,GIL-4989-X,2014,Suzuki,Bolan,2000,Gilgit-Baltistan,Gilgit,5920000.0,0302-7923746
Kamran ySed,S/O Kashif Karim,21301-7980880-2,GIL-1433-P,2007,Honda,CR-V,2000,Gilgit-Baltistan,Gilgit,4560000.0,0311-7695885
Saira Cheema,S/O Ahmed Virk,54000-1611999-9,KHI-1237-H,2009,Honda,Civic,660,Sindh,Nawabshah,825000.0,0313-8688119
Asma Chaudhry,S/O Raja Rafiq,42101-5480097-8,MZD-3710-I,2005,Toyota,Fortuner,2500,Azad Kashmir,Mirpur,9400000.0,0322-1240903
Sheikh Raja,S/O Syed Bukhari,21301-9910743-7,ISB-4956-Y,2023,Audi,Q7,2000,ICT,Islamabad,7660000.0,0321-9309504
Muhamamd Karim,S/O Usman Abbasi,21301-3385745-7,LHR-2838-G,2008,BMW,7 Series,3000,Punjab,Sialkot,5580000.0,0311-3938555
S. Sheikh,S/O Ali Virk,35202-1132204-9,GIL-5635-E,2009,Toyota,Corolla,1600,Gilgit-Baltistan,Chilas,4864000.0,0311-3169334
Naveed Gilani,S/O Sobia Nawaz,21301-6807734-9,QTA-129-H,2013,Honda,Civic,1000,Sindh,Larkana,2910000.0,0313-7350662
Omar Qureshi,S/O Tariq Raza,54000-4491484-5,KHI-1700-A,2018,Hyundai,Tucson,1300,Sindh,Nawabshah,3757000.0,0332-8959326
Ali Laif,S/O Muhammad Malik,21301-9506567-5,PES-6244-U,2009,Hyundai,Elantra,1600,KPK,Mingora,1984000.0,0301-3153482
Faisal Malik,S/O Hamid Nawaz,61101-3186635-4,LHR-4014-W,2006,Honda,Civic,1800,Punjab,Faisalabad,5526000.0,0333-3620107
Uzma Hussain,S/O Nadia Chattha,42101-9697546-3,MZD-7538-P,2007,Kia,Sportage,1000,Azad Kashmir,Rawalakot,2510000.0,0345-6144033
Nadia Ahmed,S/O Naveed Aslam,44000-4895866-1,GIL-1568-A,2023,Audi,Q7,3000,KPK,Mardan,9540000.0,0301-2644876
Raja Rafiq,S/O Rukhsar Rana,61101-8816912-7,KHI-5964-G,2006,Audi,A4,3500,Sindh,Karachi,10115000.0,0313-1327691
Omar Chaudhry,S/O Khalid Tarar,44000-7610017-3,KHI-448-D,2008,Toyota,Land Cruiser,800,ICT,Islamabad,1040000.0,0322-1299209
R. Rana,S/O Baig Gilani,13302-8516440-9,KHI-6911-L,2009,Toyota,Fortuner,1200,Sindh,Karachi,4224000.0,0321-4345512
W. Karim,S/O Hina Jafri,44000-2577439-9,LHR-4008-Y,2021,Hyundai,Tucson,1200,Punjab,Bahawalpur,4488000.0,0312-8087865
Zubair Syed,S/O Rabia Syed,35202-9689833-3,ISB-8104-E,2017,Hyundai,Elantra,660,ICT,Islamabad,2184600.0,0303-1851580
Hina Hashmi,S/O Hassan Hameed,13302-4540203-8,PES-5816-K,2022,Kia,Sportage,3000,KPK,Mingora,11880000.0,0300-8829012
Mirza Bukhari,S/O Shoaib Gilani,35202-2881289-5,QTA-282-Z,2011,Honda,HR-V,1300,Balochistan,Turbat,1339000.0,0322-5961687
Sana Bukhari,S/O Salman Sandhu,61101-7489772-4,KHI-4116-N,2019,Kia,Stonic,1300,Sindh,Hyderabad,5005000.0,0300-8462069
S. Abbasi,S/O Raja Syed,35202-4035706-4,ISB-3444-O,2022,Kia,Picanto,800,ICT,Islamabad,2808000.0,0346-6021483
Khalid Raja,S/O Sajid Rafiq,42101-8100127-8,MZD-8858-C,2008,Honda,Civic,800,Sindh,Karachi,976000.0,0333-8333352
Saira Sandhu,S/O Malik Tarar,21301-6923686-5,ISB-2465-K,2021,Kia,Stonic,800,ICT,Islamabad,2880000.0,0321-8797486
Waseem Naqvi,S/O S/O عائشہ احمد,54000-7082121-2,ISB-2274-P,2005,Kia,Stonic,3000,ICT,Islamabad,9780000.0,0311-7258139
Iqra Cheema,S/O Asma Raza,54000-2802583-1,GIL-8361-A,2012,Toyota,Camry,2500,Gilgit-Baltistan,Skardu,6425000.0,0346-5142710
Shoaib Qureshi,S/O Usman Cheema,21301-5843879-9,PES-3414-G,2006,Toyota,Corolla,1500,KPK,Abbottabad,2415000.0,0332-7770519
علی حسین,S/O Sheikh Rafiq,13302-4115499-3,PES-7525-B,2020,Suzuki,Wagon R,2000,KPK,Mardan,8000000.0,
Kashif Hashmi,S/O Asma Bukhari,42101-3721284-5,KHI-4820-Y,2018,Honda,HR-V,1500,Sindh,Karachi,5115000.0,0331-8159756
Rabia Ali,S/O Usman Sheikh,42101-7349462-4,ISB-1052-L,2011,Honda,HR-V,800,ICT,Islamabad,904000.0,0300-2713899
Ayesah Zaidi,S/O Chaudhry Chaudhry,44000-4894835-6,PES-9259-F,2012,Toyota,Land Cruiser,2000,KPK,Bannu,5080000.0,0312-6997504
Khalid Asari,S/O Aamir Malik,44000-1386516-9,KHI-8869-Y,2018,Hyundai,Elantra,2500,Sindh,Karachi,4025000.0,0346-7121849
Usman Rizvi,S/O Sidra Abbasi,54000-4582920-1,LHR-2571-L,2008,Toyota,Corolla,3000,Punjab,Gujranwala,5250000.0,0301-2306975
Hina Mirza,S/O Hassan Gondal,42101-8773741-3,QTA-9518-M,2021,Toyota,Corolla,1800,Balochistan,Turbat,3834000.0,0303-7469044
Arif Ahmed,S/O Omar Tarar,13302-5777764-2,LHR-5472-M,2021,Audi,A4,3500,Punjab,Sialkot,4585000.0,0313-7423351
,S/O Hassan Ahmed,,QTA-2562-M,2008,BMW,X5,2500,Balochistan,Gwadar,3525000.0,0321-2023059
Moohammad Bukhari,S/O محمد احمد,35202-5012736-4,ISB-1509-K,2007,Hyundai,Santa Fe,2500,ICT,Islamabad,4950000.0,0311-5420739
Ali Syed,S/O Syed Karim,54000-6551591-2,KHI-9471-W,2016,Kia,Sportage,1000,Sindh,Karachi,2690000.0,0303-2361565
Rabia Syed,S/O Syed Gujjar,61101-5875062-6,LHR-5820-D,2021,Honda,BR-V,1600,Punjab,Sialkot,4960000.0,0333-2084532
Maryam Cheema,S/O Saira Rana,13302-9120779-3,PES-682-W,2017,Honda,Civic,2000,KPK,Abbottabad,5100000.0,0303-2279911
Asma Tarar,S/O صنا ملک,21301-2517344-9,QTA-931-M,2016,Suzuki,Jimny,2000,Balochistan,Hub,7380000.0,0333-3270069
Uzma Hussain,S/O Aamir Ahmed,54000-7979571-4,GIL-9691-L,2019,Honda,Civic,2000,Gilgit-Baltistan,Gilgit,2560000.0,0332-2111782
R. Ahmed,S/O Malik Jafri,54000-3931264-1,QTA-2549-I,2021,Toyota,Yaris,1300,Balochistan,Hub,1339000.0,0332-6442637
Hussain Raja,S/O Hina Ali,42101-8508497-8,MZD-5146-N,2007,Hyundai,Tucson,800,Azad Kashmir,Mirpur,2104000.0,0300-3852151
Khalid Latif,S/O Adnan Malik,21301-9327241-3,KHI-4296-W,2016,Kia,Picanto,3000,Sindh,Larkana,11700000.0,0301-6370980
Nadia Ansari,S/O Sobia Gilani,54000-7269002-7,PES-3127-O,2005,Kia,Picanto,1800,KPK,Mingora,6444000.0,0332-9658236
Nadia Bhatti,S/O Muhammad Bukhari,44000-7159085-1,PES-1053-H,2018,Suzuki,Jimny,2500,KPK,Abbottabad,9375000.0,0322-9669883
Hamid Rizvi,S/O Sobia Karim,21301-3569227-8,GIL-2045-D,2022,Toyota,Yaris,1500,Gilgit-Baltistan,Chilas,1845000.0,0302-5812771
Naveed Hashmi,S/O Ayesha Mirza,54000-2446060-8,QTA-7604-Q,2022,Toyota,Camry,1300,Balochistan,Khuzdar,3224000.0,0331-9257506
Rabia Raza,S/O Uzma Gondal,13302-6309658-3,PES-8767-F,2018,Audi,Q7,4000,KPK,Peshawar,12520000.0,0322-1237753
Zainab Karim,S/O Kamran Sheikh,13302-5186332-1,QTA-8313-Y,2022,Audi,Q7,4000,Balochistan,Quetta,9320000.0,0322-2033269
