Name,Father_Name,CNIC,Account_Number,Annual_Credit_Card_Expense,Account_Balance,Account_Open_Date,Account_Status,Avg_Expenditure_Per_Month
Zubair Latif,S/O Aamir Karim,4400048746186,PK0011219540831,0.0,4181833.0,2014-10-03,Active,69040.0
Shazia uBkhari,S/O Rizwan Hashmi,3520244602479,PK0001896233790,0.0,1285850.0,2018-04-08,Dormant,
Kamran Ali,S/O علی حسین,2130167053863,PK0005362950628,0.0,921300.0,2014-09-23,Active,23046.0
Hussain Latif,S/O Hassan Rafiq,2130169249756,PK0004249827706,0.0,324510.0,2008-04-29,Active,16445.0
Raja Ansari,S/O Mohammad Qureshi,4400082205406,PK0012210053353,0.0,2563005.0,2012-11-24,Active,103534.0
Amna Baig,S/O Sajid Rafiq,4400027546664,PK0011895285932,0.0,800756.0,2010-05-06,Active,142888.0
Hamid Cheema,S/O Faisal Hashmi,3520262133876,PK0015685582861,0.0,2534440.0,2004-12-22,Active,45083.0
Nadia Cheema,S/O Sheikh Malik,6110133189684,PK0002734036506,2689033.0,6897818.0,2012-11-16,Dormant,864308.0
Khalid Ahmed,S/O Nadia Ansari,5400046307636,PK0007134126396,0.0,4006016.0,2006-10-06,Dormant,83476.0
Syed Ali,S/O Rabia Ali,1330254490474,PK0001200604502,0.0,1476617.0,2008-01-05,Active,154007.0
Khalid Mirza,S/O Kashif Gondal,3520222138931,PK0004349817734,0.0,1731231.0,2022-11-05,Active,
Bushra Ahmed,S/O Uzma Bukhari,5400090601301,PK0009746412689,0.0,555530.0,2015-12-15,Active,14931.0
Asma Tarar,S/O Khalid Mirza,5400071264564,PK0001702632297,0.0,692452.0,2016-05-20,Active,24335.0
Rabia Ali,S/O Usman Sheikh,4210173494624,PK0004868820204,0.0,580102.0,2020-10-28,Active,36525.0
Adnan Virk,S/O نادیہ رضا,4400067549608,PK0011853041955,0.0,1005983.0,2004-01-30,Active,43897.0
Arif Virk,S/O Tariq Syed,4210147082392,PK0009550455977,0.0,4840892.0,2014-03-04,Active,91683.0
