Company_Name,Owner_Name,Father_Name,Entity_Type,CNIC,Incorporation_Date,Status,Registered_Office_Address,Province,City
Apex Industries,Naeem Gujjar,S/O Malik Naqvi,Sole Proprietorship,2130116815394,2018-03-26,Active,"House 272, Block E, I-8, Lahore",Punjab,Lahore
Prime Brothers,Sheikh Sana,S/O Hashmi Bukhari,Sole Proprietorship,4210168253389,2021-07-20,Active,"House 341, Block D, G-9, Quetta",Balochistan,Quetta
Star Industries,Adnan Tarar,S/O Hussain Raza,LLP,3520297228967,1993-04-06,Active,"House 284, Block A, PAF Colony, Hyderabad",Sindh,Hyderabad
National Services,Amna  Ahmed,S/O Malik Jafri,Public Limited,6110167270977,2011-01-19,Active,"House 311, Block B, DHA, Mirpur",Azad Kashmir,Mirpur
,Mohammad Rizvi,S/O Hamid Sheikh,Partnership,2130113604135,1990-10-07,Active,"House 42, Block B, F-10, Hub",Balochistan,Hub
Global Corp,Sobia Bukhari,S/O Naeem Tarar,Partnership,6110122266705,1990-04-21,Active,"House 481, Block G, E-11, Lahore",Punjab,Lahore
Prime Corp,Faisal Abbasi,S/O Naveed Akhtar,LLP,2130140901652,2003-11-28,Active,"House 227, Block F, Scheme 33, Quetta",Balochistan,Quetta
Royal Associates,Chaudhry Hameed,S/O Naveed Hussain,Partnership,2130143439215,1999-02-25,Suspended,"House 283, Block F, Township, Rawalpindi",Punjab,Rawalpindi
Star Corp,Maryam Raza,S/O Bilal Gujjar,Private Limited,3520247295147,2013-07-04,Active,"House 169, Block A, F-10, Hyderabad",Sindh,Hyderabad
Star Group,Rizvi Mohammad,S/O Imran Raja,LLP,1330292212395,2003-12-18,Active,"House 423, Block B, F-10, Multan",Punjab,Multan
Pak Traders,Mohammad Sheikh,S/O Hassan Karim,Private Limited,3520251348517,2011-08-26,Active,"House 179, Block F, Gulshan-e-Iqbal, Rawalpindi",Punjab,Rawalpindi
United Group,Muhammad Naqvi,S/O Hussain Virk,Sole Proprietorship,5400078511889,1997-10-08,Dissolved,"House 490, Block B, Cantt, Chilas",Gilgit-Baltistan,Chilas
Royal Corp,Rizwan Abbasi,S/O Uzma Hashmi,Partnership,5400034388559,2000-03-27,Active,"House 186, Block B, E-11, Mingora",KPK,Mingora
Global Traders,Sana Hameed,S/O Shoaib Cheema,Public Limited,6110131604732,1993-12-25,Suspended,,ICT,Islamabad
Meezan Traders,Shoaib Hameed,S/O محمد علی,LLP,1330228637121,2015-03-30,Active,"House 18, Block B, Askari, Sargodha",Punjab,Sargodha
Pak Solutions,Baig Bushra,S/O Nadia Iqbal,Public Limited,4400089898553,2014-01-28,Dissolved,"House 201, Block E, Bahria Town, Peshawar",KPK,Peshawar
Meezan Solutions,Omar Gondal,S/O Ayesha Rafiq,Public Limited,5400023975729,2019-05-22,Active,,Sindh,Larkana
Al Associates,Mohammad Rizvi,S/O Hamid Sheikh,Sole Proprietorship,2130113604135,2018-02-11,Active,"House 114, Block H, F-10, Hub",Balochistan,Hub
Royal Services,Zubair Qureshi,S/O Rukhsar Ahmed,Private Limited,1330214943559,2008-01-29,Active,"House 111, Block A, Askari, Abbottabad",KPK,Abbottabad
Meezan Traders,Amna Khan,,Partnership,1330267949502,1990-09-13,Active,"House 57, Block G, Cantt, Karachi",Sindh,Karachi
Al Solutions,Amna Mallik,S/O Hamid Ansari,Public Limited,6110126019295,2008-07-10,Dissolved,"House 413, Block A, Gulshan-e-Iqbal, Hyderabad",Sindh,Hyderabad
United Enterprises,Sobia Aslam,S/O Shoaib Virk,LLP,5400015863979,1995-01-24,Active,"House 355, Block G, I-8, Mardan",KPK,Mardan
Pak Industries,Hamid Aslam,S/O Aamir Khan,Partnership,4210172975214,2017-04-06,Active,"House 156, Block D, North Nazimabad, Skardu",Gilgit-Baltistan,Skardu
Meezan Associates,Aamir Hameed,S/O Amna Rizvi,Partnership,3520254042224,2003-03-25,Active,"House 235, Block B, Gulberg, Mirpur",Azad Kashmir,Mirpur
Prime Industries,Adnan Bhatti,S/O محمد احمد,Sole Proprietorship,2130130918043,2009-06-30,Suspended,,Gilgit-Baltistan,Gilgit
United Corp,Shazia Abbasi,S/O Usman Gilani,Private Limited,4400067012014,2003-12-30,Active,"House 438, Block E, E-11, Quetta",Balochistan,Quetta
Pak Traders,Mirza Qureshi,S/O Kamran Zaidi,Public Limited,6110177980934,2010-06-11,Active,"House 25, Block H, Gulshan-e-Iqbal, Quetta",Balochistan,Quetta
Meezan Corp,Ibrahim Akhtar,S/O Bushra Cheema,Private Limited,4210188028291,2017-05-13,Active,"House 357, Block D, E-11, Islamabad",ICT,Islamabad
Pak Associates,Ayesha Latif,S/O Mehwish Bukhari,Partnership,4210111055659,2004-12-23,Active,"House 141, Block B, Cantt, Mirpur",Azad Kashmir,Mirpur
Meezan Traders,Chaudhry Tarar,S/O Muhammad Latif,Partnership,4400064346602,1992-12-05,Active,"House 424, Block G, Defence, Lahore",Punjab,Lahore
National Corp,Kashif Cheema,,Partnership,3520218825835,2002-05-05,Dissolved,"House 147, Block E, E-11, Khuzdar",Balochistan,Khuzdar
Meezan Group,Asif Hameed,S/O Faisal Cheema,Partnership,2130136751354,1997-09-16,Active,"House 484, Block F, Scheme 33, Mingora",KPK,Mingora
Atlas Associates,Sana Chattha,S/O Aamir Butt,Partnership,4210178804445,2021-09-01,Active,"House 323, Block G, E-11, Mirpur",Azad Kashmir,Mirpur
Star Solutions,Maryam Gondal,S/O Waseem Malik,Sole Proprietorship,4210145946426,1998-04-20,Active,"House 69, Block C, Cantt, Chilas",Gilgit-Baltistan,Chilas
Al Corp,Omar Zaidi,S/O Ayesha Rizvi,Public Limited,1330288288915,2005-01-01,Active,"House 474, Block H, Cantt, Larkana",Sindh,Larkana
,Usman Zaidi,S/O S/O Asma Rana,Public Limited,1330295171694,2015-11-18,Active,"House 441, Block E, F-10, Sukkur",Sindh,Sukkur
Pak Services,Imran Syed,S/O Hussain Tarar,Sole Proprietorship,3520281512861,2022-04-23,Active,"House 182, Block C, Cavalry Ground, Skardu",Gilgit-Baltistan,Skardu
