Name,Father_Name,CNIC,Annual_Recharge_Amount,Phone_Number,City,Province
Amna Syed,S/O Nadia Baig,3520238505967,34110,03213770261,Rawalakot,Azad Kashmir
Ibrahim Hameed,S/O Rizwan Syed,1330284241528,8654,03226669426,Larkana,Sindh
Naeem Akhtar,S/O Waseem Hashmi,6110138833039,38172,03221389858,Hub,Balochistan
Fatima Akhtar,,4400088927762,103892,03129324479,Bahawalpur,Punjab
Ahmed Ali,S/O Zubair Gilani,3520272263222,193543,03128765215,Hyderabad,Sindh
Ahmed Abbasi,S/O Uzma Hameed,2130194120284,3260,03017657744,Gujranwala,Punjab
Khalid Chaudhry,S/O Imran Raza,5400068726651,7561,03037110995,Abbottabad,KPK
Raja Khan,S/O Qureshi Gujjar,2130139196945,45744,03115813613,Rawalakot,Azad Kashmir
Nadia Syed,S/O Rukhsar Ansari,3520295390404,115791,03039241038,Multan,Punjab
Malik Ansari,S/O Naveed Nawaz,1330281834513,33582,03464471922,Khuzdar,Balochistan
Kamran Ahmed,S/O Baig Bukhari,4400099935227,104186,03451569792,Chilas,Gilgit-Baltistan
Aamir Ali,S/O Ahmed Sandhu,5400050696462,21868,03229684781,Islamabad,ICT
Maryam Rizvi,S/O محمد احمد,4400078421763,53674,03126495874,Skardu,Gilgit-Baltistan
Ali Hameed,S/O Mehwish Butt,2130110971583,42331,03458277586,Mirpur,Azad Kashmir
Salman Mirza,S/O Sobia Qureshi,6110120503585,4096,03459599599,Islamabad,ICT
Tahir Hameed,S/O Hussain Butt,3520284240608,85010,03028749161,Turbat,Balochistan
Uzma Gilani,S/O Hassan Baig,4400098552413,108113,03125586458,Muzaffarabad,Azad Kashmir
Muhammad Khan,S/O Salman Karim,4400047948529,32813,03336764217,Gilgit,Gilgit-Baltistan
Sobia Iqbal,S/O Naeem Sandhu,3520244937563,85896,03122583322,Hyderabad,Sindh
Omar Hussain,S/O صنا ملک,4210113614893,42527,03113288989,Kohat,KPK
Rabia Virk,S/O Arif Hussain,3520230672748,40345,03029368955,Gilgit,Gilgit-Baltistan
Noor Naqvi,S/O Saira Malik,4400037638539,5990,03455504567,Gujranwala,Punjab
Hassan Ali,S/O Imran Malik,4210140705951,5141,03113736282,Islamabad,ICT
Sheikh Tarar,S/O Arif Baig,3520253307172,81059,03035476063,Sukkur,Sindh
Nadia Zaidi,S/O Rabia Baig,4210181473553,62376,03458971036,Gilgit,Gilgit-Baltistan
,S/O Asif Jafri,4400013351949,311786,03131943886,Mirpur,Azad Kashmir
Tariq Virk,S/O Ayesha Akhtar,1330213378337,12885,03023013907,Islamabad,ICT
Sidra Hameed,S/O Raja Gondal,5400083711823,173516,03007026992,Mingora,KPK
Shaza Hussain,S/O Amna Jafri,4210167441741,33033,03313280721,Skardu,Gilgit-Baltistan
Syed Khan,S/O Malik Malik,2130128731097,32390,03137323419,Skardu,Gilgit-Baltistan
Maryam Ahmed,S/O Shazia Hashmi,13302-8707788-9,12558,03211666585,Abbottabad,KPK
Hina Zaidi,S/O Rabia Bhatti,1330280957021,313808,03122738129,Islamabad,ICT
Waseem Raja,S/O Zainab Ahmed,5400011956881,15025,03133375870,Skardu,Gilgit-Baltistan
مریم چودھری,S/O Chaudhry Raja,2130156571197,74966,03136185271,Islamabad,ICT
Noor Bukhari,S/O Iqra Naqvi,1330263670496,23305,03466513853,Islamabad,ICT
Syed Baig,S/O Nadia Bukhari,5400027154697,14777,03338374199,Sargodha,Punjab
Bilal Mirza,S/O Hamid Bhatti,3520237765864,23904,03009518262,Sialkot,Punjab
Hina Mirza,S/O Hassan Gondal,4210187737413,102503,03037469044,Turbat,Balochistan
Shazia Hashmi,S/O Adnan Malik,1330247645001,7928,03138628991,Mirpur,Azad Kashmir
فاطمہ خان,S/O Waseem Naqvi,1330228743872,,03458235132,Lahore,Punjab
Tariq Latif,S/O Hussain Gilani,35202-3319594-5,88167,03458924105,Sialkot,Punjab
Saira Cheema,S/O Uzma Qureshi,6110184162903,449,03007098050,Islamabad,ICT
