Owner_Name,Father_Name,CNIC,Owner_Number,Province,City,Society_Name,Property_Type,Plot_House_No,Area,Purchase_Year,Ownership_Status,Estimated_Market_Value,Contact_No
Rabia Hashmi,S/O Maryam Cheema,4400032676009,03313085954,Sindh,Hyderabad,Township,House,784,8 Marla,2022,Sold,11275769,03313085954
Uzma Bukhari,S/O Uzma Sandhu,6110190557713,03027948213,Azad Kashmir,Mirpur,Johar Town,Residential Plot,836,93 Sq.Ft,2011,Owned,4597308,03027948213
Nadia Cheema,S/O Mohammad Jafri,2130136300831,03036114979,Sindh,Hyderabad,DHA,Residential Plot,869,68 Kanal,2004,Sold,3778181,03036114979
Ali Khan,S/O Sana Abbasi,5400058235812,03137534892,KPK,Kohat,Gulshan-e-Iqbal,Residential Plot,458,7 Marla,1998,Mortgaged,10861482,03137534892
Tahir Hameed,S/O Naveed Mirza,5400013339061,03131351260,Gilgit-Baltistan,Chilas,Gulberg,Residential Plot,469,27 Sq.Ft,2004,Mortgaged,2826044,03131351260
Mehwish Cheema,S/O Muhammad Chaudhry,1330275034586,03006649498,Azad Kashmir,Rawalakot,Johar Town,Apartment,404,69 Marla,2002,Mortgaged,11679080,03006649498
Ibrahim Aslam,S/O Rabia Bukhari,1330271239462,03316513147,Balochistan,Khuzdar,Cavalry Ground,Residential Plot,777,18 Kanal,2017,Sold,6070332,03316513147
Shazia Butt,S/O Noor Virk,1330257036244,03323065243,Azad Kashmir,Muzaffarabad,Clifton,Apartment,976,46 Kanal,2003,Mortgaged,3316802,03323065243
Zainab Hashmi,S/O Sheikh Tarar,1330218028093,03318569809,Balochistan,Khuzdar,Gulshan-e-Iqbal,Apartment,845,51 Marla,2016,Rented,15112517,03459580843
Aamir Syed,S/O Asif Raza,3520228796357,03122144792,Punjab,Multan,Clifton,Residential Plot,380,84 Sq.Ft,1995,Owned,16541984,
Hamid Gujjar,S/O Sidra Rana,5400028405652,03314293083,Gilgit-Baltistan,Gilgit,Askari,Agricultural Land,378,3 Kanal,2010,Sold,66183269,03314293083
Ayesha Abbasi,S/O Asma Mirza,21301-2477917-9,03456215275,Azad Kashmir,Rawalakot,North Nazimabad,Residential Plot,86,67 Marla,2012,Owned,4623859,03456215275
Bilal Nawaz,S/O S/O Uzma Hussain,3520272899904,03453450300,Punjab,Sialkot,DHA,Apartment,107,9 Sq.Ft,2018,Mortgaged,3023462,03453450300
Waseem Hussain,S/O Hashmi Khan,3520256297496,03215730558,Sindh,Larkana,Model Town,House,455,93 Marla,2003,Sold,21029742,03212941821
Mohammad Rana,S/O Rabia Rizvi,2130110971231,03028741067,Balochistan,Quetta,Clifton,House,690,65 Sq.Ft,2005,Rented,21401438,03028741067
Tariq Ahmed,S/O Malik Sheikh,1330240199088,03013448961,Azad Kashmir,Rawalakot,Saddar,House,589,86 Sq.Ft,2001,Sold,5347434,
Bilal Ansari,S/O Saira Qureshi,3520226013597,03469712522,Sindh,Hyderabad,Johar Town,House,795,26 Sq.Ft,2016,Sold,12248783,03469712522
Maryam Hameed,S/O Mohammad Khan,6110142862398,03006615147,Balochistan,Khuzdar,North Nazimabad,Apartment,258,93 Marla,2014,Owned,1623844,03006615147
