CNIC,Name,Father_Name,Declared_Income,Tax_Paid,NTN,Filing_Status,Contact_No
5400053879006,Mirza Chattha,S/O Salman Rana,4549486,900165,NTN-744666,Filer,03033663333
4210169964154,Ayesha Akhtar,S/O Khalid Chaudhry,1954429,135795,NTN-252431,Filer,03126532337
6110157598197,Tariq Abbasi,S/O Ali Baig,775331,54787,NTN-843048,Filer,
5400059411793,Neaem Zaidi,S/O S/O Saira Aslam,163437,0,,Non-Filer,03461543292
4210161351401,Naeem Qureshi,S/O Ahmed Gondal,751230,136291,NTN-109643,Filer,03317183858
1330275663564,Naveed Gondal,S/O Mirza Naqvi,5548655,770258,NTN-472209,Filer,03312729774
5400040236018,Chaudhry Ahmed,S/O Salman Bukhari,1597350,225001,NTN-405181,Filer,03138648272
2130176211236,Waseem Tarar,S/O Rizwan Nawaz,122585,0,NTN-384789,,03017858317
4210176537323,Rukhsar Hussain,S/O Bilal Butt,804665,161003,NTN-573438,Non-Filer,03458460813
4210155237957,Maryam Bhatti,S/O Salman Jafri,798553,84669,NTN-523325,Filer,03023451220
3520286240546,Zubair Latif,S/O Ayesha Rana,1512953,331339,NTN-813915,Filer,03035624061
3520244740152,Sidra Naqvi,S/O Imran Nawaz,701893,,NTN-351340,Non-Filer,03027481529
5400049456973,Maryam Malik,S/O Sana Virk,2592769,211641,NTN-440201,Filer,03329049583
5400030747103,Sajid Ansari,S/O Qureshi Bukhari,368126,0,NTN-320254,Non-Filer,03313585824
2130170824775,Baig Gonadl,S/O Raja Raja,27065067,4840589,NTN-482455,Filer,03321929129
2130155349119,عمر شیخ,,4818959,244631,NTN-642473,Filer,03008785277
1330269408897,Rukhsar Sheikh,S/O Hussain Hameed,939120,133066,NTN-552613,Non-Filer,03468385584
5400096291016,Sobia Gondal,S/O Rukhsar Raza,283250,0,NTN-693841,Non-Filer,03132021413
1330237798447,Amna Cheema,S/O Muhammad Zaidi,3160121,195204,NTN-683383,Filer,03316991311
1330225034258,Uzma Nawaz,S/O Ibrahim Latif,8657920,1673592,NTN-746052,Filer,03118467845
2130148475935,Hashmi Raza,S/O Sheikh Latif,57681,0,NTN-899911,Filer,03127935621
4400066375992,,S/O علی حسین,1421880,348135,NTN-709865,Filer,03116630212
5400021507804,Imran Baig,S/O Raja Virk,1152722,179414,NTN-399086,Filer,03331847445
