Traveler_Name,Father_Name,CNIC,Passport_No,Nationality,Home_City,Travelling_From,Travelling_To,Travel_Date,Visa_Type,Reason_To_Travel
Hamid Aslam,S/O S/O Chaudhry Raja,6110185619773,AB1397316,Pakistani,Islamabad,Pakistan,Malaysia,2022-08-24,Work,Business Meeting
Syed Iqbal,S/O Asif Zaidi,5400099253416,AB2939417,Pakistani,Mardan,Pakistan,China,2021-02-19,Work,Education
Rizwan Syed,S/O Tariq Sandhu,1330236048285,AB4834660,Pakistani,Muzaffarabad,Pakistan,USA,2019-11-24,Visit,Family Visit
صنا ملک,S/O S/O Sana Rana,1330273816196,AB3902209,Pakistani,Hub,Pakistan,USA,2019-10-02,Work,Education
Fatima Bhatti,S/O Saira Rizvi,6110169721592,AB5124196,Pakistani,Skardu,Pakistan,China,2015-05-29,Tourist,Family Visit
Ayesha Abbasi,S/O Chaudhry Sheikh,3520267896203,AB4772066,Pakistani,Chilas,Pakistan,Turkey,2019-09-11,Business,Medical Treatment
Anma Karim,S/O Khalid Jafri,5400053257794,AB2573708,Pakistani,Multan,Pakistan,UAE,2020-08-28,Work,Family Visit
Sidra Khan,S/O Baig Ansari,1330249154738,AB6883003,Pakistani,Mirpur,Pakistan,Germany,2021-08-15,Student,Education
Hina Mirza,S/O Uzma Chattha,4210168545092,AB2265546,Pakistani,Skardu,Pakistan,Malaysia,2022-11-28,Tourist,Business Meeting
Imran Baig,S/O S/O Muhammad Ansari,5400082500137,AB1253201,Pakistani,Gujranwala,Pakistan,Malaysia,2017-05-13,Work,Family Visit
Sana Sandhu,S/O Hussain Gujjar,4210151206576,AB9041871,Pakistani,Sukkur,Pakistan,Saudi Arabia,2020-02-24,Tourist,Medical Treatment
Rizwan Ali,S/O Omar Malik,1330233518099,AB9138478,Pakistani,Gilgit,Pakistan,USA,2022-12-28,Student,Medical Treatment
Faisal Karim,S/O Muhammad Ali,4400059351918,AB6162936,Pakistani,Islamabad,Pakistan,UK,2021-10-20,Work,Education
Iqra Ali,,2130194663154,AB9477589,Pakistani,Nawabshah,Pakistan,UK,2016-10-10,Business,Tourism
Sajid Gujjar,S/O Uzma Qureshi,6110138473895,AB8020014,Pakistani,Mirpurkhas,Pakistan,UAE,2022-07-26,Tourist,Medical Treatment
Zubair Butt,S/O Bushra Hashmi,3520258806711,AB7510295,Pakistani,Islamabad,Pakistan,USA,2015-11-02,Tourist,Business Meeting
Sobia Raza,S/O Ayesha Cheema,2130125933641,AB1070400,Pakistani,Rawalpindi,Pakistan,USA,2017-08-11,Student,Business Meeting
Waseem Virk,S/O Noor Cheema,2130138928897,,Pakistani,Skardu,Pakistan,France,2023-03-10,Tourist,Business Meeting
Ibrahim Rizvi,S/O Ayesha Virk,1330284798012,AB4996509,Pakistani,Islamabad,Pakistan,Turkey,2017-11-06,Work,Education
Kamran Hameed,S/O Mirza Nawaz,6110136708191,AB7196519,Pakistani,Rawalakot,Pakistan,China,2015-01-25,Work,Business Meeting
Zainab Raja,S/O Bushra Jafri,2130158246963,AB1261600,Pakistani,Hyderabad,Pakistan,Malaysia,2019-07-13,Business,Employment
HussainGilani,S/O Adnan Jafri,4400044295907,AB7134305,Pakistani,Kohat,Pakistan,Turkey,2021-09-20,Work,Medical Treatment
Mohd Tarrar,S/O Sana Hameed,4210151999956,AB2198501,Pakistani,Chilas,Pakistan,UK,2019-01-27,Tourist,Medical Treatment
Maryam Zaidi,S/O Salman Chaudhry,2130112414026,AB9636274,Pakistani,Muzaffarabad,Pakistan,Turkey,2019-04-14,Student,Tourism
Mohammad Latif,S/O Raja Raza,4210178578862,AB3528627,Pakistani,Skardu,Pakistan,China,2017-07-20,Business,Employment
Rabia Jafir,S/O Tariq Raza,3520240100482,AB6772722,Pakistani,Nawabshah,Pakistan,UK,2015-03-17,Student,Employment
Mehwish Ansari,S/O Shazia Ansari,,AB8881986,Pakistani,Hyderabad,Pakistan,USA,2016-04-21,Visit,Tourism
Hashmi Karim,,5400028774011,AB3676677,Pakistani,Quetta,Pakistan,Canada,2018-01-27,Visit,Family Visit
Waseem Chattha,S/O Hamid Iqbal,5400074185263,AB9870162,Pakistani,Turbat,Pakistan,Germany,2020-06-05,Business,Medical Treatment
Maryam Aslam,S/O Baig Syed,3520278897434,AB1091516,Pakistani,Sargodha,Pakistan,Saudi Arabia,2016-09-15,Student,Education
Mohd Raja,S/O Nadia Raza,4400023625892,AB8114248,Pakistani,Faisalabad,Pakistan,Saudi Arabia,2015-02-03,Student,Tourism
Ayesha Gondal,S/O Muhammad Gujjar,6110175759573,AB1353213,Pakistani,Gwadar,Pakistan,China,2016-12-07,Student,Education
Raja Gondal,S/O Bushra Khan,1330242229742,AB5597427,Pakistani,Mirpur,Pakistan,Malaysia,2020-12-07,Work,Tourism
Mehwish Bhatti,S/O Hussain Tarar,4210184916439,AB5039426,Pakistani,Larkana,Pakistan,UK,2022-11-06,Work,Business Meeting
Ayesha Karim,S/O Faisal Khan,2130110604575,AB9662681,Pakistani,Quetta,Pakistan,Saudi Arabia,2015-12-01,Business,Employment
Aamir Gilani,S/O Shoaib Bhatti,42101-2498890-3,AB9349597,Pakistani,Khuzdar,Pakistan,Germany,2019-01-23,Tourist,Family Visit
Ayesha Jafri,S/O Maryam Sandhu,5400097348855,AB4269240,Pakistani,Islamabad,Pakistan,Turkey,2016-09-21,Visit,Education
Mehwish Baig,S/O Nadia Gilani,1330239546444,AB8714417,Pakistani,Hyderabad,Pakistan,Saudi Arabia,2016-07-23,Business,Business Meeting
Moh Gondal,S/O Rabia Aslam,3520240123147,AB1010298,Pakistani,Mardan,Pakistan,UK,2022-10-22,Tourist,Employment
Sajid Rana,S/O Ahmed Rafiq,4210175679255,AB4417333,Pakistani,Abbottabad,Pakistan,China,2015-12-06,Visit,Tourism
Tariq Gujjar,S/O Bushra Bukhari,1330248790752,AB5677159,Pakistani,Lahore,Pakistan,USA,2023-02-02,Work,Tourism
Raja Chaudhry,S/O Mirza Khan,1330268297904,AB9324892,Pakistani,Chilas,Pakistan,Canada,2020-01-14,Business,Employment
Sobia Mirza,S/O Raja Baig,3520224538445,AB9779218,Pakistani,Islamabad,Pakistan,Saudi Arabia,2018-08-30,Tourist,Medical Treatment
Naveed Qureshi,S/O Rizwan Ali,44000-8136853-8,AB6968577,Pakistani,Hub,Pakistan,Malaysia,2017-03-22,Visit,Medical Treatment
Mohd Qureshi,S/O Bilal Cheema,4210128688775,AB1771733,Pakistani,Karachi,Pakistan,France,2017-09-09,Work,Employment
Salman Sandhu,S/O Rizwan Cheema,6110196178836,AB1209686,Pakistani,Rawalakot,Pakistan,Canada,2022-09-17,Visit,Tourism
Tahir Chaudhry,S/O Sidra Zaidi,4400098026322,AB3453190,Pakistani,Gilgit,Pakistan,Turkey,2020-08-20,Tourist,Tourism
Fatima Gondal,S/O Sheikh Tarar,6110121398842,AB6320762,Pakistani,Nawabshah,Pakistan,UAE,2022-05-28,Business,Family Visit
Mohd Baig,S/O Sobia Baig,4210187070319,AB7938930,Pakistani,Sukkur,Pakistan,USA,2018-06-07,Business,Employment
Hina Butt,S/O Hassan Hussain,5400081158418,AB4461784,Pakistani,Islamabad,Pakistan,Canada,2023-01-25,Visit,Education
Tahir Sandhu,S/O Aamir Syed,2130185020467,AB5146554,Pakistani,Rawalakot,Pakistan,Malaysia,2022-01-24,Work,Business Meeting
Saira Naqvi,S/O Rizwan Ahmed,4210184622191,AB1262390,Pakistani,Abbottabad,Pakistan,UAE,2017-06-27,Work,Education
Kamran Abbasi,S/O Khalid Qureshi,4210143616824,,Pakistani,Mardan,Pakistan,Turkey,2018-01-14,Business,Business Meeting
Asma Karim,S/O Hamid Latif,2130178144198,AB6597283,Pakistani,Quetta,Pakistan,France,2022-09-26,Tourist,Medical Treatment
Naeem hCeema,S/O Mehwish Jafri,4210198773644,AB6895167,Pakistani,Rawalpindi,Pakistan,China,2021-05-10,Student,Employment
Waseem Syed,S/O Uzma Raza,44000-7721793-1,AB5769384,Pakistani,Muzaffarabad,Pakistan,France,2023-11-19,Student,Tourism
عمر شیخ,S/O Tahir Raja,4210123981742,AB8524306,Pakistani,Khuzdar,Pakistan,USA,2018-03-15,Business,Education
زینب علی,S/O Raja Chaudhry,3520220245819,AB4052658,Pakistani,Lahore,Pakistan,UK,2015-09-07,Visit,Family Visit
,S/O Hamid Jafri,3520264109822,AB1738377,Pakistani,Gwadar,Pakistan,UK,2023-06-29,Tourist,Medical Treatment
Amna Raza,S/O ابراہیم ملک,4210124027092,AB1678090,Pakistani,Hub,Pakistan,Canada,2020-09-08,Visit,Business Meeting
Shoaib Ahmed,S/O Nadia Baig,5400059657615,AB2449918,Pakistani,Gwadar,Pakistan,China,2018-04-07,Business,Medical Treatment
Mohammad Hussain,S/O Sajid Hashmi,3520278657108,AB7213030,Pakistani,Skardu,Pakistan,USA,2017-05-11,Tourist,Family Visit
Salman Vrik,S/O Naveed Hussain,4400049307314,AB4340754,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2017-08-20,Tourist,Medical Treatment
Imran Hashmi,S/O Usman Syed,2130177517349,AB8662813,Pakistani,Hub,Pakistan,Germany,2017-07-05,Visit,Family Visit
Iqra Sheikh,S/O Waseem Cheema,2130123191177,AB5554397,Pakistani,Islamabad,Pakistan,UK,2016-01-22,Business,Business Meeting
زینب علی,S/O Tariq Iqbal,6110174728354,AB4102129,Pakistani,Skardu,Pakistan,Malaysia,2017-02-23,Tourist,Education
,S/O Ahmed Tarar,5400054957436,AB6535663,Pakistani,Islamabad,Pakistan,Saudi Arabia,2019-10-11,Business,Tourism
Hassan Naqvi,S/O Syed Ali,4210176851496,AB2291309,Pakistani,Gilgit,Pakistan,Malaysia,2021-10-02,Visit,Business Meeting
Nadia Gondal,S/O Muhammad Hussain,4210160735481,AB8937444,Pakistani,Karachi,Pakistan,Saudi Arabia,2022-04-27,Visit,Family Visit
Raja Rafiq,S/O Rukhsar Rana,6110188169127,AB5986545,Pakistani,Karachi,Pakistan,UK,2020-11-29,Tourist,Family Visit
Kamran Virk,S/O Uzma Rafiq,5400063517812,AB3295166,Pakistani,Faisalabad,Pakistan,France,2017-04-13,Work,Tourism
Omar Qureshi,S/O Iqra Chattha,2130162522233,AB2884521,Pakistani,Gwadar,Pakistan,China,2015-03-17,Business,Business Meeting
Saira Khan,S/O Tariq Chaudhry,4210142635918,AB3099463,Pakistani,Skardu,Pakistan,Malaysia,2017-06-07,Student,Medical Treatment
Usman Cheema,S/O Syed Ansari,4210194877453,AB3264845,Pakistani,Islamabad,Pakistan,Canada,2021-11-24,Business,Family Visit
Khalid Raja,S/O Sajid Rafiq,4210181001278,AB8262242,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2022-01-23,Work,Medical Treatment
Mohd Raja,S/O Bushra Iqbal,5400045920935,AB8462596,Pakistani,Abbottabad,Pakistan,USA,2021-03-16,Business,Business Meeting
Ali Hameed,S/O Kamran Virk,2130129220168,AB7727881,Pakistani,Hub,Pakistan,UAE,2016-12-21,Visit,Family Visit
Bushra Naqvi,S/O Iqra Gilani,4210170559664,AB8272471,Pakistani,Muzaffarabad,Pakistan,China,2016-04-27,Work,Education
Shazia Hussain,S/O Waseem Gilani,2130112744328,AB8879655,Pakistani,Kohat,Pakistan,UK,2021-07-11,Student,Tourism
Arif Raiq,S/O Malik Chattha,4400091586139,AB1554742,Pakistani,Bahawalpur,Pakistan,Turkey,2017-08-11,Tourist,Employment
Ayesha Bhatti,S/O احمد خان,4400051591828,AB1121822,Pakistani,Muzaffarabad,Pakistan,Saudi Arabia,2016-04-09,Visit,Education
Khalid Mirza,S/O Asif Jafri,1330256865071,AB2162369,Pakistani,Gwadar,Pakistan,UK,2021-10-19,Business,Business Meeting
Ali Malik,S/O Faisal Qureshi,13302-1906432-8,AB6678903,Pakistani,Islamabad,Pakistan,Germany,2018-04-30,Student,Education
Hussain Akhtar,S/O Malik Ali,3520271106594,AB9290903,Pakistani,Sialkot,Pakistan,Germany,2015-07-26,Visit,Family Visit
عمر شیخ,S/O Tariq Karim,3520274633372,AB1973999,Pakistani,Rawalakot,Pakistan,Canada,2020-06-28,Tourist,Employment
Sidra Abbasi,S/O Aamir Raja,2130163123969,AB2607402,Pakistani,Gujranwala,Pakistan,Malaysia,2020-04-18,Work,Education
Saira Bhatti,S/O Adnan Tarar,5400040632879,AB9570743,Pakistani,Bannu,Pakistan,Germany,2021-08-09,Student,Employment
Kamran Hameed,S/O Mirza Nawaz,6110136708191,,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2021-06-26,Tourist,Family Visit
Mohd Chattha,S/O Khalid Karim,3520280204127,AB2567347,Pakistani,Abbottabad,Pakistan,USA,2023-03-17,Work,Medical Treatment
Mehwish Raja,S/O Iqra Cheema,4400065467444,,Pakistani,Mirpurkhas,Pakistan,UAE,2019-08-07,Student,Business Meeting
Mehwish Aslam,S/O Tahir Butt,6110165055049,AB3776308,Pakistani,Mirpur,Pakistan,France,2022-11-22,Tourist,Family Visit
Salman Sandhu,S/O Naveed Syed,4210144319822,AB2447394,Pakistani,Gwadar,Pakistan,Canada,2020-12-06,Work,Business Meeting
Waseem Ansari,S/O Mirza Gilani,1330267353092,AB2144825,Pakistani,Peshawar,Pakistan,Turkey,2023-12-13,Work,Family Visit
Baig Sheikh,S/O Rizwan Iqbal,3520234469953,AB2703554,Pakistani,Islamabad,Pakistan,China,2020-11-04,Tourist,Education
Noor Aslam,S/O Tahir Gujjar,4210115055952,AB3647665,Pakistani,Khuzdar,Pakistan,Turkey,2020-05-17,Student,Employment
Ibrahim Hussain,S/O Ibrahim Rana,4210149220621,AB4065423,Pakistani,Hyderabad,Pakistan,China,2015-04-09,Student,Education
Asma Chaudhry,S/O Raja Rafiq,4210154800978,AB1006453,Pakistani,Mirpur,Pakistan,Canada,2020-08-07,Business,Education
