Owner_Name,Father_Name,CNIC,Car_Registration_Number,Model_Year,Car_Brand,Car_Model,Engine_Size_CC,Province,City,Estimated_Market_Value,Contact_No
Rizwan Akhtar,S/O Naeem Cheema,2130173383936,GIL-1687-J,2007,Suzuki,Jimny,1800,Gilgit-Baltistan,Chilas,304200,03001472228
Naeem Gujjar,S/O Malik Naqvi,2130116815394,LHR-1735-K,2009,Suzuki,Swift,660,Punjab,Lahore,198000,03334158767
Sana Rafiq,S/O Noor Bhatti,3520255839589,MZD-5135-Y,2019,Suzuki,Cultus,800,Azad Kashmir,Mirpur,308000,03213780266
Tariq Baig,S/O Shoaib Bukhari,4210137823939,PES-7902-L,2020,Kia,Stonic,2000,KPK,Mardan,334000,03313452813
Bilal Virk,S/O Naeem Sandhu,4400097437095,ISB-426-B,2015,Hyundai,Tucson,1500,ICT,Islamabad,501000,03115163073
Naveed Bukhari,S/O نادیہ رضا,1330271469702,MZD-6246-T,2010,Suzuki,Wagon R,1600,Azad Kashmir,Mirpur,512000,03214854891
Hina Akhtar,S/O Sajid Karim,5400067291275,ISB-9360-L,2009,Hyundai,Sonata,660,ICT,Islamabad,143880,03118883813
Kashif Tarar,S/O Shazia Nawaz,4210198546985,PES-3720-B,2007,Hyundai,Elantra,1500,KPK,Abbottabad,,03135826180
Mehwish Baig,S/O S/O Ibrahim Virk,2130163372509,KHI-9698-Z,2007,Honda,HR-V,1000,Sindh,Larkana,351000,03017576872
Baig Gujjar,S/O Sheikh Raja,5400049460667,ISB-408-C,2005,BMW,X6,4000,ICT,Islamabad,1224000,03031666754
Zubair Sheikh,S/O Mohammad Karim,,ISB-8803-S,2020,Hyundai,Tucson,2500,ICT,Islamabad,272500,03457716629
فاطمہ خان,S/O Shoaib Gilani,4400016871488,PES-4227-Y,2022,Suzuki,Bolan,800,KPK,Bannu,,03032973996
Tahir Raza,S/O Sobia Rafiq,6110133580964,PES-7227-V,2013,Hyundai,Santa Fe,1200,KPK,Mingora,432000,03337073417
Syed Syed,S/O Zainab Aslam,4400066301153,LHR-2526-B,2012,Hyundai,Tucson,2500,Punjab,Bahawalpur,517500,03461876627
Bilal Rizvi,S/O Syed Hameed,4400019963088,MZD-2686-C,2009,Kia,Sportage,1200,Azad Kashmir,Muzaffarabad,247200,03223453452
Zainab Qureshi,S/O Iqra Aslam,4400081426356,QTA-7234-V,2017,Hyundai,Tucson,2500,ICT,Islamabad,662500,03133960268
Omar Gondal,S/O Usman Baig,5400041519297,ISB-2986-K,2008,Toyota,Hilux,2500,ICT,Islamabad,780000,03134913637
Fatima Nawaz,S/O Adnan Hameed,1330287888703,GIL-2093-I,2017,Kia,Sportage,1000,Gilgit-Baltistan,Chilas,398000,03452287737
Sobia Rana,S/O Khalid Bhatti,6110120047361,QTA-331-I,2022,Hyundai,Santa Fe,2500,Balochistan,Khuzdar,575000,03121404999
Ibrahim Qureshi,S/O Omar Aslam,4400033722207,GIL-226-Q,2005,Mercedes,C-Class,2500,Gilgit-Baltistan,Skardu,980000,03322404566
Hassan Rafiq,S/O Faisal Sandhu,2130117214265,LHR-3273-S,2006,Kia,Carnival,1300,Punjab,Multan,192400,03339470972
Fatima Zaidi,S/O Asif Gondal,4400010039879,KHI-489-D,2012,Kia,Picanto,3000,Sindh,Nawabshah,417000,03007422468
W. Karim,S/O Hina Jafri,4400025774399,LHR-6363-O,2023,Toyota,Corolla,2500,Punjab,Bahawalpur,550000,03128087865
Malik Chattha,S/O Adnan Syed,4400026392337,ISB-3809-C,2016,Suzuki,Bolan,1600,ICT,Islamabad,267200,03469314541
Noor Sheikh,S/O Bilal Tarar,4210131397135,LHR-2705-W,2017,Kia,Stonic,2000,Punjab,Sialkot,472000,03463329280
Syed Iqbal,S/O فاطمہ خان,4210175590794,ISB-933-G,2015,Mercedes,S-Class,3500,Gilgit-Baltistan,Skardu,1225000,03214016454
Salman Bukhari,S/O Sidra Gilani,5400011477012,GIL-7462-F,2005,Suzuki,Cultus,1600,Gilgit-Baltistan,Chilas,288000,03325090740
M. Zaidi,S/O Uzma Naqvi,5400055470345,ISB-8623-S,2008,Kia,Carnival,3000,ICT,Islamabad,831000,03226096354
Adnan Iqbal,S/O Hina Zaidi,5400014044383,LHR-3688-D,2011,BMW,7 Series,2000,Punjab,Bahawalpur,788000,03316884702
Sana Jafri,S/O Maryam Gondal,5400091047181,ISB-213-P,2020,Suzuki,Alto,2000,ICT,Islamabad,394000,03017508433
Shoaib Ansari,S/O Zainab Rizvi,3520261895303,MZD-4043-W,2011,Suzuki,Jimny,1500,Azad Kashmir,Muzaffarabad,,03223688092
Muhammad Sheikh,S/O Salman Rana,4400081599774,PES-8455-Z,2007,Honda,HR-V,1200,KPK,Bannu,464400,03314465248
Aamir Bhatti,S/O عمر شیخ,1330287682731,PES-7709-V,2021,Honda,Civic,1300,KPK,Bannu,458900,
S. Syed,S/O Imran Rafiq,1330266136975,KHI-6217-G,2023,Honda,BR-V,1000,Sindh,Nawabshah,197000,03129960074
Raja Jafri,S/O Mirza Hashmi,4400073276027,QTA-9457-M,2021,Suzuki,Cultus,1200,Balochistan,Gwadar,340800,03016314075
Tariq Virk,S/O Raja Aslam,1330252182929,KHI-6994-M,2013,Kia,Sportage,800,Sindh,Karachi,92800,03469384022
Ayesha Sandhu,S/O Raja Rizvi,5400051869371,ISB-5901-Q,2019,Hyundai,Santa Fe,1500,ICT,Islamabad,219000,03466545917
Nadia Naqvi,S/O Omar Chaudhry,6110184932772,KHI-4643-S,2015,Honda,City,660,Sindh,Sukkur,114840,03123624265
Hamid Raza,S/O Hashmi Butt,4400052013723,LHR-8972-X,2013,Suzuki,Bolan,2000,Punjab,Bahawalpur,554000,03218328302
M. Khan,S/O احمد خان,6110132741284,KHI-8017-A,2011,Toyota,Fortuner,1000,Sindh,Sukkur,274000,03004597093
Iqra Rana,S/O Khalid Bukhari,4400085472558,MZD-7321-G,2011,Suzuki,Alto,2000,KPK,Abbottabad,384000,03327363267
Fatima Malik,S/O Imran Qureshi,6110172040783,GIL-3791-A,2017,Suzuki,Cultus,1800,Sindh,Larkana,192600,03314074931
Syed Chattha,S/O Mehwish Iqbal,4210127050243,GIL-4042-B,2021,Suzuki,Bolan,2000,Gilgit-Baltistan,Gilgit,732000,03001055772
Mohammad Raja,S/O مریم چودھری,4210160055691,QTA-6588-E,2020,Honda,HR-V,3000,Balochistan,Hub,633000,03022263661
I. Hashmi,S/O Hashmi Rizvi,1330279565335,PES-4609-N,2013,Toyota,Camry,1600,KPK,Mingora,601600,03457911063
Baig Sandhu,S/O Bushra Butt,4400028079657,ISB-2282-E,2009,Suzuki,Cultus,1200,ICT,Islamabad,151200,03451791753
Nadia Latif,S/O Sheikh Malik,2130164994676,MZD-4036-B,2012,Kia,Stonic,1000,Azad Kashmir,Mirpur,349000,03002451944
,S/O Noor Akhtar,4400030614164,KHI-5877-X,2018,Toyota,Yaris,1600,Sindh,Sukkur,336000,03017263627
