citizen_id,cnic,canonical_first,canonical_name,first_name,last_name,father_name,ntn,gender,province,city,wealth_class,declared_income,tax_paid,is_filer,is_anomaly,is_extreme,has_activity,category
CIT-000001,39513-4620829-5,Farhan,Farhan Hashmi,Farhan,Hashmi,Ali Khattak,6356843,M,Punjab,Lahore,middle,2089241,120205,True,False,False,True,Positive
CIT-000002,39703-4197298-3,Mansoor,Mansoor Mengal,Mansoor,Mengal,Iqbal Mughal,9543276,M,Punjab,Sahiwal,low,479685,0,True,False,False,True,Positive
CIT-000003,61097-9919556-4,Durr-e-Shahwar,Durr-e-Shahwar Brohi,Durr-e-Shahwar,Brohi,Adnan Aslam,9951594,F,Islamabad,Islamabad,middle,2186043,129538,True,False,False,True,Positive
CIT-000004,44840-0652920-9,Imran,Imran Aslam,Imran,Aslam,Tariq Ahmed,,M,Sindh,Jacobabad,upper,9475111,177973,False,False,False,False,Positive
CIT-000005,63743-0334528-6,Aisha,Aisha Virk,Aisha,Virk,Hamza Mughal,,F,Islamabad,Islamabad,upper,5592987,30977,False,False,False,True,Medium
CIT-000006,63953-9530621-6,Zainab,Zainab Chaudhry,Zainab,Chaudhry,Kamran Bhatti,1135088,F,Islamabad,Islamabad,middle,1677904,80461,True,False,False,True,Positive
CIT-000007,32984-6844621-4,Samina,Samina Khan,Samina,Khan,Usman Chaudhry,,F,Punjab,Sialkot,high,10991382,20360,False,True,False,False,Medium
CIT-000008,43702-5146303-4,Naila,Naila Gondal,Naila,Gondal,Sajid Sheikh,,F,Sindh,Nawabshah,low,629445,22,False,False,False,False,Positive
CIT-000009,38863-6605805-5,Naveed,Naveed Brohi,Naveed,Brohi,Arif Tahir,,M,Punjab,Faisalabad,upper,5211758,40752,False,False,False,False,Positive
CIT-000010,39110-3614959-3,Danish,Danish Khattak,Danish,Khattak,Tariq Baloch,2812110,M,Punjab,Faisalabad,high,1804188,99066,True,True,False,True,Medium
CIT-000011,40175-0120677-9,Ali,Ali Kayani,Ali,Kayani,Talha Afridi,,M,Sindh,Jacobabad,low,435103,0,False,False,False,False,Positive
CIT-000012,38765-0875791-8,Jaweria,Jaweria Rajput,Jaweria,Rajput,Zahid Awan,9984616,F,Punjab,Lahore,low,434801,0,True,False,False,True,Positive
CIT-000013,34734-5432704-6,Riffat,Riffat Laghari,Riffat,Laghari,Ghulam Raza,,F,Punjab,Jhelum,low,537644,0,False,False,False,True,Medium
CIT-000014,68893-0663561-6,Nasreen,Nasreen Qureshi,Nasreen,Qureshi,Shoaib Shah,,F,Islamabad,Islamabad,middle,1013898,538,False,False,False,True,Medium
CIT-000015,55918-7275276-7,Atif,Atif Niazi,Atif,Niazi,Ehsan Qureshi,,M,Balochistan,Zhob,middle,1072842,895,False,False,False,False,Positive
CIT-000016,74290-7840163-5,Noman,Noman Sheikh,Noman,Sheikh,Shahid Baig,,M,AJK,Mirpur,middle,1520593,463,False,False,False,False,Positive
CIT-000017,44238-5904933-6,Saima,Saima Virk,Saima,Virk,Qasim Bugti,,F,Sindh,Jacobabad,middle,1328350,101,False,False,False,False,Positive
CIT-000018,47416-6654853-7,Waseem,Waseem Butt,Waseem,Butt,Irfan Aslam,6720513,M,Sindh,Jacobabad,middle,1977950,108129,True,False,False,True,Positive
CIT-000019,19402-2306811-8,Nighat,Nighat Afridi,Nighat,Afridi,Naveed Rajput,,F,KPK,Abbottabad,high,1203679,993,False,True,False,True,Medium
CIT-000020,35304-6248612-7,Sajid,Sajid Tahir,Sajid,Tahir,Ali Abbasi,,M,Punjab,Multan,low,327313,0,False,False,False,True,Medium
CIT-000021,39427-0803084-3,Pervaiz,Pervaiz Malik,Pervaiz,Malik,Mansoor Aslam,8526342,M,Punjab,Jhelum,low,776117,3844,True,False,False,True,Positive
CIT-000022,32974-9567456-9,Ali,Ali Junejo,Ali,Junejo,Babar Bugti,,M,Punjab,Sheikhupura,low,467255,0,False,False,False,False,Positive
CIT-000023,42486-2641128-6,Qudsia,Qudsia Shah,Qudsia,Shah,Tahir Gill,4922072,F,Sindh,Jacobabad,middle,1836837,108548,True,False,False,True,Positive
CIT-000024,43209-8683882-9,Waseem,Waseem Malik,Waseem,Malik,Ali Hussain,5899282,M,Sindh,Mirpur Khas,middle,1173936,16212,True,False,False,True,Positive
CIT-000025,32411-9425439-4,Jaweria,Jaweria Minhas,Jaweria,Minhas,Fahad Minhas,,F,Punjab,Sahiwal,middle,1528783,2461,False,False,False,False,Positive
CIT-000026,38096-8696725-5,Atif,Atif Randhawa,Atif,Randhawa,Sajid Mughal,,M,Punjab,Sahiwal,middle,1860906,7666,False,False,False,False,Positive
CIT-000027,49939-7281438-7,Junaid,Junaid Khan,Junaid,Khan,Fahad Durrani,,M,Sindh,Larkana,upper,4248056,14687,False,False,False,False,Positive
CIT-000028,16536-8740066-2,Iram,Iram Iqbal,Iram,Iqbal,Shoaib Awan,,F,KPK,Kohat,upper,873948,406,False,True,False,False,Medium
CIT-000029,38115-3203338-9,Tanveer,Tanveer Yousafzai,Tanveer,Yousafzai,Tahir Mengal,,M,Punjab,Lahore,low,417555,0,False,False,False,False,Positive
CIT-000030,48066-1915057-7,Rafiq,Rafiq Baig,Rafiq,Baig,Ehsan Gondal,2298273,M,Sindh,Nawabshah,upper,5497269,955070,True,False,False,True,Positive
CIT-000031,34122-6936401-5,Pervaiz,Pervaiz Khattak,Pervaiz,Khattak,Danish Siddiqui,,M,Punjab,Faisalabad,high,22958174,255365,False,False,False,False,Positive
CIT-000032,30943-6687805-6,Sana,Sana Soomro,Sana,Soomro,Naveed Malik,,F,Punjab,Multan,low,871566,258,False,False,False,False,Positive
CIT-000033,69813-5110188-5,Mansoor,Mansoor Laghari,Mansoor,Laghari,Arif Bugti,,M,Islamabad,Islamabad,upper,5975754,34274,False,False,False,False,Positive
CIT-000034,43971-8670120-4,Bano,Bano Afridi,Bano,Afridi,Tahir Awan,,F,Sindh,Jacobabad,low,364051,0,False,False,False,False,Positive
CIT-000035,51713-2287856-2,Lubna,Lubna Baloch,Lubna,Baloch,Waseem Bugti,,F,Balochistan,Hub,middle,2303777,14979,False,False,False,False,Positive
CIT-000036,48066-3598108-7,Khalid,Khalid Warraich,Khalid,Warraich,Zeeshan Iqbal,6306499,M,Sindh,Sukkur,high,3349438,352421,True,True,False,True,Medium
CIT-000037,53009-3319808-3,Ghulam,Ghulam Cheema,Ghulam,Cheema,Hussain Hashmi,,M,Balochistan,Sibi,middle,1916395,4393,False,False,False,False,Positive
CIT-000038,69630-3143260-6,Zubaida,Zubaida Minhas,Zubaida,Minhas,Irfan Aslam,,F,Islamabad,Islamabad,upper,3332952,22560,False,False,False,False,Positive
CIT-000039,37956-0408396-4,Tahira,Tahira Cheema,Tahira,Cheema,Habib Warraich,2000140,F,Punjab,Lahore,upper,4028136,556567,True,False,False,True,Positive
CIT-000040,47074-7804737-6,Lubna,Lubna Chandio,Lubna,Chandio,Liaquat Hussain,9811768,F,Sindh,Nawabshah,middle,1909507,96381,True,False,False,True,Positive
CIT-000041,36446-7738669-7,Salman,Salman Khan,Salman,Khan,Tariq Awan,1186104,M,Punjab,Sialkot,upper,7487983,1415905,True,False,False,True,Positive
CIT-000042,31419-7440422-7,Kamran,Kamran Jamali,Kamran,Jamali,Rashid Baloch,6798755,M,Punjab,Faisalabad,low,526377,0,True,False,False,True,Positive
CIT-000043,30055-2681664-6,Aneela,Aneela Raza,Aneela,Raza,Waseem Randhawa,4455698,F,Punjab,Sargodha,upper,476769,0,True,True,False,True,Medium
CIT-000044,47778-6276116-0,Nighat,Nighat Warraich,Nighat,Warraich,Zafar Cheema,2593261,F,Sindh,Larkana,high,5995049,1091580,True,True,False,True,Medium
CIT-000045,12549-7775888-9,Yasir,Yasir Sheikh,Yasir,Sheikh,Irfan Jatoi,9448116,M,KPK,Kohat,middle,1155150,14738,True,False,False,True,Positive
CIT-000046,18912-4570631-3,Shahid,Shahid Gill,Shahid,Gill,Arif Sheikh,,M,KPK,Nowshera,middle,1450391,2080,False,False,False,False,Positive
CIT-000047,33736-1742844-6,Nasreen,Nasreen Hussain,Nasreen,Hussain,Arif Shaikh,7750347,F,Punjab,Sahiwal,high,5718165,999968,True,True,False,True,Medium
CIT-000048,37894-8787338-9,Rizwan,Rizwan Gill,Rizwan,Gill,Hamza Randhawa,,M,Punjab,Multan,middle,2471742,2584,False,False,False,True,Medium
CIT-000049,48053-7855253-4,Lubna,Lubna Jamali,Lubna,Jamali,Sohail Qureshi,0752779,F,Sindh,Shikarpur,upper,6651517,1188093,True,False,False,True,Positive
CIT-000050,37945-0327579-8,Asma,Asma Sheikh,Asma,Sheikh,Amir Malik,2685137,F,Punjab,Lahore,upper,3535474,386907,True,False,False,True,Positive
CIT-000051,37800-8443555-7,Atif,Atif Iqbal,Atif,Iqbal,Noman Chaudhry,,M,Punjab,Sialkot,upper,6612651,79643,False,False,False,True,Medium
CIT-000052,71717-8124793-0,Qudsia,Qudsia Chaudhry,Qudsia,Chaudhry,Adnan Laghari,,F,GB,Chilas,middle,1603617,2370,False,False,False,False,Positive
