record_id,account_holder,cnic,monthly_transactions,avg_balance,bank_name,account_type
BANK-000001,Furhan Hashmi,39513-4620829-5,12.0,1578885.0,Summit Bank,Savings
BANK-000002,Farhan Hashmi,39513-4620829-5,71.0,916111.0,Standard Chartered,Savings
BANK-000003,,39703-4197298-3,19.0,103848.0,Bank Al Habib,Savings
BANK-000004,Mansoor Mengal,39703-4197298-3,10.0,55799.0,Habib Bank,Business
BANK-000005,Durr-e-Shahwar Brohi,61097-9919556-4,24.0,675506.0,Habib Bank,Current
BANK-000006,Durr-e-Shahwar Brohi,61097-9919556-4,67.0,910594.0,Faysal Bank,Savings
BANK-000007,Durr-e-Shahwar Brohi,61097-9919556-4,48.0,1047134.0,United Bank,Business
BANK-000008,Imran Aslam,44840-0652920-9,98.0,9527758.0,Habib Bank,Current
BANK-000009,Aisha Virk,63743-0334528-6,199.0,2210193.0,National Bank,Savings
BANK-000010,Aisha Virk,,117.0,11298325.0,United Bank,Business
BANK-000011,,63953-9530621-6,56.0,548103.0,Soneri Bank,Savings
BANK-000012,Zenab Chaudhry,63953-9530621-6,69.0,729910.0,JS Bank,Business
BANK-000013,Samina Khan,32984-6844621-4,159.0,48820669.0,Askari Bank,Current
BANK-000014,Samina Khan,32984-6844621-4,430.0,13324971.0,United Bank,Savings
BANK-000015,Naila Gondal,43702-5146303-4,8.0,97901.0,JS Bank,Savings
BANK-000016,Naveed Brohi,38863-6605805-5,122.0,5221164.0,Bank Al Habib,Savings
BANK-000017,Naveed Brohi,38863-6605805-5,144.0,10542161.0,Standard Chartered,Business
BANK-000018,Naveed Brohi,38863-6605805-5,155.0,9623715.0,Summit Bank,Current
BANK-000019,Danish Khattak,39110-3614959-3,420.0,55250776.0,United Bank,Current
BANK-000020,,39110-3614959-3,420.0,37931171.0,Askari Bank,Savings
BANK-000021,Danish Khattak,39110-3614959-3,282.0,35289583.0,Summit Bank,Current
BANK-000022,Jaweria Rajput,38765-0875791-8,23.0,17078.0,JS Bank,Business
