record_id,business_name,owner_name,cnic,business_type,role,share_percentage,annual_revenue,registration_city
BIZ-000001,Aslam Import/Export Pvt Ltd,Zainab Chaudhry,63953-9530621-6,Import/Export,Owner,75.0,12340784.0,Islamabad
BIZ-000002,Mughal Automotive Pvt Ltd,Samina Khan,32984-6844621-4,Automotive,Partner,50.0,293263213.0,Sialkot
BIZ-000003,Raza Financial Services Pvt Ltd,Danish Khattak,39110-3614959-3,Financial Services,Partner,33.0,272913693.0,Faisalabad
BIZ-000004,Khan Manufacturing Pvt Ltd,,,Manufacturing,Owner,50.0,19514108.0,Jacobabad
BIZ-000005,Virk Textile Enterprises,Saima Virk,44238-5904933-6,Textile,Owner,100.0,4309047.0,Jacobabad
BIZ-000006,Sethi Retail Pvt Ltd,Jaweria Minhas,32411-9425439-4,Retail,Director,,,Sahiwal
BIZ-000007,Memon Education Enterprises,Junaid Khan,49939-7281438-7,Education,Owner,75.0,45507757.0,Larkana
BIZ-000008,Warraich E-Commerce Pvt Ltd,Junaid Khan,49939-7281438-7,E-Commerce,Owner,51.0,55698231.0,
BIZ-000009,Ahmed Agriculture Enterprises,Tanveer Yousafzai,38115-3203338-9,Agriculture,Owner,33.0,3277717.0,
BIZ-000010,Shah Retail Enterprises,Rafiq Baig,48066-1915057-7,Retail,Director,20.0,21436250.0,Nawabshah
BIZ-000011,Hussain Financial Services Pvt Ltd,Pervaiz Khattak,34122-6936401-5,Financial Services,Director,20.0,380120210.0,Faisalabad
BIZ-000012,Awan Transport Enterprises,Lubna Baloch,51713-2287856-2,Transport,Owner,,3517853.0,Hub
BIZ-000013,Bugti Manufacturing Enterprises,Tahira Cheema,37956-0408396-4,Manufacturing,Owner,51.0,99439726.0,Lahore
BIZ-000014,Junejo Wholesale Enterprises,Salman Khan,36446-7738669-7,Wholesale,Director,5.0,24336448.0,Sialkot
BIZ-000015,Jamali Pharmaceutical Enterprises,Aneela Raza,30055-2681664-6,Pharmaceutical,Owner,51.0,30129519.0,Sargodha
BIZ-000016,Chandio Real Estate Enterprises,Aneela Raza,30055-2681664-6,Real Estate,Director,20.0,99100515.0,Sargodha
BIZ-000017,Shah Healthcare Enterprises,Nasreen Hussain,33736-1742844-6,Healthcare,Owner,,106820276.0,Sahiwal
BIZ-000018,Mughal Import/Export Enterprises,Iram Mengal,38116-7617066-6,Import/Export,Partner,33.0,93766121.0,Rawalpindi
BIZ-000019,Durrani Education Pvt Ltd,Rasheid Yousafzai,38571-5129950-7,Education,Owner,33.0,288100720.0,Sialkot
BIZ-000020,Butt Import/Export Enterprises,,33604-8563212-5,Import/Export,Director,20.0,22268848.0,Gujrat
BIZ-000021,Malik Pharmaceutical Enterprises,Khaleed Awan,33604-8563212-5,Pharmaceutical,Owner,50.0,72759188.0,Gujrat
BIZ-000022,Warraich Automotive Pvt Ltd,Qudsia Sethi,34270-3497387-2,Automotive,Director,10.0,4138693.0,Sialkot
BIZ-000023,Awan IT Services Enterprises,Fatima Virk,33464-7530791-4,IT Services,Owner,50.0,4812384.0,Jhelum
BIZ-000024,Chandio Real Estate Enterprises,Fatima Virk,33464-7530791-4,Real Estate,Owner,51.0,17705915.0,
BIZ-000025,Jamali Textile Enterprises,Saima Ali,32716-4406744-4,Textile,Owner,51.0,65744218.0,Gujranwala
BIZ-000026,Shah Import/Export Enterprises,Saima Ali,32716-4406744-4,Import/Export,Director,50.0,,Gujranwala
BIZ-000027,Ali Transport Enterprises,Bushra Virk,30241-7854065-0,Transport,Partner,51.0,12037149.0,Rawalpindi
BIZ-000028,Mirza Education Enterprises,Salman Sheikh,32314-3340863-1,Education,Owner,100.0,74887008.0,Sheikhupura
BIZ-000029,Sheikh E-Commerce Enterprises,Salman Sheikh,32314-3340863-1,E-Commerce,Owner,75.0,57670138.0,Sheikhupura
BIZ-000030,Niazi Restaurant Enterprises,Naila Shaikh,30931-4577870-6,Restaurant,Director,5.0,8306526.0,Rawalpindi
BIZ-000031,Ahmed Manufacturing Enterprises,Jaweria Sethi,47981-5782276-0,Manufacturing,Owner,33.0,446720627.0,Larkana
BIZ-000032,Hashmi Healthcare Enterprises,Aisha Mughal,33698-8084890-0,Healthcare,Owner,51.0,40704842.0,Gujranwala
BIZ-000033,Brohi Automotive Enterprises,Aneela Virk,10693-6897624-8,Automotive,Director,10.0,48676207.0,Mingora
BIZ-000034,Niazi Import/Export Enterprises,Wardah Malik,13491-5341721-6,Import/Export,Owner,100.0,14840130.0,Mingora
BIZ-000035,Sethi Financial Services Enterprises,Wardah Malik,13491-5341721-6,Financial Services,Owner,25.0,18492473.0,Mingora
BIZ-000036,Mengal Real Estate Enterprises,Wardah Malik,13491-5341721-6,Real Estate,Owner,100.0,6967277.0,Mingora
BIZ-000037,Sethi Manufacturing Enterprises,Zafar Siddiqui,49752-4988389-7,Manufacturing,Owner,25.0,39006068.0,Sukkur
BIZ-000038,Jamali Automotive Enterprises,Zafar Siddiqui,49752-4988389-7,Automotive,Owner,51.0,40513687.0,Sukkur
BIZ-000039,Awan Healthcare Enterprises,Mushtaq Warraich,45208-5943319-3,Healthcare,Director,20.0,96183444.0,Khairpur
BIZ-000040,Sethi Agriculture Enterprises,Mushtaq Warraich,45208-5943319-3,Agriculture,Owner,100.0,13080872.0,Khairpur
BIZ-000041,Chandio Transport Enterprises,Rafiq Malik,50421-3740415-3,Transport,Partner,75.0,3141195.0,Zhob
