record_id,owner_name,cnic,phone_number,operator,registration_date
MOB-000001,Farhan Hashmi,39513-4620829-5,0339-2145469,Ufone,2024-02-14
MOB-000002,Mansur Mengal,,0344-9565461,Telenor,2023-05-14
MOB-000003,Durr-e-Shahwar Brohi,61097-9919556-4,0308-3488313,Jazz,2025-07-29
MOB-000004,Emran Aslam,44840-0652920-9,0342-0071754,Telenor,2023-07-31
MOB-000005,Imran Aslam,44840-0652920-9,0344-0831637,Telenor,2020-12-26
MOB-000006,Aisha Virk,63743-0334528-6,0301-6116942,Jazz,2021-04-06
MOB-000007,Aisha Virk,63743-0334528-6,0309-8449407,Jazz,
MOB-000008,Aisha Virk,63743-0334528-6,0340-4350191,Telenor,2019-03-12
MOB-000009,Zainab Chaudhry,63953-9530621-6,0319-3214741,Zong,2018-11-12
MOB-000010,Zainab Chaudhry,63953-9530621-6,0318-9644936,Zong,2019-05-17
MOB-000011,Samina Khan,,0344-8898996,Telenor,2021-12-29
MOB-000012,Naila Gondal,43702-5146303-4,0346-4644540,Telenor,2019-12-18
MOB-000013,Naveed Brohi,38863-6605805-5,0301-5776882,Jazz,2019-10-27
MOB-000014,Naveed Brohi,38863-6605805-5,0338-9825247,Ufone,2024-03-01
MOB-000015,Danish Khattak,39110-3614959-3,0316-8515802,Zong,2020-11-12
MOB-000016,Danish Khattak,39110-3614959-3,0336-9866036,Ufone,2023-08-24
MOB-000017,Ali Kayani,40175-0120677-9,0342-8771928,Telenor,2024-01-26
MOB-000018,Jaweria Rajput,38765-0875791-8,0300-9890555,Jazz,2024-04-30
MOB-000019,Riffat Laghari,34734-5432704-6,0302-0847037,Jazz,2024-05-26
MOB-000020,Nasreen Qureshi,68893-0663561-6,0343-6267347,Telenor,2023-07-05
MOB-000021,Atif Niazi,55918-7275276-7,0311-5128791,Zong,2023-04-26
MOB-000022,Atif Niazi,55918-7275276-7,0337-5413516,Ufone,2025-02-22
MOB-000023,Noman Sheikh,74290-7840163-5,0303-4774707,Jazz,2023-03-25
MOB-000024,Noman Sheikh,74290-7840163-5,0346-3626036,Telenor,2019-12-16
MOB-000025,Saima Virk,44238-5904933-6,0312-5470302,Zong,2022-04-27
MOB-000026,Saima Virk,44238-5904933-6,0305-3771760,Jazz,2024-10-27
MOB-000027,Saima Virk,44238-5904933-6,0317-4263555,Zong,2023-05-16
MOB-000028,Waseem Butt,47416-6654853-7,0308-1916098,Jazz,2021-07-06
MOB-000029,Waseem Butt,47416-6654853-7,0302-0505331,Jazz,2026-05-16
MOB-000030,Waseem Butt,47416-6654853-7,0305-8770397,Jazz,2018-10-02
MOB-000031,Nighat Afridi,19402-2306811-8,0331-8042949,Ufone,2019-03-29
MOB-000032,Nighat Afridi,19402-2306811-8,0334-1536189,Ufone,2024-12-25
MOB-000033,Sajid Tahir,35304-6248612-7,0333-9859229,Ufone,2020-12-28
MOB-000034,Sajid Tahir,35304-6248612-7,0313-8460266,Zong,2021-03-11
MOB-000035,Pervaiz Malik,39427-0803084-3,0338-9666741,Ufone,2021-08-01
MOB-000036,Alee Junejo,32974-9567456-9,0342-6887769,Telenor,2026-01-30
MOB-000037,Qudsia Shah,42486-2641128-6,0306-5322748,Jazz,2021-09-02
MOB-000038,Waseem Malik,43209-8683882-9,0332-2393341,Ufone,2025-06-04
MOB-000039,Waseem Malik,43209-8683882-9,0344-7753163,Telenor,2019-01-09
MOB-000040,Jaweria Minhas,32411-9425439-4,0301-2546859,Jazz,2024-11-24
MOB-000041,Jaweria Minhas,32411-9425439-4,0332-4336458,Ufone,2022-01-30
MOB-000042,Atif Randhawa,38096-8696725-5,0303-2103789,Jazz,2025-08-15
MOB-000043,Junaid Khan,49939-7281438-7,0305-9739502,Jazz,2023-02-17
MOB-000044,Iram Iqbal,16536-8740066-2,0345-8213571,Telenor,2018-12-31
MOB-000045,Tanveer Yousafzai,38115-3203338-9,0343-6061320,Telenor,2020-12-08
MOB-000046,Rafiq Baig,48066-1915057-7,0306-4375283,Jazz,2022-06-14
MOB-000047,Pervaiz Khattak,34122-6936401-5,0339-9212874,Ufone,2019-08-05
MOB-000048,Sana Soomro,,0332-5875148,Ufone,2019-06-27
MOB-000049,Mansur Laghari,69813-5110188-5,0348-5397629,Telenor,2024-05-10
MOB-000050,Mansur Laghari,69813-5110188-5,0308-2861314,Jazz,2025-10-04
MOB-000051,Mansoor Laghari,69813-5110188-5,0318-7041267,Zong,2020-10-12
MOB-000052,Bano Afridi,43971-8670120-4,0342-1967713,Telenor,2021-03-31
MOB-000053,Lubna Baloch,51713-2287856-2,0345-4242647,Telenor,2022-12-06
MOB-000054,Khaleed Warraich,48066-3598108-7,0331-4088479,Ufone,2021-12-19
MOB-000055,Ghulam Cheema,53009-3319808-3,0345-2124433,Telenor,2022-11-29
MOB-000056,Ghulam Cheema,53009-3319808-3,0307-9230160,Jazz,2020-03-25
MOB-000057,Ghulam Cheema,,0307-1306555,Jazz,2024-05-13
MOB-000058,Zubaida Minhas,69630-3143260-6,0345-8112244,Telenor,2020-03-23
MOB-000059,Tahira Cheema,37956-0408396-4,0335-6801002,Ufone,2023-08-27
MOB-000060,Tahira Cheema,37956-0408396-4,0308-4210892,Jazz,2018-12-10
MOB-000061,Lubna Chandio,47074-7804737-6,0316-6782829,Zong,2019-05-18
MOB-000062,Lubna Chandio,47074-7804737-6,0333-8688693,Ufone,2023-04-23
MOB-000063,Salman Khan,36446-7738669-7,0301-3941403,Jazz,2024-08-27
MOB-000064,Salman Khan,36446-7738669-7,0346-1058118,Telenor,2023-10-19
MOB-000065,Kamran Jamali,31419-7440422-7,0309-1982633,Jazz,2022-12-12
MOB-000066,Aneela Raza,30055-2681664-6,0311-1853400,Zong,2019-03-12
MOB-000067,Aneela Raza,30055-2681664-6,0306-3910318,Jazz,2022-07-24
