record_id,owner_name,cnic,address,area_name,city,province,property_type,size_marla,property_value
PROP-000001,Furhan Hashmi,39513-4620829-5,"180-DHA Phase 5, Lahore",DHA Phase 5,Lahore,Punjab,Agricultural Land,161.0,397730536.0
PROP-000002,Mansur Mengal,39703-4197298-3,"320-Sahiwal Area 2, Sahiwal",Sahiwal Area 2,Sahiwal,Punjab,Agricultural Land,1391.0,209146587.0
PROP-000003,Durr-e-Shahwar Brohi,61097-9919556-4,"328-F-8, Islamabad",F-8,Islamabad,Islamabad,Commercial,,46269924.0
PROP-000004,Emran Aslam,44840-0652920-9,"167-Jacobabad Area 4, Jacobabad",Jacobabad Area 4,Jacobabad,Sindh,House,14.0,24776906.0
PROP-000005,Imron Aslam,44840-0652920-9,"264-Jacobabad Area 3, Jacobabad",,Jacobabad,Sindh,Agricultural Land,773.0,155617268.0
PROP-000006,Emran Aslam,44840-0652920-9,"235-Jacobabad Area 2, Jacobabad",,Jacobabad,Sindh,Commercial,10.0,14468240.0
PROP-000007,Emran Aslam,44840-0652920-9,"495-Jacobabad Area 1, Jacobabad",Jacobabad Area 1,Jacobabad,Sindh,Flat,4.0,5415796.0
PROP-000008,Aisha Virk,63743-0334528-6,"247-I-8, Islamabad",I-8,Islamabad,Islamabad,Plot,20.0,201698520.0
PROP-000009,Aisha Virk,63743-0334528-6,"25-E-11, Islamabad",E-11,Islamabad,Islamabad,Plot,14.0,257092220.0
PROP-000010,Naila Gondal,43702-5146303-4,"425-Nawabshah Area 3, Nawabshah",Nawabshah Area 3,Nawabshah,Sindh,Flat,9.0,6910650.0
PROP-000011,Naveed Brohi,38863-6605805-5,"122-Madina Town, Faisalabad",Madina Town,Faisalabad,Punjab,Commercial,10.0,21216050.0
PROP-000012,Naveed Brohi,38863-6605805-5,"214-D Ground, Faisalabad",D Ground,Faisalabad,Punjab,Commercial,3.0,4647825.0
PROP-000013,Danish Khattak,39110-3614959-3,,D Ground,Faisalabad,Punjab,Flat,9.0,73315741.0
PROP-000014,Danish Khattak,39110-3614959-3,"397-Madina Town, Faisalabad",Madina Town,Faisalabad,Punjab,Commercial,7.0,52426938.0
PROP-000015,Riffat Laghari,34734-5432704-6,"113-Jhelum Area 5, Jhelum",Jhelum Area 5,Jhelum,Punjab,Agricultural Land,1133.0,299445102.0
PROP-000016,Riffat Laghari,34734-5432704-6,"414-Jhelum Area 3, Jhelum",Jhelum Area 3,Jhelum,Punjab,House,10.0,15145500.0
PROP-000017,Nasreen Qureshi,68893-0663561-6,"456-Bahria Town Phase 7, Islamabad",Bahria Town Phase 7,Islamabad,Islamabad,Flat,5.0,82208085.0
PROP-000018,Noman Sheikh,74290-7840163-5,"228-Mirpur Area 2, Mirpur",Mirpur Area 2,Mirpur,AJK,House,5.0,7534155.0
PROP-000019,Saima Virk,44238-5904933-6,"61-Jacobabad Area 3, Jacobabad",Jacobabad Area 3,Jacobabad,Sindh,Agricultural Land,1877.0,672698030.0
PROP-000020,Waseem Butt,47416-6654853-7,"98-Jacobabad Area 4, Jacobabad",Jacobabad Area 4,Jacobabad,Sindh,Flat,8.0,2808056.0
PROP-000021,Waseem Butt,47416-6654853-7,"480-Jacobabad Area 4, Jacobabad",Jacobabad Area 4,Jacobabad,Sindh,Agricultural Land,159.0,62370453.0
PROP-000022,Waseem Butt,47416-6654853-7,"199-Jacobabad Area 5, Jacobabad",Jacobabad Area 5,Jacobabad,Sindh,Flat,,3386868.0
PROP-000023,Nighat Afridi,19402-2306811-8,"54-Abbottabad Area 1, Abbottabad",Abbottabad Area 1,Abbottabad,KPK,Commercial,3.0,
PROP-000024,Nighat Afridi,19402-2306811-8,,Abbottabad Area 2,Abbottabad,KPK,Flat,9.0,52121628.0
PROP-000025,Nighat Afridi,19402-2306811-8,"439-Abbottabad Area 1, Abbottabad",,Abbottabad,KPK,Agricultural Land,1561.0,380248673.0
PROP-000026,Alee Junejo,32974-9567456-9,,Sheikhupura Area 5,Sheikhupura,Punjab,Commercial,14.0,21197232.0
PROP-000027,Qudsia Shah,42486-2641128-6,"54-Jacobabad Area 3, Jacobabad",,Jacobabad,Sindh,House,10.0,7972340.0
PROP-000028,Atif Randhawa,38096-8696725-5,"54-Sahiwal Area 3, Sahiwal",,Sahiwal,Punjab,Commercial,14.0,8596448.0
PROP-000029,Atif Randhawa,38096-8696725-5,"421-Sahiwal Area 3, Sahiwal",,Sahiwal,Punjab,Flat,5.0,9817945.0
PROP-000030,Junaid Khan,49939-7281438-7,"349-Larkana Area 5, Larkana",Larkana Area 5,Larkana,Sindh,Commercial,14.0,15330266.0
PROP-000031,Iram Iqbal,16536-8740066-2,"445-Kohat Area 2, Kohat",Kohat Area 2,Kohat,KPK,Flat,8.0,28605688.0
PROP-000032,Iram Iqbal,16536-8740066-2,"332-Kohat Area 2, Kohat",,Kohat,KPK,Flat,10.0,8210180.0
PROP-000033,Tanveer Yousafzai,38115-3203338-9,"130-Township, Lahore",Township,Lahore,Punjab,Plot,5.0,50825750.0
PROP-000034,Rafiq Baig,48066-1915057-7,,Nawabshah Area 3,Nawabshah,Sindh,Plot,7.0,12796476.0
PROP-000035,Rafiq Baig,48066-1915057-7,"347-Nawabshah Area 2, Nawabshah",Nawabshah Area 2,Nawabshah,Sindh,Agricultural Land,1207.0,433764418.0
PROP-000036,Rafiq Baig,48066-1915057-7,"345-Nawabshah Area 1, Nawabshah",Nawabshah Area 1,Nawabshah,Sindh,Plot,14.0,13323520.0
PROP-000037,Pervaiz Khattak,34122-6936401-5,"269-Ghulam Muhammad Abad, Faisalabad",Ghulam Muhammad Abad,Faisalabad,Punjab,Plot,14.0,9427292.0
PROP-000038,Pervaiz Khattak,34122-6936401-5,"161-Peoples Colony, Faisalabad",Peoples Colony,Faisalabad,Punjab,Plot,20.0,44277760.0
PROP-000039,Munsoor Laghari,69813-5110188-5,"38-F-8, Islamabad",F-8,Islamabad,Islamabad,Agricultural Land,518.0,439196142.0
PROP-000040,Mansoor Laghari,69813-5110188-5,"193-G-10, Islamabad",G-10,Islamabad,Islamabad,Plot,5.0,69447190.0
PROP-000041,Mansur Laghari,69813-5110188-5,,F-7,Islamabad,Islamabad,Agricultural Land,707.0,2488145807.0
PROP-000042,Lubna Baloch,51713-2287856-2,"407-Hub Area 1, Hub",Hub Area 1,Hub,Balochistan,Flat,8.0,3718144.0
PROP-000043,Khaleed Warraich,48066-3598108-7,"341-Sukkur Area 1, Sukkur",Sukkur Area 1,Sukkur,Sindh,Agricultural Land,1713.0,458528988.0
PROP-000044,Khalid Warraich,48066-3598108-7,"331-Sukkur Area 2, Sukkur",Sukkur Area 2,Sukkur,Sindh,Flat,10.0,19460380.0
PROP-000045,Khalid Warraich,,"140-Sukkur Area 5, Sukkur",Sukkur Area 5,Sukkur,Sindh,Plot,20.0,62584800.0
PROP-000046,Ghulam Cheema,53009-3319808-3,"8-Sibi Area 4, Sibi",Sibi Area 4,Sibi,Balochistan,Plot,7.0,8272691.0
PROP-000047,Zubaida Minhas,69630-3143260-6,"245-Bahria Town Phase 7, Islamabad",Bahria Town Phase 7,Islamabad,Islamabad,House,5.0,51753150.0
PROP-000048,Tahira Cheema,37956-0408396-4,"109-Gulberg III, Lahore",Gulberg III,Lahore,Punjab,Agricultural Land,204.0,343313844.0
PROP-000049,,,,Garden Town,Lahore,Punjab,Commercial,3.0,26828796.0
PROP-000050,Lubna Chandio,47074-7804737-6,"402-Nawabshah Area 1, Nawabshah",Nawabshah Area 1,Nawabshah,Sindh,House,5.0,8538765.0
PROP-000051,Lubna Chandio,47074-7804737-6,"441-Nawabshah Area 2, Nawabshah",Nawabshah Area 2,Nawabshah,Sindh,Plot,5.0,2344365.0
PROP-000052,Salman Khan,36446-7738669-7,"356-Sialkot Area 3, Sialkot",Sialkot Area 3,Sialkot,Punjab,Plot,5.0,4898675.0
PROP-000053,Kamran Jamali,31419-7440422-7,"218-Jinnah Colony, Faisalabad",Jinnah Colony,Faisalabad,Punjab,Commercial,5.0,4717860.0
PROP-000054,,30055-2681664-6,"426-Sargodha Area 2, Sargodha",Sargodha Area 2,Sargodha,Punjab,Agricultural Land,1055.0,81380590.0
PROP-000055,Nighat Warraich,47778-6276116-0,"250-Larkana Area 3, Larkana",Larkana Area 3,Larkana,Sindh,Plot,10.0,71024018.0
PROP-000056,Nighat Warraich,47778-6276116-0,"461-Larkana Area 3, Larkana",Larkana Area 3,Larkana,Sindh,Commercial,3.0,28001693.0
PROP-000057,Yasir Sheikh,12549-7775888-9,"282-Kohat Area 4, Kohat",Kohat Area 4,Kohat,KPK,Commercial,,5893575.0
PROP-000058,Shaheed Gill,18912-4570631-3,"140-Nowshera Area 4, Nowshera",Nowshera Area 4,Nowshera,KPK,Agricultural Land,1030.0,294939470.0
PROP-000059,Shaheed Gill,18912-4570631-3,"470-Nowshera Area 5, Nowshera",Nowshera Area 5,Nowshera,KPK,Flat,8.0,13571888.0
PROP-000060,Nasreen Hussain,33736-1742844-6,"378-Sahiwal Area 4, Sahiwal",Sahiwal Area 4,Sahiwal,Punjab,House,20.0,46698165.0
PROP-000061,Nasreen Hussain,33736-1742844-6,"47-Sahiwal Area 5, Sahiwal",Sahiwal Area 5,Sahiwal,Punjab,Plot,10.0,14277630.0
PROP-000062,Nasreen Hussain,33736-1742844-6,"258-Sahiwal Area 4, Sahiwal",Sahiwal Area 4,Sahiwal,Punjab,Agricultural Land,1530.0,489473010.0
PROP-000063,Nasreen Hussain,33736-1742844-6,"364-Sahiwal Area 5, Sahiwal",Sahiwal Area 5,Sahiwal,Punjab,Commercial,7.0,60550757.0
PROP-000064,Nasreen Hussain,33736-1742844-6,"481-Sahiwal Area 1, Sahiwal",Sahiwal Area 1,Sahiwal,Punjab,Agricultural Land,137.0,43041759.0
PROP-000065,Rizwan Gill,37894-8787338-9,"351-Multan Area 1, Multan",Multan Area 1,Multan,Punjab,House,14.0,15337798.0
PROP-000066,Lubna Jamali,48053-7855253-4,"339-Shikarpur Area 4, Shikarpur",Shikarpur Area 4,Shikarpur,Sindh,House,14.0,24732414.0
PROP-000067,Lubna Jamali,48053-7855253-4,"66-Shikarpur Area 2, Shikarpur",Shikarpur Area 2,Shikarpur,Sindh,Plot,20.0,9827320.0
PROP-000068,Lubna Jamali,48053-7855253-4,"206-Shikarpur Area 4, Shikarpur",Shikarpur Area 4,Shikarpur,Sindh,Plot,20.0,12297380.0
PROP-000069,,37945-0327579-8,"471-Bahria Town, Lahore",Bahria Town,Lahore,Punjab,Commercial,7.0,102998245.0
PROP-000070,Atif Iqbal,37800-8443555-7,"100-Sialkot Area 5, Sialkot",Sialkot Area 5,Sialkot,Punjab,Agricultural Land,392.0,135697464.0
PROP-000071,Qudsia Chaudhry,71717-8124793-0,"325-Chilas Area 2, Chilas",Chilas Area 2,Chilas,GB,House,5.0,8359190.0
PROP-000072,Qudsia Chaudhry,71717-8124793-0,"363-Chilas Area 2, Chilas",Chilas Area 2,Chilas,GB,Flat,12.0,17084472.0
PROP-000073,Waqas Aslam,43471-5088284-1,"427-Gulshan-e-Iqbal, Karachi",Gulshan-e-Iqbal,Karachi,Sindh,Plot,5.0,19928760.0
PROP-000074,Iram Mengal,38116-7617066-6,"62-Chaklala Cantt, Rawalpindi",Chaklala Cantt,Rawalpindi,Punjab,House,5.0,22707170.0
PROP-000075,Iram Mengal,38116-7617066-6,"274-DHA Phase 2, Rawalpindi",DHA Phase 2,Rawalpindi,Punjab,Flat,6.0,69938574.0
PROP-000076,Iram Mengal,38116-7617066-6,"105-Saddar, Rawalpindi",Saddar,Rawalpindi,Punjab,Commercial,14.0,64647879.0
PROP-000077,Iram Mengal,38116-7617066-6,"270-Committee Chowk, Rawalpindi",Committee Chowk,Rawalpindi,Punjab,Plot,14.0,90408234.0
