citizen_id,cnic,name,father_name,ntn,declared_income,tax_paid,filing_status,tax_year,province,city
CIT-000001,39513-4620829-5,Farhan Hashmi,Ali Khattak,6356843,2398671.0,111959.0,Filer,2021,Punjab,Lahore
CIT-000001,39513-4620829-5,Farhan Hashmi,Ali Khattak,6356843,2083428.0,131879.0,Filer,2022,Punjab,Lahore
CIT-000001,39513-4620829-5,Farhan Hashmi,,6356843,1850222.0,114775.0,Filer,2024,Punjab,Lahore
CIT-000002,39703-4197298-3,Mansoor Mengal,Iqbal Mughal,9543276,508655.0,0.0,Filer,2020,Punjab,Sahiwal
CIT-000002,39703-4197298-3,Mansoor Mengal,Iqbal Mughal,,549942.0,0.0,Filer,2024,Punjab,Sahiwal
CIT-000003,61097-9919556-4,Durr-e-Shahwar Brohi,Adnan Aslam,9951594,1933467.0,122438.0,Filer,2022,Islamabad,
CIT-000003,61097-9919556-4,Ch Durr-e-Shahwar Brohi,Adnan Aslam,9951594,2476744.0,121695.0,Filer,2023,Islamabad,Islamabad
CIT-000004,44840-0652920-9,Imran Aslam,Tariq Ahmed,,,182750.0,Non-Filer,2024,Sindh,Jacobabad
CIT-000005,63743-0334528-6,Aisha Virk,Hamza Mughal,,5807211.0,31626.0,Non-Filer,2021,Islamabad,Islamabad
CIT-000006,63953-9530621-6,Zenab Chaudhry,Kamran Bhatti,,1502019.0,83981.0,Filer,2022,Islamabad,Islamabad
CIT-000006,63953-9530621-6,Zeynab Chaudhry,Kamran Bhatti,1135088,1721257.0,83068.0,Filer,2023,Islamabad,Islamabad
CIT-000006,63953-9530621-6,Zainab Chaudhry,Kamran Bhatti,1135088,1762373.0,74228.0,Filer,2024,Islamabad,Islamabad
CIT-000007,32984-6844621-4,Samina Khan,Usman Chaudhry,,9986152.0,20651.0,Non-Filer,2020,Punjab,Sialkot
CIT-000007,32984-6844621-4,Mian Samina Khan,Usman Chaudhry,,9512500.0,19415.0,Non-Filer,2021,Punjab,Sialkot
CIT-000007,32984-6844621-4,Samina Khan,Usman Chaudhry,,9617559.0,18935.0,Non-Filer,2022,Punjab,
CIT-000008,43702-5146303-4,Naila Gondal,Sajid Sheikh,,547436.0,24.0,Non-Filer,2021,Sindh,
CIT-000008,43702-5146303-4,Malik Naila Gondal,Sajid Sheikh,,591583.0,23.0,Non-Filer,2024,Sindh,Nawabshah
CIT-000009,38863-6605805-5,Naveed Brohi,Arif Tahir,,5214085.0,41598.0,Non-Filer,2021,Punjab,Faisalabad
CIT-000009,38863-6605805-5,Naveed Brohi,Arif Tahir,,5725589.0,37502.0,Non-Filer,2023,Punjab,Faisalabad
CIT-000009,38863-6605805-5,Naveed Brohi,,,4632228.0,40412.0,Non-Filer,2024,Punjab,Faisalabad
CIT-000010,39110-3614959-3,Danish Khattak,Tariq Baloch,2812110,1971300.0,91190.0,Filer,2024,Punjab,Faisalabad
CIT-000011,40175-0120677-9,Allee Kayani,Talha Afridi,,434534.0,0.0,Non-Filer,2022,Sindh,Jacobabad
CIT-000012,38765-0875791-8,Pir Jaweria Rajput,Zahid Awan,9984616,406550.0,0.0,Filer,2020,Punjab,Lahore
CIT-000012,38765-0875791-8,Jaweria Rajput,Zahid Awan,9984616,370148.0,0.0,Filer,2022,Punjab,Lahore
CIT-000012,38765-0875791-8,Jaweria Rajput,Zahid Awan,9984616,380511.0,0.0,Filer,2023,Punjab,Lahore
CIT-000013,34734-5432704-6,Haji Riffat Laghari,Ghulam Raza,,467516.0,0.0,Non-Filer,2023,Punjab,Jhelum
CIT-000014,68893-0663561-6,Nasreen Qureshi,Shoaib Shah,,1092736.0,570.0,Non-Filer,2020,Islamabad,Islamabad
CIT-000014,68893-0663561-6,Nasreen Qureshi,,,870900.0,534.0,Non-Filer,2023,Islamabad,Islamabad
CIT-000015,55918-7275276-7,Atif Niazi,Ehsan Qureshi,,1079610.0,859.0,Non-Filer,2020,Balochistan,Zhob
CIT-000015,55918-7275276-7,Atif Niazi,Ehsan Qureshi,,984327.0,826.0,Non-Filer,2024,Balochistan,Zhob
CIT-000016,74290-7840163-5,Noman Sheikh,Shahid Baig,,1439867.0,492.0,Non-Filer,2020,AJK,
CIT-000016,74290-7840163-5,Noman Sheikh,Shahid Baig,,1711641.0,462.0,Non-Filer,2022,AJK,
CIT-000016,74290-7840163-5,Mr Noman Sheikh,Shahid Baig,,1540643.0,492.0,Non-Filer,2024,AJK,Mirpur
CIT-000017,44238-5904933-6,Saima Virk,Qasim Bugti,,1302692.0,98.0,Non-Filer,2020,Sindh,Jacobabad
