record_id,traveler_name,cnic,passport_number,destination,airline,travel_class,departure_date,return_date
TRVL-000001,Farhan Hashmi,39513-4620829-5,BL3007945,Malaysia,Malaysia Airlines,Economy,2026-03-02,2026-03-12
TRVL-000002,Imron Aslam,44840-0652920-9,HP3949777,UK,Saudi Airlines,Economy,2023-12-02,2023-12-24
TRVL-000003,Imron Aslam,44840-0652920-9,HP3949777,Malaysia,British Airways,Economy,2023-07-21,2023-08-05
TRVL-000004,Aisha Virk,63743-0334528-6,MB2190894,Saudi Arabia,Emirates,Economy,2024-08-13,2024-08-30
TRVL-000005,Aisha Virk,63743-0334528-6,MB2190894,Turkey,Gulf Air,Economy,2024-06-27,2024-07-24
TRVL-000006,Zenab Chaudhry,63953-9530621-6,SU9519315,Malaysia,Oman Air,Economy,2024-05-24,2024-05-30
TRVL-000007,Zenab Chaudhry,63953-9530621-6,SU9519315,Saudi Arabia,Etihad,Business,2024-01-15,2024-02-11
TRVL-000008,Samina Khan,32984-6844621-4,NL1848190,Malaysia,Air Blue,Economy,2023-11-19,2023-12-12
TRVL-000009,Naveed Brohi,38863-6605805-5,UB5700927,UK,Air Blue,Business,2026-04-29,
TRVL-000010,Naveed Brohi,38863-6605805-5,UB5700927,Saudi Arabia,Etihad,Economy,2025-10-07,2025-10-14
TRVL-000011,Noman Sheikh,74290-7840163-5,NX1831889,Canada,Fly Jinnah,Business,2023-10-26,2023-11-01
TRVL-000012,Noman Sheikh,74290-7840163-5,NX1831889,Thailand,Fly Jinnah,Economy,2025-12-16,2026-01-04
TRVL-000013,Waseem Butt,47416-6654853-7,PL1578396,USA,Turkish Airlines,Economy,2025-03-29,2025-04-25
TRVL-000014,Waseem Butt,47416-6654853-7,PL1578396,Malaysia,Emirates,Economy,2023-08-01,2023-08-22
TRVL-000015,Nighat Afridi,19402-2306811-8,CI7147868,Canada,Turkish Airlines,Economy,2023-07-29,2023-08-04
TRVL-000016,Junaid Khan,49939-7281438-7,KW9701284,UAE,Saudi Airlines,Economy,2023-11-05,2023-11-21
TRVL-000017,Junaid Khan,49939-7281438-7,KW9701284,UAE,Malaysia Airlines,Economy,2024-05-17,
TRVL-000018,Junaid Khan,49939-7281438-7,KW9701284,Saudi Arabia,Thai Airways,Business,2024-06-08,2024-07-08
TRVL-000019,Junaid Khan,49939-7281438-7,KW9701284,Saudi Arabia,Oman Air,Business,2025-08-06,2025-08-25
TRVL-000020,Pervaiz Khattak,34122-6936401-5,IJ6540421,Saudi Arabia,Fly Jinnah,Economy,2026-01-03,2026-01-12
TRVL-000021,Mansoor Laghari,69813-5110188-5,DT6207185,UK,Gulf Air,Economy,2023-07-24,2023-08-01
TRVL-000022,Khaled Warraich,48066-3598108-7,IH3405214,UAE,Saudi Airlines,Business,2025-10-31,2025-11-14
TRVL-000023,Ghulam Cheema,53009-3319808-3,ZJ4473405,Saudi Arabia,PIA,Economy,2024-04-16,2024-04-22
TRVL-000024,Zubaida Minhas,69630-3143260-6,CT6682580,Thailand,Emirates,Economy,2026-03-18,2026-04-10
TRVL-000025,Zubaida Minhas,69630-3143260-6,CT6682580,UK,Turkish Airlines,Economy,2026-06-06,2026-06-19
TRVL-000026,Zubaida Minhas,69630-3143260-6,CT6682580,Qatar,Saudi Airlines,Economy,2025-10-06,2025-10-23
TRVL-000027,Nighat Warraich,47778-6276116-0,YU9739884,Malaysia,Fly Jinnah,Economy,2025-03-25,
TRVL-000028,Nighat Warraich,47778-6276116-0,YU9739884,USA,British Airways,Business,2024-05-20,2024-06-06
TRVL-000029,Nasreen Hussain,33736-1742844-6,AB7353256,UAE,Saudi Airlines,Economy,2025-05-10,2025-05-17
TRVL-000030,Waqas Aslam,43471-5088284-1,FF2233624,Saudi Arabia,Oman Air,Economy,2025-12-14,2025-12-24
TRVL-000031,Waqas Aslam,43471-5088284-1,FF2233624,Malaysia,Saudi Airlines,Economy,2024-08-18,2024-08-28
TRVL-000032,Riffat Khattak,38321-0112034-2,LN8646642,USA,Qatar Airways,Economy,2023-06-23,2023-07-11
TRVL-000033,,38321-0112034-2,,Saudi Arabia,Saudi Airlines,Economy,2024-02-16,2024-03-11
TRVL-000034,Rashid Yousafzai,38571-5129950-7,QJ3009381,UK,Air Blue,Business,2026-06-01,2026-06-06
TRVL-000035,Farzana Warraich,39828-2150068-8,OS4212656,Saudi Arabia,British Airways,First,2025-03-30,2025-04-25
TRVL-000036,Farzana Warraich,,OS4212656,Saudi Arabia,,Business,2024-11-22,
TRVL-000037,Farzana Warraich,39828-2150068-8,OS4212656,Malaysia,Etihad,Economy,2024-08-17,2024-09-10
TRVL-000038,,39828-2150068-8,OS4212656,Malaysia,Serene Air,Business,2024-02-09,2024-02-27
TRVL-000039,Iram Baloch,43919-6001564-6,IJ0488080,Saudi Arabia,Thai Airways,Economy,2024-05-12,2024-05-16
TRVL-000040,Nighat Jamali,19131-0776718-4,GJ2128391,Saudi Arabia,Turkish Airlines,Business,2024-11-16,2024-11-21
TRVL-000041,Nighat Jamali,19131-0776718-4,GJ2128391,UAE,Qatar Airways,Economy,2023-11-18,2023-11-27
TRVL-000042,Azhar Ahmed,38906-3719328-3,YW2645613,UK,Gulf Air,Business,2023-11-04,2023-11-28
TRVL-000043,Azhar Ahmed,38906-3719328-3,YW2645613,Malaysia,Serene Air,Economy,2025-01-23,2025-02-16
TRVL-000044,Azhar Ahmed,38906-3719328-3,YW2645613,UAE,Thai Airways,Economy,2023-11-10,2023-12-05
TRVL-000045,Tahira Junejo,37284-7726812-8,CY1262809,UAE,Thai Airways,Economy,2024-12-21,2025-01-05
TRVL-000046,Saima Ali,32716-4406744-4,MZ1156874,Saudi Arabia,Gulf Air,Economy,2024-11-28,2024-12-02
TRVL-000047,Salman Sheikh,32314-3340863-1,BM3091564,Malaysia,Etihad,Economy,2026-01-05,2026-01-10
TRVL-000048,,32314-3340863-1,BM3091564,Turkey,Qatar Airways,Business,2024-07-27,
TRVL-000049,Salman Sheikh,32314-3340863-1,BM3091564,UAE,Thai Airways,Economy,2023-08-19,
TRVL-000050,Salman Sheikh,32314-3340863-1,BM3091564,UAE,Etihad,Economy,2025-05-26,2025-06-12
TRVL-000051,Khaleed Memon,35160-4909911-9,GO5418709,UK,Serene Air,Economy,2025-09-23,
TRVL-000052,Khalid Memon,35160-4909911-9,GO5418709,UAE,Air Blue,Business,2023-12-23,2023-12-31
TRVL-000053,Khalid Memon,35160-4909911-9,GO5418709,Saudi Arabia,Fly Jinnah,Economy,2025-01-21,2025-02-01
TRVL-000054,Khalid Memon,35160-4909911-9,GO5418709,Malaysia,Thai Airways,Economy,2023-10-13,2023-11-11
TRVL-000055,Fahad Qureshi,54297-5466697-3,JT0104408,China,Fly Jinnah,Economy,2025-10-17,2025-11-03
TRVL-000056,,54297-5466697-3,JT0104408,Canada,Fly Jinnah,Business,2024-09-10,
TRVL-000057,Fahad Qureshi,54297-5466697-3,JT0104408,Thailand,Etihad,Economy,2026-02-13,2026-03-08
TRVL-000058,Fahad Qureshi,54297-5466697-3,JT0104408,UAE,Air Blue,Economy,2026-01-28,2026-02-13
