record_id,account_holder,cnic,utility_type,provider,monthly_amount,address,city
UTIL-000001,Furhan Hashmi,39513-4620829-5,electricity,LESCO,10783.0,"23-DHA Phase 5, Lahore",Lahore
UTIL-000002,Furhan Hashmi,39513-4620829-5,gas,SNGPL,,"23-DHA Phase 5, Lahore",Lahore
UTIL-000003,Mansur Mengal,39703-4197298-3,electricity,MEPCO,1342.0,"226-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000004,Mansur Mengal,39703-4197298-3,gas,SNGPL,,"226-Sahiwal Area, Sahiwal",Sahiwal
UTIL-000005,Durr-e-Shahwar Brohi,61097-9919556-4,electricity,IESCO,3660.0,"83-G-10, Islamabad",Islamabad
UTIL-000006,Durr-e-Shahwar Brohi,61097-9919556-4,gas,SNGPL,,"83-G-10, Islamabad",Islamabad
UTIL-000007,Aisha Virk,63743-0334528-6,electricity,IESCO,34836.0,"35-I-8, Islamabad",Islamabad
UTIL-000008,Zainab Chaudhry,63953-9530621-6,electricity,IESCO,8554.0,"73-G-10, Islamabad",Islamabad
UTIL-000009,Zainab Chaudhry,63953-9530621-6,gas,SNGPL,4122.0,"73-G-10, Islamabad",Islamabad
UTIL-000010,Naila Gondal,43702-5146303-4,electricity,SEPCO,3862.0,"238-Nawabshah Area, Nawabshah",Nawabshah
UTIL-000011,Naila Gondal,43702-5146303-4,gas,SSGC,755.0,"238-Nawabshah Area, Nawabshah",Nawabshah
UTIL-000012,Naveed Brohi,38863-6605805-5,electricity,MEPCO,10897.0,"445-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000013,Naveed Brohi,38863-6605805-5,gas,SNGPL,10282.0,"445-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000014,Danish Khattak,39110-3614959-3,electricity,FESCO,79448.0,"482-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000015,Danish Khattak,39110-3614959-3,gas,SNGPL,46856.0,"482-Ghulam Muhammad Abad, Faisalabad",Faisalabad
UTIL-000016,Alee Kayani,40175-0120677-9,electricity,SEPCO,3406.0,"408-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000017,Alee Kayani,40175-0120677-9,gas,SSGC,931.0,"408-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000018,Jaweria Rajput,38765-0875791-8,electricity,MEPCO,3197.0,,Lahore
UTIL-000019,Jaweria Rajput,38765-0875791-8,gas,SNGPL,2094.0,"322-Model Town, Lahore",Lahore
UTIL-000020,Riffat Laghari,34734-5432704-6,electricity,FESCO,606.0,"232-Jhelum Area, Jhelum",Jhelum
UTIL-000021,Riffat Laghari,34734-5432704-6,gas,SNGPL,1906.0,"232-Jhelum Area, Jhelum",Jhelum
UTIL-000022,Nasreen Qureshi,68893-0663561-6,electricity,IESCO,10568.0,"104-F-10, Islamabad",Islamabad
UTIL-000023,Nasreen Qureshi,68893-0663561-6,gas,SNGPL,3014.0,"104-F-10, Islamabad",Islamabad
UTIL-000024,Noman Sheikh,74290-7840163-5,electricity,IESCO,6884.0,"287-Mirpur Area, Mirpur",Mirpur
UTIL-000025,Noman Sheikh,74290-7840163-5,gas,SNGPL,5679.0,"287-Mirpur Area, Mirpur",Mirpur
UTIL-000026,Saima Virk,44238-5904933-6,electricity,SEPCO,8603.0,"245-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000027,Waseem Butt,47416-6654853-7,electricity,K-Electric,,"65-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000028,Waseem Butt,47416-6654853-7,gas,SSGC,,"65-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000029,Nighat Afridi,19402-2306811-8,electricity,PESCO,95251.0,"491-Abbottabad Area, Abbottabad",Abbottabad
UTIL-000030,Sajid Tahir,35304-6248612-7,electricity,FESCO,1783.0,"65-Multan Area, Multan",Multan
UTIL-000031,Sajid Tahir,35304-6248612-7,gas,SNGPL,315.0,"65-Multan Area, Multan",Multan
UTIL-000032,Pervaiz Malik,39427-0803084-3,electricity,FESCO,2066.0,"210-Jhelum Area, Jhelum",Jhelum
UTIL-000033,Pervaiz Malik,,gas,SNGPL,507.0,"210-Jhelum Area, Jhelum",Jhelum
UTIL-000034,Qudsia Shah,,electricity,SEPCO,14230.0,"62-Jacobabad Area, Jacobabad",Jacobabad
UTIL-000035,Waseem Malik,43209-8683882-9,electricity,SEPCO,3440.0,"230-Mirpur Khas Area, Mirpur Khas",Mirpur Khas
