record_id,owner_name,cnic,registration_number,vehicle_type,vehicle_make,vehicle_model,vehicle_year,market_value,province
VEH-000001,Farhan Hashmi,39513-4620829-5,LEB-7352,Car,Suzuki,Alto,2018.0,2023828.0,Punjab
VEH-000002,Manzoor Mengal,39703-4197298-3,MLT-7815,Motorcycle,Honda,CD-70,2021.0,127907.0,Punjab
VEH-000003,Imron Aslam,44840-0652920-9,AGR-8503,Car,Suzuki,Alto,2023.0,2611011.0,Sindh
VEH-000004,Imran Aslam,44840-0652920-9,KHI-6994,Car,Suzuki,Swift,2022.0,4094365.0,Sindh
VEH-000005,Imran Aslam,44840-0652920-9,AKD-7896,SUV,Toyota,Fortuner,2018.0,14526480.0,Sindh
VEH-000006,Zainab Chaudhry,63953-9530621-6,ISB-796,Car,Suzuki,Cultus,2025.0,3070347.0,Islamabad
VEH-000007,Samina Khan,32984-6844621-4,FSD-9608,Car,Suzuki,Alto,2018.0,2678018.0,Punjab
VEH-000008,Samina Khan,32984-6844621-4,LED-9019,SUV,Toyota,Fortuner,2018.0,16208658.0,Punjab
VEH-000009,Naila Gondal,43702-5146303-4,SKP-3042,SUV,KIA,Sportage,2024.0,11143588.0,Sindh
VEH-000010,Naveed Brohi,38863-6605805-5,SRG-9224,Car,KIA,Picanto,2021.0,4283429.0,Punjab
VEH-000011,Danish Khattak,39110-3614959-3,LEA-5050,Car,Audi,A4,2023.0,23334274.0,Punjab
VEH-000012,Danish Khattak,39110-3614959-3,MLT-2284,Car,Suzuki,Cultus,2019.0,2712715.0,Punjab
VEH-000013,Danish Khattak,39110-3614959-3,LEA-1217,Car,Toyota,Corolla,2022.0,5650134.0,Punjab
VEH-000014,,74290-7840163-5,MZF-8168,Car,Toyota,Corolla,2020.0,5116888.0,AJK
VEH-000015,Saima Virk,44238-5904933-6,MRP-4874,Car,Suzuki,Alto,2015.0,2121904.0,Sindh
VEH-000016,Saima Virk,44238-5904933-6,KHI-9713,Car,Toyota,Corolla,2019.0,5754093.0,Sindh
VEH-000017,Nighat Afridi,19402-2306811-8,B-5273,Car,Toyota,Yaris,2023.0,5043078.0,KPK
VEH-000018,Nighat Afridi,19402-2306811-8,PSH-566,Car,Toyota,Corolla,2018.0,6683275.0,KPK
VEH-000019,Nighat Afridi,19402-2306811-8,MRD-9611,SUV,Toyota,Land Cruiser,2025.0,42778873.0,KPK
VEH-000020,Qudsia Shah,42486-2641128-6,MRP-4119,Car,Toyota,Corolla,2019.0,7432501.0,Sindh
VEH-000021,Waseem Malik,43209-8683882-9,MRP-4646,Car,Suzuki,Alto,2015.0,2447933.0,Sindh
VEH-000022,Atif Randhawa,38096-8696725-5,SLK-2001,Car,Suzuki,WagonR,2020.0,2900488.0,Punjab
VEH-000023,Junaid Khan,49939-7281438-7,SKP-1815,Car,Honda,Civic,2024.0,8072475.0,Sindh
VEH-000024,Junaid Khan,49939-7281438-7,MRP-3225,Car,Toyota,Corolla,2021.0,,Sindh
VEH-000025,,49939-7281438-7,AGR-4085,SUV,KIA,Sportage,2019.0,8650255.0,Sindh
VEH-000026,Iram Iqbal,16536-8740066-2,PSH-3687,Car,Suzuki,Cultus,2022.0,3255491.0,KPK
VEH-000027,Iram Iqbal,16536-8740066-2,B-5353,SUV,Toyota,Fortuner,2024.0,13485948.0,KPK
VEH-000028,Rafiq Baig,48066-1915057-7,SKP-6345,Car,Suzuki,Alto,2016.0,2352678.0,Sindh
VEH-000029,Rafiq Baig,48066-1915057-7,HYD-5982,Car,Suzuki,Cultus,2020.0,2998232.0,Sindh
VEH-000030,Pervaiz Khattak,34122-6936401-5,LEB-4194,Car,Suzuki,WagonR,2023.0,3016406.0,Punjab
VEH-000031,Pervaiz Khattak,,LEA-6954,Car,Suzuki,Cultus,2015.0,2799579.0,Punjab
VEH-000032,Pervaiz Khattak,34122-6936401-5,LED-4402,Car,Suzuki,Alto,2015.0,1957787.0,Punjab
VEH-000033,Bano Afridi,43971-8670120-4,MRP-4084,Car,Suzuki,Alto,2024.0,2172563.0,Sindh
VEH-000034,Khaleed Warraich,48066-3598108-7,KHI-8896,Car,Suzuki,Alto,,2603339.0,Sindh
VEH-000035,Khalid Warraich,48066-3598108-7,KHI-6428,Car,Mercedes,C-Class,2017.0,28580133.0,Sindh
VEH-000036,Ghulam Cheema,53009-3319808-3,QB-803,Car,Mercedes,C-Class,2018.0,29731068.0,Balochistan
VEH-000037,Zubaida Minhas,69630-3143260-6,ISB-9151,Car,Honda,City,2017.0,5151551.0,Islamabad
VEH-000038,Tahira Cheema,37956-0408396-4,GRW-7395,SUV,KIA,Sportage,2016.0,8279991.0,Punjab
VEH-000039,Tahira Cheema,37956-0408396-4,GRW-5645,Car,Suzuki,Alto,2015.0,1875671.0,Punjab
VEH-000040,Tahira Cheema,37956-0408396-4,BWP-3128,Car,Suzuki,Cultus,2020.0,2985235.0,Punjab
VEH-000041,Lubna Chandio,47074-7804737-6,SKP-2708,Car,Hyundai,Elantra,2022.0,5184326.0,Sindh
VEH-000042,Salman Khan,36446-7738669-7,RIR-4450,Car,Suzuki,Alto,2021.0,2510900.0,Punjab
VEH-000043,Salman Khan,36446-7738669-7,MLT-3796,Car,Toyota,Corolla,2023.0,4454516.0,Punjab
VEH-000044,,30055-2681664-6,BWP-7965,Car,Hyundai,Elantra,2025.0,5260234.0,Punjab
VEH-000045,Aneela Raza,30055-2681664-6,LEA-3261,Car,Suzuki,Alto,2025.0,2472883.0,Punjab
VEH-000046,Nighat Warraich,47778-6276116-0,AGR-8169,Car,Suzuki,WagonR,2016.0,2967463.0,Sindh
VEH-000047,Nighat Warraich,47778-6276116-0,AKD-1017,Car,Mercedes,C-Class,2016.0,21842503.0,Sindh
VEH-000048,Nighat Warraich,47778-6276116-0,AKD-3668,Car,Hyundai,Elantra,2023.0,5498489.0,Sindh
VEH-000049,Yasir Sheikh,12549-7775888-9,MRD-6881,Car,Suzuki,Cultus,,2628285.0,KPK
VEH-000050,,33736-1742844-6,RIA-3787,Car,Toyota,Corolla,2022.0,6147586.0,Punjab
VEH-000051,Nasreen Hussain,33736-1742844-6,SRG-7325,Car,Toyota,Corolla,2024.0,6060435.0,Punjab
VEH-000052,Nasreen Hussain,33736-1742844-6,SRG-8692,SUV,Hyundai,Tucson,2022.0,9443805.0,Punjab
VEH-000053,Lubna Jamali,48053-7855253-4,AGR-8256,Car,Suzuki,Alto,2022.0,2667868.0,Sindh
VEH-000054,Lubna Jamali,48053-7855253-4,AGR-2052,Car,BMW,3 Series,2025.0,27974531.0,Sindh
VEH-000055,Atif Iqbal,37800-8443555-7,BWP-7582,Car,Toyota,Yaris,2021.0,4194804.0,Punjab
VEH-000056,Qudsia Chaudhry,71717-8124793-0,GBT-1914,Car,Toyota,Corolla,2016.0,7102933.0,GB
VEH-000057,Waqas Aslam,43471-5088284-1,MRP-9887,Car,Suzuki,Cultus,2020.0,2589794.0,Sindh
VEH-000058,Iram Mengal,38116-7617066-6,LED-3413,Car,Toyota,Yaris,2015.0,4617199.0,Punjab
VEH-000059,Rasheid Yousafzai,38571-5129950-7,MLT-7475,Car,KIA,Picanto,2018.0,3055224.0,Punjab
VEH-000060,Farzana Warraich,39828-2150068-8,FSD-8633,Car,Suzuki,Alto,2017.0,2340643.0,Punjab
VEH-000061,Farzana Warraich,39828-2150068-8,SLK-6032,Car,Honda,Civic,2017.0,8278567.0,Punjab
VEH-000062,Nighat Jamali,19131-0776718-4,PSH-7610,Car,Hyundai,Elantra,2016.0,6975312.0,KPK
VEH-000063,Nighat Jamali,19131-0776718-4,MRD-444,Car,Suzuki,Alto,2024.0,2481558.0,KPK
VEH-000064,Nighat Jamali,19131-0776718-4,PSH-4052,Car,Honda,Civic,2016.0,6292557.0,KPK
VEH-000065,Owais Awan,71766-1571988-5,MZF-5014,SUV,KIA,Sportage,2020.0,7758341.0,AJK
VEH-000066,Khaleed Awan,33604-8563212-5,SLK-8577,Car,Toyota,Yaris,,3839642.0,Punjab
VEH-000067,Nadeea Chandio,30003-8019436-0,BWP-2465,Car,Toyota,Corolla,,6834191.0,Punjab
VEH-000068,Naadia Chandio,30003-8019436-0,LEC-3504,Car,Honda,City,2016.0,5652446.0,Punjab
VEH-000069,Qudsia Sethi,34270-3497387-2,LEB-3107,Car,Hyundai,Elantra,2017.0,5169150.0,Punjab
VEH-000070,Hamza Laghari,68412-9736695-5,ICT-1702,Car,Toyota,Corolla,2017.0,4796345.0,Islamabad
VEH-000071,Hamza Laghari,68412-9736695-5,ICT-4734,Car,Suzuki,Alto,2025.0,1950630.0,Islamabad
VEH-000072,Hamza Laghari,68412-9736695-5,ICT-6521,Car,Hyundai,Elantra,2017.0,5492989.0,Islamabad
VEH-000073,Azhar Ahmed,38906-3719328-3,LED-4468,Car,Toyota,Yaris,2025.0,3810553.0,Punjab
VEH-000074,Azhar Ahmed,38906-3719328-3,RIR-3971,Car,Suzuki,Alto,2024.0,2274663.0,Punjab
VEH-000075,Azhar Ahmed,38906-3719328-3,SRG-6114,Car,Suzuki,Swift,2018.0,3913560.0,Punjab
VEH-000076,Noor Mengal,,LED-1456,SUV,Toyota,Fortuner,2021.0,16872849.0,Punjab
VEH-000077,,36138-7351754-6,LED-4216,Car,Honda,Civic,2022.0,6112853.0,Punjab
VEH-000078,Amir Hashmi,35679-0002133-5,RIA-2205,Car,Toyota,Corolla,2025.0,4561603.0,Punjab
VEH-000079,Amir Hashmi,,LEC-767,SUV,Hyundai,Tucson,2025.0,9135441.0,Punjab
VEH-000080,Parveen Sheikh,35409-8124746-4,FSD-8505,Car,Suzuki,Alto,2022.0,2573784.0,Punjab
VEH-000081,Parveen Sheikh,35409-8124746-4,MLT-1269,Car,Suzuki,Alto,2023.0,2310783.0,Punjab
VEH-000082,Tahira Junejo,37284-7726812-8,LED-7485,Car,Honda,Civic,2024.0,7182387.0,Punjab
VEH-000083,Khadijah Awan,38560-7994713-0,SRG-5909,Car,Suzuki,Swift,2023.0,4005056.0,Punjab
VEH-000084,Saima Ali,32716-4406744-4,SLK-9711,Car,Suzuki,WagonR,2025.0,2214427.0,Punjab
VEH-000085,Bushra Virk,30241-7854065-0,GRW-4538,Car,Honda,Civic,2023.0,7185160.0,Punjab
VEH-000086,Khalid Mirza,30493-1628781-3,LED-1588,Car,Hyundai,Elantra,,5107064.0,Punjab
VEH-000087,,30493-1628781-3,MLT-1118,Car,Suzuki,Swift,2017.0,3048349.0,Punjab
VEH-000088,Khalid Memon,35160-4909911-9,LEB-5781,Car,Suzuki,Cultus,2015.0,3498342.0,Punjab
VEH-000089,Munsoor Warraich,42698-0769359-9,MRP-3383,Car,Suzuki,WagonR,2018.0,2574154.0,Sindh
VEH-000090,Mansur Warraich,42698-0769359-9,HYD-4546,Car,Suzuki,Alto,2024.0,1895697.0,Sindh
VEH-000091,Jaweria Sethi,47981-5782276-0,AGR-381,Car,Suzuki,Alto,2021.0,2562621.0,Sindh
VEH-000092,Jaweria Sethi,47981-5782276-0,KHI-1800,Car,Suzuki,Alto,2024.0,2562987.0,Sindh
VEH-000093,Jaweria Sethi,47981-5782276-0,AKD-81,Car,Suzuki,WagonR,2023.0,2455763.0,Sindh
VEH-000094,Talha Warraich,31070-5905069-5,RIR-3119,Car,Suzuki,Cultus,2021.0,2896518.0,Punjab
VEH-000095,Aisha Mughal,33698-8084890-0,SLK-3559,Car,Toyota,Corolla,2019.0,6985504.0,Punjab
VEH-000096,Aneela Virk,10693-6897624-8,MRD-2631,Car,Honda,Civic,2018.0,7203895.0,KPK
VEH-000097,Aneela Virk,10693-6897624-8,B-9632,Car,Suzuki,Cultus,2019.0,3106647.0,KPK
VEH-000098,Zubayr Hussain,48994-8945219-1,MRP-8221,Car,Hyundai,Elantra,2025.0,5528421.0,Sindh
VEH-000099,Waseem Gondal,58976-6377365-7,QTA-4034,Car,Suzuki,Alto,2018.0,2540256.0,Balochistan
VEH-000100,Amna Raza,36127-8803562-8,GRW-8546,Car,Suzuki,Alto,2019.0,2753281.0,Punjab
VEH-000101,Amna Sethi,47081-4396895-4,AKD-2278,Car,Suzuki,Swift,2016.0,,Sindh
VEH-000102,Amna Sethi,,MRP-8867,Car,Suzuki,Cultus,,2622457.0,Sindh
VEH-000103,Amna Sethi,47081-4396895-4,KHI-4820,Car,Suzuki,Alto,2020.0,2566497.0,Sindh
VEH-000104,Amna Sethi,47081-4396895-4,HYD-6659,Car,Suzuki,Alto,2015.0,2567927.0,Sindh
VEH-000105,,13491-5341721-6,PSH-9366,Car,Toyota,Yaris,2024.0,3740566.0,KPK
VEH-000106,Rafiq Shaikh,46310-4650552-1,KHI-4928,Car,Suzuki,Cultus,2022.0,3223069.0,Sindh
VEH-000107,Salman Shah,18586-7261860-7,PSH-7445,Car,Toyota,Yaris,2023.0,4967882.0,KPK
VEH-000108,Salman Shah,18586-7261860-7,PSH-4388,Car,Toyota,Corolla,2025.0,5682716.0,KPK
VEH-000109,Shoaib Mirza,30992-5143996-9,LEA-6084,Car,Honda,City,2017.0,4682646.0,Punjab
VEH-000110,,32316-0239402-6,LED-7159,Car,Suzuki,Swift,2016.0,3770814.0,Punjab
VEH-000111,Zafar Siddiqui,49752-4988389-7,MRP-7007,Car,Suzuki,Alto,2022.0,2599304.0,Sindh
VEH-000112,Zafar Siddiqui,49752-4988389-7,AGR-2550,Car,Honda,Civic,2018.0,8009042.0,Sindh
VEH-000113,,45208-5943319-3,MRP-6200,Car,Honda,Civic,2015.0,7618622.0,Sindh
VEH-000114,Mushtaq Warraich,45208-5943319-3,MRP-2626,Car,Suzuki,Cultus,2015.0,2982122.0,Sindh
VEH-000115,Parveen Aslam,14181-4813438-2,B-2944,SUV,Toyota,Fortuner,2022.0,12365229.0,KPK
VEH-000116,Parveen Aslam,14181-4813438-2,B-6423,Car,Suzuki,Alto,2016.0,2749205.0,KPK
VEH-000117,Adnan Mengal,39144-6177377-7,GRW-6352,Car,Toyota,Yaris,2025.0,5234395.0,Punjab
VEH-000118,Javed Warraich,34504-2046712-1,RIA-9228,Car,Suzuki,Alto,2015.0,2559796.0,Punjab
VEH-000119,Javed Warraich,34504-2046712-1,SRG-9436,Car,Honda,Civic,2020.0,7565423.0,Punjab
VEH-000120,Babar Chandio,16210-9946004-5,B-2654,Car,Suzuki,Alto,2024.0,2413145.0,KPK
VEH-000121,,32234-3000724-8,LED-824,Car,Audi,A4,2021.0,18183311.0,Punjab
VEH-000122,Sadia Aslam,32234-3000724-8,FSD-880,Car,Honda,City,2024.0,4586667.0,Punjab
VEH-000123,Asad Aslam,34751-1478785-5,LED-6412,Car,Suzuki,Alto,2015.0,2532755.0,Punjab
VEH-000124,Daniyal Gill,66243-2683474-3,ICT-3379,Car,Honda,City,2025.0,4848610.0,Islamabad
VEH-000125,Salman Shah,30299-1578630-1,SLK-2890,Car,Toyota,Corolla,2024.0,6411235.0,Punjab
VEH-000126,Salman Shah,30299-1578630-1,LEB-270,Car,Suzuki,Alto,2020.0,2411322.0,Punjab
VEH-000127,Salman Shah,30299-1578630-1,LED-6022,Car,Suzuki,Alto,2019.0,2790303.0,Punjab
VEH-000128,Ahmed Iqbal,37372-4541310-5,RIR-5133,SUV,KIA,Sportage,2020.0,8611718.0,Punjab
VEH-000129,Ahemad Iqbal,37372-4541310-5,LEB-8761,Car,Honda,Civic,2020.0,7125264.0,Punjab
VEH-000130,Ahemad Iqbal,37372-4541310-5,BWP-1022,Car,Suzuki,Swift,2015.0,4189304.0,Punjab
VEH-000131,Samina Warraich,38111-1936199-0,LEB-2627,SUV,KIA,Sportage,2019.0,8323945.0,Punjab
VEH-000132,Samina Warraich,38111-1936199-0,LEA-3576,Car,Toyota,Corolla,2025.0,4745652.0,Punjab
VEH-000133,Farzana Hussain,39133-4647386-2,RIA-6894,Car,Hyundai,Elantra,2024.0,6109496.0,Punjab
VEH-000134,Farzana Hussain,39133-4647386-2,LEA-2205,Car,Toyota,Corolla,2024.0,6214320.0,Punjab
VEH-000135,Farzana Hussain,39133-4647386-2,RIR-4555,Car,BMW,3 Series,2024.0,25597655.0,Punjab
VEH-000136,Farzana Hussain,39133-4647386-2,LED-5171,Car,Audi,A4,2018.0,17081960.0,Punjab
VEH-000137,Fahad Chandio,34567-7209059-1,LEC-3899,Car,Toyota,Yaris,2023.0,3604117.0,Punjab
VEH-000138,Fahad Chandio,34567-7209059-1,MLT-1027,Car,Toyota,Corolla,2017.0,4411938.0,Punjab
VEH-000139,Rasheed Khattak,33762-1807508-7,BWP-2276,Car,Suzuki,Alto,2018.0,1994098.0,Punjab
VEH-000140,Bushra Hussain,33974-0389606-6,FSD-794,Car,Honda,Civic,2022.0,7057048.0,Punjab
VEH-000141,Waheed Minhas,,SKP-2256,Car,Suzuki,Swift,2016.0,3224016.0,Sindh
VEH-000142,Waheed Minhas,41815-3582148-1,SKP-129,Motorcycle,Honda,CD-70,,148769.0,Sindh
VEH-000143,Owais Rajput,30749-9749994-5,BWP-7598,Car,KIA,Picanto,2021.0,4195023.0,Punjab
VEH-000144,Owais Rajput,30749-9749994-5,BWP-3584,Car,Toyota,Yaris,2015.0,4753618.0,Punjab
VEH-000145,Tanzeela Rajput,34581-1193440-4,SLK-8771,Car,Suzuki,Cultus,2016.0,2942303.0,Punjab
VEH-000146,Tanzeela Rajput,34581-1193440-4,RIA-2638,Car,Toyota,Corolla,2021.0,7188672.0,Punjab
VEH-000147,Maryam Afridi,32207-4211208-6,MLT-1850,Car,Suzuki,Cultus,2018.0,2598148.0,Punjab
VEH-000148,Meriam Afridi,32207-4211208-6,RIA-9662,SUV,KIA,Sportage,2023.0,11507609.0,Punjab
VEH-000149,Fatima Baloch,34376-2799866-8,RIA-784,SUV,Toyota,Fortuner,2018.0,17330759.0,Punjab
